qid	en	ja	p31_types
Q139266603	Shintō Encyclopedia	神道事典 (初版)	version, edition or translation
Q602358	Brockhaus and Efron Encyclopedic Dictionary	ブロックハウス・エフロン百科事典	version, edition or translation
Q867541	Encyclopædia Britannica 11th edition	ブリタニカ百科事典第11版	version, edition or translation
Q2041543	Otto's encyclopedia	オットー百科事典	version, edition or translation
Q15987490	1922 Encyclopædia Britannica	ブリタニカ百科事典1922年版	version, edition or translation
Q19047539	Collier's New Encyclopedia, 1921	コリアーズ新百科事典1921年版	version, edition or translation
Q19077875	The American Cyclopædia	ジ・アメリカン・サイクロペディア	version, edition or translation
Q19219752	Meyers Konversations-Lexikon, 4th edition (1885–1890)	マイヤー会話辞典第4版（1885-1890）	version, edition or translation
Q20078554	Great Soviet Encyclopedia (1926–1947)	ソヴィエト大百科事典 (1926-1947)	version, edition or translation
Q23301814	Archaeology & Language		version, edition or translation
Q28959682	The Chicago Manual of Style (15th edition)		version, edition or translation
Q29584283	Shinto (Infobase Publishing)		version, edition or translation
Q50897150	Dicionario da Real Academia Galega (ed.dixital 2012)		version, edition or translation
Q62024871	UDC: Universal Decimal Classification. Standard edition. Volume 1 - Systematic tables		version, edition or translation
Q66386517	Small Soviet Encyclopedia		version, edition or translation
Q107523790	The Chicago Manual of Style (17th edition)		version, edition or translation
Q114796497			version, edition or translation
Q135052815	The Oxford Style Manual (1st edition)	オックスフォード文体便覧 (初版)	version, edition or translation
Q138824136			version, edition or translation
Q139816217	Seibidō's dictionary of linguistics (1st edition)	現代言語学辞典 (初版)	version, edition or translation
Q140329490		岩波哲学小辞典 (初版)	version, edition or translation
Q101314624	Lean Logic	リーン・ロジック	version, edition or translation, website
Q47183836	Draft History of Qing, volume 158		volume
Q63346110	New History of Yuan, Vol.250		volume
Q85413430			volume
Q85418884	New Book of Tang, Vol.220		volume
Q85435774	History of Yuan, Vol.208		volume
Q123560817	Armenian Soviet Encyclopedia, vol. 1	アルメニア・ソビエト百科事典 第1巻	volume
Q124737633	Armenian Soviet Encyclopedia, vol. 6	アルメニア・ソビエト百科事典 第6巻	volume
Q190502	Japanese writing system	日本語の表記体系	writing system
Q18130932	Traditional Chinese	繁体字中国語	writing system, written Chinese language
Q13414913	Simplified Chinese	簡体字中国語	writing system, written Chinese language, written language
Q11571092	Tokusen Jinmyōchō	特選神名牒	written work
Q11588823	Jinmyōchō Kōshō	神名帳考證	written work
Q11588824	Engishiki Jinmyōchō Studies	神名帳考証	written work
Q1053256	New History of Yuan	新元史	written work
Q1146980	Old Book of Tang	旧唐書	written work
Q19180675	Small Brockhaus and Efron Encyclopedic Dictionary	ブロックハウス・エフロン小百科事典	written work
Q23986557	Wikipedia: The Missing Manual		written work
Q84087675	Dizionario di Storia	歴史辞典	written work
