qid	en	ja	p31_types
Q9176	Korean	朝鮮語	Koreanic, modern language, natural language
Q111812581	Kongō-ji-bon Engishiki Jinmyōchō	金剛寺本延喜式神名帳	Kotenseki
Q712144	de facto	デ・ファクト	Latin phrase, Wikibase reason for deprecated rank, Wikibase reason for preferred rank, quality
Q37560	Vulgar Latin	俗ラテン語	Latin, language variety, natural language
Q754673	English alphabet	英語アルファベット	Latin-script alphabet
Q9964	W/w	W	Latin-script letter, consonant letter
Q7411	Dutch	オランダ語	Low Franconian, modern natural language
Q34203	Yaeyama	八重山語	Macro-Yaeyama languages, modern language, natural language
Q34243	Yonaguni	与那国語	Macro-Yaeyama languages, modern language, natural language
Q9237	Malay	マレー語	Malayan, human language, language, literary language, macrolanguage, modern language, natural language, standard language
Q3162376	Man'yō Botanical Garden (Nara)	萬葉植物園	Man'yō botanical garden
Q118559258	MediaWiki category namespace		MediaWiki default namespace, MediaWiki non-main namespace, namespace on MediaWikicidsylht969;
Q36509592	wiki with script conversion	文字変換のあるウィキ	MediaWiki instance
Q15633578	MediaWiki.org	MediaWiki.org	MediaWiki instance, MediaWiki wiki, Wikimedia multilingual project, Wikimedia special project, wiki with script conversion
Q10876391	Wikipedia language edition	ウィキペディアの個別言語版	MediaWiki instance, Wikimedia content project, online encyclopedia, version, edition or translation
Q8449	Spanish Wikipedia	スペイン語版ウィキペディア	MediaWiki instance, Wikipedia language edition
Q30239	Chinese Wikipedia	中国語版ウィキペディア	MediaWiki instance, Wikipedia language edition, wiki with script conversion
Q4167410	Wikimedia disambiguation page	ウィキメディアの曖昧さ回避ページ	MediaWiki main namespace page, Wikimedia internal item, disambiguation page
Q15138389	Wikimedia article page	ウィキメディアの記事	MediaWiki main namespace page, article, open content
Q4167836	Wikimedia category	ウィキメディアのカテゴリ	MediaWiki non-main namespace page, Wikimedia help page, Wikimedia internal item, Wikimedia project policies and guidelines page, list
Q11266439	Wikimedia template	ウィキメディアのテンプレート	MediaWiki non-main namespace page, Wikimedia internal item
Q56005592	Wikimedia help page	ウィキメディアのヘルプページ	MediaWiki non-main namespace page, Wikimedia internal item, Wikimedia page outside the main knowledge tree
Q15633587	MediaWiki main namespace page	MediaWiki標準名前空間ページ	MediaWiki page
Q118555179	MediaWiki non-main namespace page	MediaWiki非標準名前空間ページ	MediaWiki page
Q135224352	Special:Random		MediaWiki special page
Q24288454	NEMA 1-15	タイプA	NEMA connector
Q24288456	NEMA 5-15	タイプB	NEMA connector
Q1188622	Important Cultural Property of Japan	重要文化財	National Cultural Property, Tangible Cultural Property of Japan, heritage designation
Q1059995	National Foundation Day	建国記念の日	National Foundation Day, public holiday in Japan
Q9168	Persian	ペルシア語	New Persian, dialect continuum, dialect group, field of study, field of study, language, language family, macrolanguage, modern language, natural language
Q3308526	General American English	一般アメリカ英語	North American English, Standard English, dialect, standard language
Q7976	American English	アメリカ英語	North American English, dialect, ethnolect, natural language
Q44676	Canadian English	カナダ英語	North American English, dialects of English, language
Q5329170	Anglo-Frisian	アングロ・フリジア語群	North Sea Germanic, West Germanic languages, language family
Q56558	Kunigami	沖縄北部方言	Northern Ryukyuan, Okinoerabu–Yoron–Northern Okinawan, Southern Amami-Okinawan, language, modern language, supradialect
Q2424943	Yoron	与論島方言	Northern Ryukyuan, Okinoerabu–Yoron–Northern Okinawan, Southern Amami-Okinawan, modern language, natural language
Q3350036	Okinoerabu	沖永良部島方言	Northern Ryukyuan, Okinoerabu–Yoron–Northern Okinawan, Southern Amami-Okinawan, modern language, natural language
Q34233	Okinawan	沖縄語	Northern Ryukyuan, Southern Amami-Okinawan, modern language, natural language
Q81661634	Gazetteer		OBO Foundry ontology
Q11059	Sanskrit	サンスクリット	Old Indo-Aryan, ancient language, macrolanguage
Q150	French	フランス語	Oïl, Southern European language, language, modern language, natural language
Q6122670	Māori	マオリ	Polynesians, ethnic group, indigenous people
Q11399920	chokushi	勅使	Q11385464
Q11602290	Second Shō Dynasty	第二尚氏	Q118441183, dynasty, noble family, royal house
Q122804	Constitution of the Empire of Japan	大日本帝国憲法	Q1524972, constitution
Q5113	bird	鳥類	Q25241, organisms known by a particular common name, taxon
Q42722531	Wikimedia REST API		Q749568, Wikimedia internal item, server-side web API
Q107569025	MediaWiki REST API	MediaWiki REST API	Q749568, Wikimedia internal item, server-side web API
Q11399932	chokusai	勅祭	Reisai
Q17226082	Hiyoshi Sannō-sai	日吉山王祭	Reisai
Q39893449	exact match	完全一致	SKOS generic mapping relation
Q40426579	SVG locator maps with red and pink scheme		SVG map collection
Q47008743	SVG locator maps (globe location map scheme)		SVG map collection
Q11123277	Senior Second Rank	正二位	Second Rank, court rank in Japan
Q11488721	Junior Second Rank	従二位	Second Rank, court rank in Japan
Q13955	Arabic	アラビア語	Semitic, human language, language, literary language, macrolanguage, modern language, natural language, standard language
Q135179865	Kifune Shrine former site	貴船神社 旧社地	Shikinaisha Former Site
Q2975287	Kamo clan	賀茂県主氏	Shinbetsu, uji
Q210684	nagare-zukuri	流造	Shinto architecture, architectural style
Q930545	Shinmei-zukuri	神明造	Shinto architecture, architectural style
Q3125455	Hachiman-zukuri	八幡造	Shinto architecture, architectural style
Q3138720	Hiyoshi-zukuri	日吉造	Shinto architecture, architectural style
Q3155268	Ishi-no-ma-zukuri	権現造	Shinto architecture, architectural style
Q3193781	Kasuga-zukuri	春日造	Shinto architecture, architectural style
Q3503635	Sumiyoshi-zukuri	住吉造	Shinto architecture, architectural style
Q11588450	Gion-zukuri	祇園造	Shinto architecture, architectural style
Q11385469	Reisai	例祭	Shinto ritual, annual event
Q11579831	Okera-sai	白朮祭	Shinto ritual, annual event
Q40561	sumo	相撲	Shinto ritual, budō, combat sport, martial arts, national sport, type of sport
Q495330	Kokugakuin University	國學院大學	Shinto university, private university
Q1197248	State Shinto	国家神道	Shinto, Shinto sects and schools, imperial cult, state religion
Q4407806	Sannō Shintō	山王神道	Shinto, Shinto sects and schools, shinbutsu-shūgō
Q66890725	Tenjin faith	天神信仰	Shinto, cult, faith
Q3096508	koshintō	古神道	Shinto, ethnic religion, polytheistic religion
Q3952369	Shinto sects and schools	神道の流派・教派	Shinto, religious denomination
Q7850	Chinese	中国語	Sino-Tibetan, language group, macrolanguage, modern language
Q1348800	Indian English	インド英語	South Asian English, dialect
Q12859294	Pakistani English	パキスタン英語	South Asian English, dialect
Q1571	Marathi	マラーティー語	Southern Indo-Aryan, modern language, natural language
Q36218	Miyako	宮古語	Southern Ryukyuan, language, modern language
Q8420	1964 Summer Olympics	1964年東京オリンピック	Summer Olympic Games edition
Q181278	2020 Summer Olympics	2020年東京オリンピック	Summer Olympic Games edition
Q3029647	Shinto Directive	神道指令	Supreme Commander for the Allied Powers Instruction Note
Q34057	Tagalog	タガログ語	Tagalogic, modern language, natural language
Q14191166	Template:Infobox literary work		Template:Infobox artwork, Wikimedia infobox template
Q11071123	Junior Third Rank	従三位	Third Rank, court rank in Japan
Q11123261	Senior Third Rank	正三位	Third Rank, court rank in Japan, title of honor
Q11451199	List of Shikinaisha in Aki Province	安芸国の式内社一覧	Three Greats, chapter, list
Q85940254	unclaimed Trustpilot business		Trustpilot quality, unclaimed identifier
Q92056121	migration of website from HTTP to HTTPS	HTTPからHTTPSへのウェブサイトの移行	URL redirection, Wikibase reason for deprecated rank, Wikibase reason for preferred rank, data migration
Q9067	Hungarian	ハンガリー語	Ugric, language, modern language, natural language
Q9199	Vietnamese	ベトナム語	Vietic, modern language, natural language
Q256	Turkish	トルコ語	Western Oghuz, modern language, natural language
Q4391019	WikiProject Categories	プロジェクト:カテゴリ関連	WikiProject
Q8487081	WikiProject Books	プロジェクト:書物	WikiProject
Q8491372	WikiProject Disambiguation	プロジェクト:曖昧さ回避	WikiProject
Q8503406	WikiProject Countries	ウィキプロジェクト 国	WikiProject
Q8503454	WikiProject Asia	プロジェクト:アジア	WikiProject
Q8504015	WikiProject Japan	プロジェクト:日本	WikiProject
Q13382529	WikiProject Human rights	プロジェクト:人権	WikiProject
Q15884604	WikiProject Anthroponymy	プロジェクト:名前	WikiProject
Q21829890	WikiProject East Asia		WikiProject
Q123694075	NADD Wikidata project		WikiProject
Q60005226	WikiProject Ontology	ウィキプロジェクトオントロジー	WikiProject for Wikidata
Q15884900	WikiProject Shinto	ウィキプロジェクト 神道	WikiProject, WikiProject task force
Q90405608	FactGrid	FactGrid	WikiProject, Wikibase instance, database, knowledge base, online publication, service on Internet
Q108109790	Govdirectory		WikiProject, Wikidata front end, project, website
Q60024037	Lingua Libre	Lingua Libre	WikiProject, Wikidata front end, pronunciation database, web application, wiki
Q30450179	Wiktionary:About English		WikiProject, Wikimedia appendix page, Wikimedia project page
Q115123216	Open Culture / GLAM Glossary		WikiProject, glossary
Q19798642	Wikibase value	ウィキベースの値	Wikibase data model element
Q90177495	does not always apply	適用例外あり	Wikibase reason for deprecated rank
Q105631494	bad Mix'n'match match	Mix'n'matchによる不適切なマッチ	Wikibase reason for deprecated rank
Q118134102	not all instances of the item are instances of the value class	項目の全ての実例が値のクラスの実例であるとは限らない	Wikibase reason for deprecated rank
Q2492572	uncitedness	参照欠如	Wikibase reason for deprecated rank, Wikibase reason for preferred rank, citation
Q2918584	relocation	移転	Wikibase reason for deprecated rank, activity, industry, process
Q127385116	conflation of cause or process and effect	原因と効果の混同	Wikibase reason for deprecated rank, conflation
Q1236807	URL redirection	URLリダイレクト	Wikibase reason for deprecated rank, end cause, forwarding
Q58439442	misreading of source	誤読	Wikibase reason for deprecated rank, error
Q110646418	wrong property	誤ったプロパティ	Wikibase reason for deprecated rank, error
Q112619903	non-standard format	非標準の書式	Wikibase reason for deprecated rank, error, identifier, incorrect identifier value
Q14946528	conflation	混同	Wikibase reason for deprecated rank, error, type of error
Q21441764	withdrawn identifier value	撤回された識別子の値	Wikibase reason for deprecated rank, former entity, identifier
Q67125514	deprecated identifier value	非推奨の識別子の値	Wikibase reason for deprecated rank, identifier
Q107356532	obsolete	廃止	Wikibase reason for deprecated rank, incorrect value
Q13733566	irreversibility	不可逆性	Wikibase reason for deprecated rank, quality, term
Q123562959	redirected to GRE portal	ロシア大百科事典ポータルへリダイレクト	Wikibase reason for deprecated rank, redirect
Q58370623	private account	非公開アカウント	Wikibase reason for deprecated rank, social media account, user account, user account quality
Q108172170	no diacritics in source	情報内に発音区別符号無し	Wikibase reason for deprecated rank, sourcing circumstance
Q111678803	state-affiliated X account	国家関係者Twitterアカウント	Wikibase reason for preferred rank, X account, account of government official, user account quality
Q67151552	default	デフォルト	Wikibase reason for preferred rank, condition, condition type
Q16868672	whole	全体	Wikibase reason for preferred rank, fraction, measure
Q36870	first language	母語	Wikibase reason for preferred rank, language, type of language
Q71538638	most frequent value	一般的に使用される形式	Wikibase reason for preferred rank, measure, name, point estimate, value
Q71536244	currently valid value	現在有効な値	Wikibase reason for preferred rank, most recent value
Q28378282	verified account or profile	認証済アカウント	Wikibase reason for preferred rank, official account, social media account, user account, user account quality
Q25394028	reversibility	可逆性	Wikibase reason for preferred rank, principle, quality
Q29509043	official	公式	Wikibase reason for preferred rank, sourcing circumstance, term
Q71533355	most recent value	最新の値	Wikibase reason for preferred rank, value
Q28962312	often	しばしば	Wikibase value, relative frequency, subjective expression of frequency
Q110143752	sometimes	ときどき	Wikibase value, subjective expression of frequency
Q28962310	rarely	まれに	Wikibase value, subjective expression of frequency
Q15720608	Wikidata qualifier	ウィキデータの修飾子	Wikidata property, type of Wikidata property
Q24005632	descriptive page and disambiguation page have to be in different items	解説ページと曖昧さ回避ページは必ず異なる項目を使用	Wikidata-specific criterion related to disambiguation pages, criterion
Q2944534	Category:Wikipedia categorization	Category:ウィキペディアのカテゴリ	Wikimedia administration category
Q1982926	Category:Disambiguation pages	Category:曖昧さ回避	Wikimedia administration category, Wikimedia category
Q8104190	Category:Wikipedia categories named after literary texts	Category:文学作品別のトピックス	Wikimedia administration category, Wikimedia meta category
Q21484471	Wikimedia article covering multiple topics	複数のトピックが混合したウィキペディアの記事	Wikimedia article page
Q50081413	Wikipedia article page	ウィキペディアの記事	Wikimedia article page
Q13406463	Wikimedia list article	ウィキメディアの一覧記事	Wikimedia article page, Wikimedia internal item, Wikimedia project page, list
Q134972145	Wikimedia article covering two opposite properties or topics		Wikimedia article page, Wikimedia page relating two or more distinct concepts
Q18728054	Category:Shinto shrines by ranking	Category:社格	Wikimedia category
Q8567049	Category:Jingū	カテゴリ:神宮	Wikimedia category
Q8976949	Category:Ichinomiya	Category:一宮	Wikimedia category
Q9540709	Category:Bekkaku Kanpeisha	Category:別格官幣社	Wikimedia category
Q9540732	Category:Beppyo shrines	Category:別表神社	Wikimedia category
Q9550123	Category:Chokusaisha	Category:勅祭社	Wikimedia category
Q9596022	Category:Myōjin Taisha	Category:名神大社	Wikimedia category
Q9600677	Category:Kokushi genzaisha	Category:国史見在社	Wikimedia category
Q9600896	Category:Kokuhei Chūsha	Category:国幣中社	Wikimedia category
Q9600900	Category:Kokuhei Taisha	Category:国幣大社	Wikimedia category
Q9600906	Category:Kokuhei Shōsha	Category:国幣小社	Wikimedia category
Q9613814	Category:Taisha	Category:大社	Wikimedia category
Q9623982	Category:Kanpei Chūsha	Category:官幣中社	Wikimedia category
Q9623992	Category:Kanpei Taisha	Category:官幣大社	Wikimedia category
Q9623999	Category:Kanpei Shōsha	Category:官幣小社	Wikimedia category
Q9646117	Category:Fuken-sha	Category:府県社	Wikimedia category
Q9646923	Category:Shikinai Taisha	Category:式内大社	Wikimedia category
Q9646930	Category:Shikinai Shosha	Category:式内小社	Wikimedia category
Q9646940	Category:Shikinaisha	Category:式内社	Wikimedia category
Q9646951	Category:Shikigesha	Category:式外社	Wikimedia category
Q9689671	Category:Son-sha	Category:村社	Wikimedia category
Q10159526	Category:Unranked shrines	Category:無格社	Wikimedia category
Q10815051	Category:Sōja shrines	Category:総社	Wikimedia category
Q10969511	Category:Modern system of ranked Shinto shrines	Category:近代社格制度	Wikimedia category
Q11124582	Category:Gō-sha	Category:郷社	Wikimedia category
Q18571232	Category:Gokoku shrines	Category:護国神社	Wikimedia category
Q21546342	Category:Twenty-Two Shrines	Category:二十二社	Wikimedia category
Q30466389	Category:San-no-Miya	Category:三宮 (社格)	Wikimedia category
Q55589090	Category:Ichinomiya (Region)	Category:一宮 (地域)	Wikimedia category
Q61005943	Category:Regional Sōja	Category:総社 (地域)	Wikimedia category
Q65646259	Category:Ni-no-Miya	Category:二宮	Wikimedia category
Q117509551	Category:Ken-sha		Wikimedia category
Q117509611	Category:Min-sha		Wikimedia category
Q117769491	Category:Kanpei-sha		Wikimedia category
Q117769494	Category:Kokuhei-sha		Wikimedia category
Q117844610	Category:Engishiki Jinmyocho		Wikimedia category
Q1458083	Category:Science	Category:科学	Wikimedia category
Q3919906	Category:Literary works	Category:文学作品	Wikimedia category
Q5642451	Category:Names	Category:名前	Wikimedia category
Q6141299	Category:Sacred texts		Wikimedia category
Q6334572	Category:Deaths in Japan	Category:日本における死	Wikimedia category
Q6377645	Category:Lighthouses in Finland	Category:フィンランドの灯台	Wikimedia category
Q6416401	Category:Titles	Category:称号	Wikimedia category
Q6511158	Category:Hierarchy	Category:ヒエラルキー	Wikimedia category
Q6526777	Category:Gifu Prefecture	Category:岐阜県	Wikimedia category
Q6587101	Category:Shinto shrines	Category:神社	Wikimedia category
Q6796749	Category:Empire of Japan	Category:大日本帝国	Wikimedia category
Q6840573	Category:English-language films	Category:英語の映画	Wikimedia category
Q6994491	Category:Japanese people	Category:日本の人物	Wikimedia category
Q7112524	Category:People from Gifu Prefecture	Category:岐阜県の人物	Wikimedia category
Q7140310	Category:Films shot in Japan	Category:日本で製作された映画作品	Wikimedia category
Q7463305	Category:Births in Japan	Category:日本出身の人物	Wikimedia category
Q7470559	Category:Shinto	カテゴリ:神道	Wikimedia category
Q7484128	Category:English-language music	Category:英語の音楽	Wikimedia category
Q7923975	Category:English language	Category:英語	Wikimedia category
Q7978954	Category:Burials in Japan	Category:日本に埋葬された人物	Wikimedia category
Q7981952			Wikimedia category
Q8081467	Category:Births in Gifu prefecture	Category:岐阜県出身の人物	Wikimedia category
Q8533525	Category:Images of signs		Wikimedia category
Q8607401	Category:Maps of Japan	Category:日本の地図	Wikimedia category
Q8737310	Category:Shinto kami	Category:神道の神々	Wikimedia category
Q8744456	Category:Signage		Wikimedia category
Q9072262	Category:People:Japan (people who live or lived in Japan)	Category:日本の住人	Wikimedia category
Q9232453	Category:Religious texts	Category:聖典	Wikimedia category
Q9517826	Category:Ise Shrine	Category:伊勢神宮	Wikimedia category
Q9540901	Category:Shikinaisha in Mikawa Province	Category:三河国の式内社	Wikimedia category
Q9543188	Category:Shikinaisha in Kazusa Province	Category:上総国の式内社	Wikimedia category
Q9543387	Category:Shikinaisha in Kōzuke Province	Category:上野国の式内社	Wikimedia category
Q9543692	Category:Shikinaisha in Shimōsa Province	Category:下総国の式内社	Wikimedia category
Q9543731	Category:Shikinaisha in Shimotsuke Province	Category:下野国の式内社	Wikimedia category
Q9551091	Category:Shikinaisha in Tango Province	Category:丹後国の式内社	Wikimedia category
Q9551134	Category:Shikinaisha in Tanba Province	Category:丹波国の式内社	Wikimedia category
Q9563634	Category:Shikinaisha in Iyo Province	Category:伊予国の式内社	Wikimedia category
Q9563778	Category:Shikinaisha in Ise Province	Category:伊勢国の式内社	Wikimedia category
Q9564254	Category:Shikinaisha in Izu Province	Category:伊豆国の式内社	Wikimedia category
Q9564390	Category:Shikinaisha in Iga Province	Category:伊賀国の式内社	Wikimedia category
Q9564903	Category:Shikinaisha in Hōki Province	Category:伯耆国の式内社	Wikimedia category
Q9564980	Category:Shikinaisha in Tajima Province	Category:但馬国の式内社	Wikimedia category
Q9565883	Category:Shikinaisha in Sado Province	Category:佐渡国の式内社	Wikimedia category
Q9567719	Category:Shikinaisha in Shinano Province	Category:信濃国の式内社	Wikimedia category
Q9568451	Category:Shikinaisha in Bitchū Province	Category:備中国の式内社	Wikimedia category
Q9568470	Category:Shikinaisha in Bizen Province	Category:備前国の式内社	Wikimedia category
Q9568487	Category:Shikinaisha in Bingo Province	Category:備後国の式内社	Wikimedia category
Q9575983	Category:Shikinaisha in Dewa Province	Category:出羽国の式内社	Wikimedia category
Q9576036	Category:Shikinaisha in Izumo Province	Category:出雲国の式内社	Wikimedia category
Q9578530	Category:Shikinaisha in Kaga Province	Category:加賀国の式内社	Wikimedia category
Q9595758	Category:Enumerations of 22	Category:名数22	Wikimedia category
Q9596712	Category:Shikinaisha in Suo Province	Category:周防国の式内社	Wikimedia category
Q9598066	Category:Shikinaisha in Izumi Province	Category:和泉国の式内社	Wikimedia category
Q9600351	Category:Shikinaisha in Inaba Province	Category:因幡国の式内社	Wikimedia category
Q9600851	Category:State Shinto	Category:国家神道	Wikimedia category
Q9602616	Category:Shikinaisha in Tosa Province	Category:土佐国の式内社	Wikimedia category
Q9607557	Category:Shikinaisha in Iki Island	Category:壱岐島の式内社	Wikimedia category
Q9610759	Category:Shikinaisha in Yamato Province	Category:大和国の式内社	Wikimedia category
Q9616530	Category:Shikinaisha in Ōsumi Province	Category:大隅国の式内社	Wikimedia category
Q9623234	Category:Shikinaisha in Awa Province (Chiba)	Category:安房国の式内社	Wikimedia category
Q9623369	Category:Shikinaisha in Aki Province	Category:安芸国の式内社	Wikimedia category
Q9625679	Category:Shikinaisha in the Imperial Palace	Category:宮中・京中の式内社	Wikimedia category
Q9629863	Category:Shikinaisha in Tsushima	Category:対馬島の式内社	Wikimedia category
Q9632445	Category:Shikinaisha in Owari Province	Category:尾張国の式内社	Wikimedia category
Q9633685	Category:Shikinaisha in Yamashiro Province	Category:山城国の式内社	Wikimedia category
Q9636324	Category:Maps of Gifu prefecture	Category:岐阜県の地図	Wikimedia category
Q9642276	Category:Shikinaisha in Hitachi Province	Category:常陸国の式内社	Wikimedia category
Q9649851	Category:Shikinaisha in Shima Province	Category:志摩国の式内社	Wikimedia category
Q9655939	Category:Shikinaisha in Settsu Province	Category:摂津国の式内社	Wikimedia category
Q9656021	Category:Shikinaisha in Harima Province	Category:播磨国の式内社	Wikimedia category
Q9661284	Category:Shikinaisha in Hyūga Province	Category:日向国の式内社	Wikimedia category
Q10090667	Category:Shikinaisha in Musashi Province	Category:武蔵国の式内社	Wikimedia category
