SET,SHRINE,JAWIKI,ITEM,WIKIDATA,CLASS,SOURCE NAMED IN ARTICLE,P612 STAGED,TARGET NAME,TARGET LINK,STATUS,FIX,NOTE
Ise,田上大水御前神社,,,,AUTOCHTHONOUS,度会氏祖先神を自らの古墳（車塚一号墳）上に祀る,,,,NEEDS WORK - no item,,
Ise,神麻続機殿神社,,,,AUTOCHTHONOUS,機殿そのものの鎮守神／地元麻績部の祖先神,,,,NEEDS WORK - no item,,
Ise,荒前神社,,,,AUTOCHTHONOUS,在地の海岸守護神が倭姫命を出迎え、その場に祀られた,,,,NEEDS WORK - no item,,
Ise,葦立弖神社,,,,AUTOCHTHONOUS,在地の産土神,,,,NEEDS WORK - no item,,
Ise,蚊野御前神社,,,,AUTOCHTHONOUS,外城田川支流の川の神,,,,NEEDS WORK - no item,,
Ise,那自賣神社,,,,AUTOCHTHONOUS,五十鈴川の水そのものの神,,,,NEEDS WORK - no item,,
Ise,朝熊御前神社,,,,NETWORK,朝熊神社（その御前神）,,,,NEEDS WORK - no item,,
Ise,田乃家御前神社,,,,NETWORK,天照大御神（皇大神宮）／大神御滄川神,,,,NEEDS WORK - no item,,
Ise,許母利神社,,,,NETWORK,粟嶋神（＝少名毘古那神）,,,,NEEDS WORK - no item,,
Ise,瀧原竝宮,,,,TRANSFER,瀧原宮,,,,NEEDS WORK - no item,,
Beppyo,度津神社,,Q172382,,UNKNOWN,,,,,NEEDS WORK - no origin,,
Beppyo,石園座多久虫玉神社,,Q11585337,,UNKNOWN,,,,,NEEDS WORK - no origin,,
Ise,小俣神社,,Q17225978,,UNKNOWN,,,,,NEEDS WORK - no origin,,
Ise,月讀宮,,Q11516220,,UNKNOWN,,,,,NEEDS WORK - no origin,,
Ise,風宮,,Q11665463,,UNKNOWN,,,,,NEEDS WORK - no origin,,
Ise,風日祈宮,,Q11665488,,UNKNOWN,,,,,NEEDS WORK - no origin,,
Beppyo,坐摩神社,,Q11425667,,NETWORK,宮中（神祇官西院）の坐摩神,,,,NEEDS WORK - target,,
Beppyo,佐嘉神社,,Q11383096,,TRANSFER,松原神社,,,,NEEDS WORK - target,,
Beppyo,劔神社,,Q11398386,,TRANSFER,伊部郷座ヶ岳の素盞嗚尊神霊,,,,NEEDS WORK - target,,
Beppyo,忌部神社,,Q11490722,,TRANSFER,五所神社（美馬郡西端山、現・境外摂社御所神社）,,,,NEEDS WORK - target,,
Ise,瀧原宮,,Q11566292,,TRANSFER,磯宮,,,,NEEDS WORK - target,,
Beppyo,久能山東照宮,,Q712162,,AUTOCHTHONOUS,家康の墓所・埋葬地に創建,Q135508874,,,ok,,
Beppyo,二見興玉神社,,Q64969614,,AUTOCHTHONOUS,興玉神石そのものが神体・興玉神の総本宮,Q135508874,,,ok,,
Beppyo,井伊谷宮,,Q11373321,,AUTOCHTHONOUS,宗良親王の薨去地・墓所に創建,Q135508874,,,ok,,
Beppyo,京都霊山護国神社,,Q3201026,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,伊佐須美神社,,Q3155136,,AUTOCHTHONOUS,四道将軍が会津の天津嶽に国家鎮護神を奉斎,Q135508874,,,ok,,
Beppyo,佐太神社,,Q3461072,,AUTOCHTHONOUS,佐太大神の在地鎮座（加賀の潜戸で生まれた神）,Q135508874,,,ok,,
Beppyo,佐賀縣護國神社,,Q11384878,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,倭文神社 (湯梨浜町),,Q245734,,AUTOCHTHONOUS,倭文氏が祖神を当地で祀った,Q135508874,,,ok,,
Beppyo,備後護国神社,,Q11387373,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,光雲神社,,Q11388585,,AUTOCHTHONOUS,黒田長政を権現として当地で神格化,Q135508874,,,ok,,
Beppyo,八代宮,,Q11390512,,AUTOCHTHONOUS,懐良親王の墓所の地に創建,Q135508874,,,ok,,
Beppyo,八坂神社,,Q692714,,AUTOCHTHONOUS,祇園神が祇園林に降臨（広峯遷座説は否定）,Q135508874,,,ok,,
Beppyo,八槻都々古別神社,,Q112152942,,AUTOCHTHONOUS,日本武尊の矢の落下地という神意で創祀,Q135508874,,,ok,,
Beppyo,兵庫縣姫路護國神社,,Q11393652,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,大分縣護國神社,,Q11433004,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,大和神社,,Q245731,,AUTOCHTHONOUS,神託により新たに神地を定めて創建,Q135508874,,,ok,,
Beppyo,大國魂神社,,Q611678,,AUTOCHTHONOUS,大國魂大神が当地に降臨,Q135508874,,,ok,,
Beppyo,大富神社,,Q11434509,,AUTOCHTHONOUS,当地での神託降下（宗像三女神）,Q135508874,,,ok,,
Beppyo,大山祇神社,,Q703904,,AUTOCHTHONOUS,神体山・神の島、総本社（伊予国風土記の百済渡来説は異説）,Q135508874,,,ok,,
Beppyo,大山阿夫利神社,,Q11434713,,AUTOCHTHONOUS,山頂の磐座を神体とする山岳信仰,Q135508874,,,ok,,
Beppyo,大洗磯前神社,,Q11437230,,AUTOCHTHONOUS,大洗磯前に神が出現,Q135508874,,,ok,,
Beppyo,大石神社,,Q11438245,,AUTOCHTHONOUS,大石邸の祠に発する人霊祭祀,Q135508874,,,ok,,
Beppyo,大神山神社,,Q251160,,AUTOCHTHONOUS,大山（大神岳）が神体山,Q135508874,,,ok,,
Beppyo,名和神社,,Q245834,,AUTOCHTHONOUS,名和長年の邸宅跡に小祠,Q135508874,,,ok,,
Beppyo,和霊神社,,Q11418237,,AUTOCHTHONOUS,山家公頼の鎮魂、和霊信仰の総本社,Q135508874,,,ok,,
Beppyo,唐沢山神社,,Q11418605,,AUTOCHTHONOUS,藤原秀郷の居城跡・墓所に創建,Q135508874,,,ok,,
Beppyo,四柱神社,,Q11420029,,AUTOCHTHONOUS,明治の神道中教院で四柱を新たに奉斎,Q135508874,,,ok,,
Beppyo,四條畷神社,,Q10925104,,AUTOCHTHONOUS,楠木正行の自害地の墓（楠塚）に創建,Q135508874,,,ok,,
Beppyo,報徳二宮神社 (小田原市),,Q11428033,,AUTOCHTHONOUS,二宮尊徳の生地に創建,Q135508874,,,ok,,
Beppyo,多度大社,,Q116140,,AUTOCHTHONOUS,多度山を神体山とする,Q135508874,,,ok,,
Beppyo,多田神社,,Q3513683,,AUTOCHTHONOUS,源満仲の墳墓・清和源氏の祖廟,Q135508874,,,ok,,
Beppyo,多賀大社,,Q402091,,AUTOCHTHONOUS,伊邪那岐の幽宮（神自身の鎮まる地）,Q135508874,,,ok,,
Beppyo,大井神社 (島田市),,Q11432216,,AUTOCHTHONOUS,大井川そのものの神格化,Q135508874,,,ok,,
Beppyo,伊古奈比咩命神社,,Q11379183,,AUTOCHTHONOUS,白浜が三嶋神の元宮、伊古奈比咩命は土着の后神,Q135508874,,,ok,,
Beppyo,伊和神社,,Q65320,,AUTOCHTHONOUS,当地での神託＋鶴石・磐座信仰,Q135508874,,,ok,,
Beppyo,伊太祁曽神社,,Q11379271,,AUTOCHTHONOUS,五十猛神が最後に紀伊国へ降り立った地,Q135508874,,,ok,,
Beppyo,伊奈波神社,,Q701414,,AUTOCHTHONOUS,五十瓊敷入彦命が討たれた死没地に祀る,Q135508874,,,ok,,
Beppyo,伊弉諾神宮,,Q10884977,,AUTOCHTHONOUS,伊弉諾尊の幽宮（自ら鎮まった終焉の地）,Q135508874,,,ok,,
Beppyo,伊豫豆比古命神社,,Q11380620,,AUTOCHTHONOUS,伊予の土地神が舟山に着き鎮座,Q135508874,,,ok,,
Beppyo,住吉大社,,Q705949,,AUTOCHTHONOUS,住吉三神の託宣による鎮座地指定、総本社,Q135508874,,,ok,,
Beppyo,住吉神社 (下関市),,Q11381858,,AUTOCHTHONOUS,住吉大神の神託「我が荒魂を穴門に祀れ」,Q135508874,,,ok,,
Beppyo,住吉神社 (壱岐市),,Q11381863,,AUTOCHTHONOUS,神功皇后が上陸地で三神を直接奉斎,Q135508874,,,ok,,
Beppyo,住吉神社 (福岡市),,Q29682,,AUTOCHTHONOUS,鎮座地が住吉三神の誕生地・阿波岐原,Q135508874,,,ok,,
Beppyo,兵庫縣神戸護國神社,,Q11393653,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,冨士御室浅間神社,,Q11395081,,AUTOCHTHONOUS,富士山そのものを神とする山上鎮座,Q135508874,,,ok,,
Beppyo,出石神社,,Q3156511,,AUTOCHTHONOUS,天日槍を子孫が祖神として当地に祀る,Q135508874,,,ok,,
Beppyo,出羽神社,,Q11395802,,AUTOCHTHONOUS,羽黒山への山岳信仰,Q135508874,,,ok,,
Beppyo,出雲大社,,Q696362,,AUTOCHTHONOUS,大国主神自身の住処として造営,Q135508874,,,ok,,
Beppyo,北畠神社,,Q11403863,,AUTOCHTHONOUS,北畠氏館跡に子孫が祖先を祀る,Q135508874,,,ok,,
Beppyo,北舘神社,,Q11403959,,AUTOCHTHONOUS,北楯利長を住民が没後に神として祀る,Q135508874,,,ok,,
Beppyo,大神神社,,Q705542,,AUTOCHTHONOUS,大穴持命が自らの和魂を三輪山に鎮座、総本社,Q135508874,,,ok,,
Beppyo,大縣神社,,Q135732,,AUTOCHTHONOUS,本宮山山頂に発する山の神,Q135508874,,,ok,,
Beppyo,大野湊神社,,Q11439679,,AUTOCHTHONOUS,海から拾われた神体を当地で初めて奉斎,Q135508874,,,ok,,
Beppyo,大阪天満宮,,Q385793,,AUTOCHTHONOUS,当地の霊異を承けた勅命創建,Q135508874,,,ok,,
Beppyo,大阪護國神社,,Q11441628,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,大鳥大社,,Q705151,,AUTOCHTHONOUS,日本武尊の白鳥が舞い降りた地、総本社,Q135508874,,,ok,,
Beppyo,大麻比古神社,,Q723417,,AUTOCHTHONOUS,阿波忌部氏が開拓地で祖神を祀る,Q135508874,,,ok,,
Beppyo,天岩戸神社,,Q2841102,,AUTOCHTHONOUS,天岩戸の岩窟そのものが神体,Q135508874,,,ok,,
Beppyo,太平山三吉神社,,Q11443949,,AUTOCHTHONOUS,太平山そのものが神、総本宮,Q135508874,,,ok,,
Beppyo,奈良県護国神社,,Q11445249,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,北野天満宮,,Q662176,,AUTOCHTHONOUS,道真の託宣により北野に社を立てる、天神総本社,Q135508874,,,ok,,
Beppyo,十日恵比須神社,,Q11405077,,AUTOCHTHONOUS,漂着した恵比須神像を拾い上げた地に鎮座,Q135508874,,,ok,,
Beppyo,千葉縣護國神社,,Q11406714,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,南宮大社,,Q704967,,AUTOCHTHONOUS,金属神の総本宮、南宮山麓,Q135508874,,,ok,,
Beppyo,厳島神社,,Q191763,,AUTOCHTHONOUS,島そのものが神、社殿造営の神託、総本社,Q135508874,,,ok,,
Beppyo,古四王神社,,Q11410984,,AUTOCHTHONOUS,齶田浦神（土地の地主神）を当地で奉祀,Q135508874,,,ok,,
Beppyo,吉備津神社,,Q712824,,AUTOCHTHONOUS,大吉備津彦命の住居跡・墓所、吉備の中山が神体山,Q135508874,,,ok,,
Beppyo,宇倍神社,,Q246447,,AUTOCHTHONOUS,武内宿禰終焉の地・双履石の磐境,Q135508874,,,ok,,
Beppyo,宇美八幡宮,,Q924940,,AUTOCHTHONOUS,応神天皇の誕生地に祀る,Q135508874,,,ok,,
Beppyo,宇都宮二荒山神社,,Q10946254,,AUTOCHTHONOUS,奈良別王が祖神豊城入彦命を当地で祀る,Q135508874,,,ok,,
Beppyo,安仁神社,,Q11450252,,AUTOCHTHONOUS,五瀬命が滞在した地に祀る,Q135508874,,,ok,,
Beppyo,宗像大社,,Q704962,,AUTOCHTHONOUS,三女神が宗像の島々に天降る、沖ノ島が神体、総本社,Q135508874,,,ok,,
Beppyo,宮地嶽神社,,Q3317296,,AUTOCHTHONOUS,神功皇后が宮地岳山頂に祭壇、総本社,Q135508874,,,ok,,
Beppyo,宮城縣護國神社,,Q11453994,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,宮崎神宮,,Q704686,,AUTOCHTHONOUS,神武天皇が東征以前に宮を営んだ地,Q135508874,,,ok,,
Beppyo,富士山本宮浅間大社,,Q653180,,AUTOCHTHONOUS,富士山を神体山とする、浅間神社総本社,Q135508874,,,ok,,
Beppyo,富山縣護國神社,,Q11456842,,AUTOCHTHONOUS,招魂社,Q135508874,,,ok,,
Beppyo,富知六所浅間神社,,Q11457276,,AUTOCHTHONOUS,富士山山腹の地主神（富知神）,Q135508874,,,ok,,
Beppyo,三峯神社,,Q11355207,,AUTOCHTHONOUS,日本武尊が当山に登り創建,Q135508874,,,ok,,
Beppyo,三重県護国神社,,Q11357857,,AUTOCHTHONOUS,招魂社（靖国とは本社分社の関係にない）,Q135508874,,,ok,,
Beppyo,上杉神社,,Q10867478,,AUTOCHTHONOUS,米沢城内の上杉謙信の霊を祀る,Q135508874,,,ok,,
Beppyo,丹生川上神社,,Q246370,,AUTOCHTHONOUS,当地の神託による水神創祀,Q135508874,,,ok,,
Beppyo,丹生川上神社上社,,Q10877366,,AUTOCHTHONOUS,縄文以来の祭祀遺跡に発する水神,Q135508874,,,ok,,
Beppyo,丹生川上神社下社,,Q10877367,,AUTOCHTHONOUS,在地の水神信仰・漂着鳥居を神体,Q135508874,,,ok,,
Beppyo,丹生都比売神社,,Q705154,,AUTOCHTHONOUS,天降りののち天野原に鎮座、丹生社総本社,Q135508874,,,ok,,
Beppyo,乃木神社 (東京都港区),,Q3342690,,AUTOCHTHONOUS,乃木夫妻が自刃した邸宅の隣地,Q135508874,,,ok,,
Beppyo,岐阜護國神社,,Q870911,,AUTOCHTHONOUS,招魂社（戦没者英霊の招魂）,Q135508874,,,ok,,
Beppyo,岡山県護国神社,,Q11472363,,AUTOCHTHONOUS,招魂社（戦死者の招魂祭に起源）,Q135508874,,,ok,,
Beppyo,岩木山神社,,Q871375,,AUTOCHTHONOUS,山岳神（岩木山そのものが神体、山頂に創建）,Q135508874,,,ok,,
Beppyo,常磐神社,,Q3530470,,AUTOCHTHONOUS,人物神の新規奉斎（徳川光圀・斉昭を当地に祀る）,Q135508874,,,ok,,
Beppyo,平安神宮,,Q385141,,AUTOCHTHONOUS,人物神の新規奉斎（桓武天皇を祀る神社として創祀）,Q135508874,,,ok,,
Beppyo,広峯神社,,Q11484399,,AUTOCHTHONOUS,当地での神威感得・牛頭天王総本宮,Q135508874,,,ok,,
Beppyo,広島護国神社,,Q84008,,AUTOCHTHONOUS,招魂社（戊辰戦争戦死者を奉祀する水草神社として建立）,Q135508874,,,ok,,
Beppyo,寒川神社,,Q48744,,AUTOCHTHONOUS,相武国造の氏神として当地で創祀（土着の在地神）,Q135508874,,,ok,,
Beppyo,寳登山神社,,Q11452649,,AUTOCHTHONOUS,宝登山での日本武尊の神異体験に基づく山の神の鎮祭,Q135508874,,,ok,,
Beppyo,射水神社,,Q11458557,,AUTOCHTHONOUS,二上山を神奈備とする山の神（伊彌頭国造の祖神）,Q135508874,,,ok,,
Beppyo,小国神社,,Q421597,,AUTOCHTHONOUS,本宮山への神霊示現（当地での顕現）,Q135508874,,,ok,,
Beppyo,小御門神社,,Q11460773,,AUTOCHTHONOUS,藤原師賢の墓跡（死没地・墓所への創祀）,Q135508874,,,ok,,
Beppyo,尾張大国霊神社,,Q11465296,,AUTOCHTHONOUS,当地の土地の霊力そのものを神と崇めた国霊神,Q135508874,,,ok,,
Beppyo,山口県護国神社,,Q11467121,,AUTOCHTHONOUS,護国神社の招魂（県内戦没者の霊を当地で招魂）,Q135508874,,,ok,,
Beppyo,山形県護国神社,,Q11468583,,AUTOCHTHONOUS,護国神社の招魂（戊辰戦争戦死者を祀る招魂社に始まる）,Q135508874,,,ok,,
Beppyo,山梨縣護國神社,,Q11469919,,AUTOCHTHONOUS,護国神社の招魂（招魂社として創建）,Q135508874,,,ok,,
Beppyo,廣瀬大社,,Q705281,,AUTOCHTHONOUS,託宣が下りた土地での初鎮座（沼が一夜で陸地化した奇瑞の地）,Q135508874,,,ok,,
Beppyo,廣田神社,,Q1466105,,AUTOCHTHONOUS,天照大神自身の託宣が鎮座地を指定した荒魂の初鎮座,Q135508874,,,ok,,
Beppyo,建部大社,,Q403338,,AUTOCHTHONOUS,神勅による日本武尊の死後奉祀,Q135508874,,,ok,,
Beppyo,彌彦神社,,Q195684,,AUTOCHTHONOUS,祭神の墓所（神廟）・神体山,Q135508874,,,ok,,
Beppyo,御上神社,,Q11488762,,AUTOCHTHONOUS,山頂への降臨・神体山（三上山）,Q135508874,,,ok,,
Beppyo,忌宮神社,,Q11490717,,AUTOCHTHONOUS,仲哀天皇を自らの行宮（豊浦宮）跡に奉祀した死後奉斎,Q135508874,,,ok,,
Beppyo,志賀海神社,,Q11491171,,AUTOCHTHONOUS,綿津見神社・海神社の総本社／阿曇氏の氏神,Q135508874,,,ok,,
Beppyo,愛媛縣護國神社,,Q11493796,,AUTOCHTHONOUS,私祭招魂社としての創建（招魂）,Q135508874,,,ok,,
Beppyo,愛宕神社,,Q713021,,AUTOCHTHONOUS,愛宕山（朝日峰）山上の神廟／全国愛宕神社の総本社,Q135508874,,,ok,,
Beppyo,愛知縣護國神社,,Q4696584,,AUTOCHTHONOUS,招魂（旌忠社として戊辰戦争戦死者を当地に祀る）,Q135508874,,,ok,,
Beppyo,戸隠神社,,Q218828,,AUTOCHTHONOUS,地主神 九頭龍大神＋戸隠山そのものが御神体,Q135508874,,,ok,,
Beppyo,手長神社,,Q11497169,,AUTOCHTHONOUS,諏訪以前からこの地で信仰された在地神,Q135508874,,,ok,,
Beppyo,敢國神社,,Q11499487,,AUTOCHTHONOUS,南宮山を神奈備とする原始信仰（阿閇氏の祖神）,Q135508874,,,ok,,
Beppyo,新屋山神社,,Q106388142,,AUTOCHTHONOUS,富士山そのものを山の神とする信仰（奥宮は富士二合目）,Q135508874,,,ok,,
Beppyo,新潟縣護國神社,,Q11503581,,AUTOCHTHONOUS,招魂社（戦没者の墓碑の地に創建）,Q135508874,,,ok,,
Beppyo,新田神社 (薩摩川内市),,Q11503757,,AUTOCHTHONOUS,ニニギの陵墓（可愛山陵）に其の御霊を祀った創始,Q135508874,,,ok,,
Beppyo,日光二荒山神社,,Q701927,,AUTOCHTHONOUS,日光三山（男体山）を神体山とする祠,Q135508874,,,ok,,
Beppyo,日吉大社,,Q656451,,AUTOCHTHONOUS,八王子山の磐座（金大巌）に宿る大山咋神／日吉・日枝・山王社の総本社,Q135508874,,,ok,,
Beppyo,日御碕神社,,Q1619446,,AUTOCHTHONOUS,素盞嗚尊が占いで自ら鎮まる地を定め、その御魂を当地で奉斎,Q135508874,,,ok,,
Beppyo,明治神宮,,Q287165,,AUTOCHTHONOUS,崩御した明治天皇その人を新たに神として祀る創建,Q135508874,,,ok,,
Beppyo,曩祖八幡宮,,Q11515065,,AUTOCHTHONOUS,神功皇后が納祖の森に祭壇を設けた跡地への創建,Q135508874,,,ok,,
Beppyo,月山神社,,Q11516052,,AUTOCHTHONOUS,月山そのものを神体とする山岳信仰・開山,Q135508874,,,ok,,
Beppyo,来宮神社,,Q11523682,,AUTOCHTHONOUS,網にかかった木の根を神体とする漂着神・当地での神託,Q135508874,,,ok,,
Beppyo,東郷神社 (渋谷区),,Q1384780,,AUTOCHTHONOUS,死去した東郷平八郎を顕彰して新たに神として祀る創建,Q135508874,,,ok,,
Beppyo,松尾大社,,Q710302,,AUTOCHTHONOUS,神体山・松尾山山頂の磐座祭祀（山麓へ移しただけ）,Q135508874,,,ok,,
Beppyo,松江護國神社,,Q11239221,,AUTOCHTHONOUS,護国神社の招魂,Q135508874,,,ok,,
Beppyo,枚岡神社,,Q32422,,AUTOCHTHONOUS,神津嶽の山岳信仰が創祀（春日大社の元宮＝「元春日」）,Q135508874,,,ok,,
Beppyo,枚聞神社,,Q3136198,,AUTOCHTHONOUS,開聞岳を神体とする山岳信仰,Q135508874,,,ok,,
Beppyo,椿大神社,,Q3541617,,AUTOCHTHONOUS,神託により猿田彦大神の墳墓の地に創建（墓所・総本社）,Q135508874,,,ok,,
Beppyo,樽前山神社,,Q11543697,,AUTOCHTHONOUS,樽前山の山麓に祀られた山岳信仰の神祠（奥宮は山頂）,Q135508874,,,ok,,
Beppyo,橿原神宮,,Q710333,,AUTOCHTHONOUS,神武天皇の宮址の地に新規創建（親社なし）,Q135508874,,,ok,,
Beppyo,武田神社,,Q402368,,AUTOCHTHONOUS,武田信玄をその居館跡に祀る人物神社,Q135508874,,,ok,,
Beppyo,比治山神社,,Q11547466,,AUTOCHTHONOUS,比治山の黄幡谷に鎮座した在地の黄幡大明神,Q135508874,,,ok,,
Beppyo,氣比神宮,,Q11129346,,AUTOCHTHONOUS,伊奢沙別命が境内の土公に降臨した在地神,Q135508874,,,ok,,
Beppyo,水天宮 (久留米市),,Q3200625,,AUTOCHTHONOUS,筑後川の水神＋安徳天皇・平家一門の霊を祀る総本宮,Q135508874,,,ok,,
Beppyo,水無瀬神宮,,Q705121,,AUTOCHTHONOUS,後鳥羽上皇の遺勅により離宮跡に御影堂を建てて祀ったもの,Q135508874,,,ok,,
Beppyo,水若酢神社,,Q11549109,,AUTOCHTHONOUS,神が海中から当地に上がった顕現伝承（島内での遷座のみ）,Q135508874,,,ok,,
Beppyo,江島神社,,Q11259219,,AUTOCHTHONOUS,神宣（神託）に基づく島の洞窟への創建,Q135508874,,,ok,,
Beppyo,沼名前神社,,Q11554446,,AUTOCHTHONOUS,当地の霊石に神を祀った（磐座祭祀）,Q135508874,,,ok,,
Beppyo,波上宮,,Q704636,,AUTOCHTHONOUS,当地での神託（および霊石・ニライカナイ拝所）,Q135508874,,,ok,,
Beppyo,津峯神社,,Q11556056,,AUTOCHTHONOUS,神託により霊山の山頂に祀った（山＝神体）,Q135508874,,,ok,,
Beppyo,津島神社,,Q705136,,AUTOCHTHONOUS,牛頭天王が当地に垂迹した地・全国天王社の総本社,Q135508874,,,ok,,
Beppyo,海神社 (神戸市),,Q11559098,,AUTOCHTHONOUS,当地の海上での神威（暴風鎮静）を機に祀った,Q135508874,,,ok,,
Beppyo,海神神社,,Q11559099,,AUTOCHTHONOUS,神功皇后が旗を納めた在地起源／伊豆山という神体山,Q135508874,,,ok,,
Beppyo,湊川神社,,Q713188,,AUTOCHTHONOUS,楠木正成の墓所・殉節地に創建,Q135508874,,,ok,,
Beppyo,湯殿山神社,,Q11563607,,AUTOCHTHONOUS,山そのものが神体（湯殿山の山岳信仰）,Q135508874,,,ok,,
Beppyo,滋賀縣護國神社,,Q11564971,,AUTOCHTHONOUS,護国神社の招魂（戊辰戦争戦死者の招魂碑が起源）,Q135508874,,,ok,,
Beppyo,潮江天満宮,,Q11565717,,AUTOCHTHONOUS,道真自身の遺品を子・高視の居所で祀った独自創祀（北野より古い）,Q135508874,,,ok,,
Beppyo,濱田護國神社,,Q11566232,,AUTOCHTHONOUS,護国神社の招魂（濱田招魂社）,Q135508874,,,ok,,
Beppyo,焼津神社,,Q3571342,,AUTOCHTHONOUS,日本武尊の火難伝説の当地そのものを祀る,Q135508874,,,ok,,
Beppyo,照国神社,,Q704219,,AUTOCHTHONOUS,島津斉彬の神霊を勅命の神号授与により新たに祀った（親社なし）,Q135508874,,,ok,,
Beppyo,熊本県護国神社,,Q11568337,,AUTOCHTHONOUS,護国神社の招魂（花岡山招魂社）,Q135508874,,,ok,,
Beppyo,熊野大社,,Q11568887,,AUTOCHTHONOUS,出雲の熊野信仰の根源社（紀伊熊野の分霊元とされる側）,Q135508874,,,ok,,
Beppyo,熊野速玉大社,,Q335618,,AUTOCHTHONOUS,磐座（ゴトビキ岩）への神の降臨地・自社の元宮,Q135508874,,,ok,,
Beppyo,熊野那智大社,,Q710359,,AUTOCHTHONOUS,那智滝そのものを神とする原始信仰,Q135508874,,,ok,,
Beppyo,物部神社 (大田市),,Q11570699,,AUTOCHTHONOUS,祭神の死没・墳墓地（八百山）に創建,Q135508874,,,ok,,
Beppyo,狭野神社,,Q3472357,,AUTOCHTHONOUS,祭神（神武天皇）の生誕地に創建,Q135508874,,,ok,,
Beppyo,猿田彦神社,,Q11572141,,AUTOCHTHONOUS,神自身が鎮まった地・子孫の屋敷神を社としたもの,Q135508874,,,ok,,
Beppyo,猿賀神社,,Q3473746,,AUTOCHTHONOUS,祭神の埋葬地・墓所に発する,Q135508874,,,ok,,
Beppyo,玉前神社,,Q564302,,AUTOCHTHONOUS,祭神が海からこの地に上陸した来臨地,Q135508874,,,ok,,
Beppyo,玉祖神社,,Q11572731,,AUTOCHTHONOUS,祭神の死没・墳墓地に創建、当社が総本社,Q135508874,,,ok,,
Beppyo,生國魂神社,,Q11574477,,AUTOCHTHONOUS,国土そのものの神霊（地主神・国魂）を神武天皇が当地に鎮祭,Q135508874,,,ok,,
Beppyo,生島足島神社,,Q11574513,,AUTOCHTHONOUS,当地の地主神（大地そのものが神体）,Q135508874,,,ok,,
Beppyo,生田神社,,Q710086,,AUTOCHTHONOUS,当地での神託（稚日女尊が自ら鎮座地を指定）,Q135508874,,,ok,,
Beppyo,田島神社,,Q11576656,,AUTOCHTHONOUS,島（加部島）に坐す北部九州土着の姫神、宗像大社の元宮,Q135508874,,,ok,,
Beppyo,田村神社 (高松市),,Q11576978,,AUTOCHTHONOUS,湧水「定水井」の水神（龍神）,Q135508874,,,ok,,
Beppyo,白山比咩神社,,Q704702,,AUTOCHTHONOUS,白山を神体山とする総本社（親社なし）,Q135508874,,,ok,,
Beppyo,真清田神社,,Q705916,,AUTOCHTHONOUS,当地への降臨（油田＝降臨伝承地からの遷座、親社なし）,Q135508874,,,ok,,
