ACTION,SHRINE,ITEM,CLASS,P612 VALUE WANTED,SOURCE NAMED IN ARTICLE,WHY IT STOPPED,EVIDENCE (the sentence),FIX,NOTE
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/牟弥乃神社"",""牟弥乃神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",外城田川そのものの神,redirect → 御船神社 (多気町),外城田川の守護神で、大水上命の子である。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/田上大水御前神社"",""田上大水御前神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",度会氏祖先神を自らの古墳（車塚一号墳）上に祀る,redirect → 田上大水神社,田上大水御前神社の祭神は、小事神主の娘であり、斎王に奉仕したとされる宮子。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/神麻続機殿神社"",""神麻続機殿神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",機殿そのものの鎮守神／地元麻績部の祖先神,redirect → 機殿神社,麻績部の祖先の天八坂彦命とする伝承がある。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/荒前神社"",""荒前神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",在地の海岸守護神が倭姫命を出迎え、その場に祀られた,redirect → 神前神社 (伊勢市),倭姫命が二見を巡幸中、江神社を定めた後に荒前比賣命が倭姫命を出迎えたため,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/葦立弖神社"",""葦立弖神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",在地の産土神,redirect → 国津御祖神社,祭神は玉移良比女命。宇治都比女命の子であるとされ、産土神であるという。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/蚊野御前神社"",""蚊野御前神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",外城田川支流の川の神,redirect → 蚊野神社,蚊野神社の祭神・大神御蔭川神と同じく、外城田川の支流の川の神とされる。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/那自賣神社"",""那自賣神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",五十鈴川の水そのものの神,redirect → 宇治山田神社,両祭神とも五十鈴川（御裳濯川）の水の守護神とされる。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/朝熊御前神社"",""朝熊御前神社"")",NO ITEM,NETWORK,,朝熊神社（その御前神）,redirect → 朝熊神社 (伊勢市),その後、朝熊神社の隣に朝熊御前神社が建てられ、鏡宮神社は朝熊神社から独立した神社となった。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/田乃家御前神社"",""田乃家御前神社"")",NO ITEM,NETWORK,,天照大御神（皇大神宮）／大神御滄川神,redirect → 田乃家神社,祭神は御前神。大神御滄川神と同じく農家の守護神である。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/許母利神社"",""許母利神社"")",NO ITEM,NETWORK,,粟嶋神（＝少名毘古那神）,redirect → 神前神社 (伊勢市),少名毘古那神と同じ神とされ、荒ぶる荒前比賣命を抑制するために祀られたと考えられる。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/瀧原竝宮"",""瀧原竝宮"")",NO ITEM,TRANSFER,,瀧原宮,redirect → 瀧原宮,創建当初は瀧原竝宮は瀧原宮に含まれ、804年から927年の間に独立したと考えられている。,,
PICK TARGET,"=HYPERLINK(""https://ja.wikipedia.org/wiki/坐摩神社"",""坐摩神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11425667"",""Q11425667"")",NETWORK,,宮中（神祇官西院）の坐摩神,cannot resolve: 宮中（神祇官西院）の坐摩神,,,
PICK TARGET,"=HYPERLINK(""https://ja.wikipedia.org/wiki/佐嘉神社"",""佐嘉神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11383096"",""Q11383096"")",TRANSFER,,松原神社,cannot resolve: 松原神社,,,
PICK TARGET,"=HYPERLINK(""https://ja.wikipedia.org/wiki/劔神社"",""劔神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11398386"",""Q11398386"")",TRANSFER,,伊部郷座ヶ岳の素盞嗚尊神霊,cannot resolve: 伊部郷座ヶ岳の素盞嗚尊神霊,,,
PICK TARGET,"=HYPERLINK(""https://ja.wikipedia.org/wiki/忌部神社"",""忌部神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11490722"",""Q11490722"")",TRANSFER,,五所神社（美馬郡西端山、現・境外摂社御所神社）,cannot resolve: 五所神社（美馬郡西端山、現・境外摂社御所神社）,明治18年に眉山中腹の現在地を選定、五所神社を境外摂社とし、明治25年5月15日に現在地に遷座した。,,
PICK TARGET,"=HYPERLINK(""https://ja.wikipedia.org/wiki/瀧原宮"",""瀧原宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11566292"",""Q11566292"")",TRANSFER,,磯宮,cannot resolve: 磯宮,倭姫命が、宮川下流の磯宮より天照大神を祀る地を探すために上流へ遡ったところ、「大河の瀧原の国」という美しい場所があったので、草木を刈り新宮を建てた。,,
NO ORIGIN IN ARTICLE,"=HYPERLINK(""https://ja.wikipedia.org/wiki/度津神社"",""度津神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q172382"",""Q172382"")",UNKNOWN,,,article gives none,,,
NO ORIGIN IN ARTICLE,"=HYPERLINK(""https://ja.wikipedia.org/wiki/石園座多久虫玉神社"",""石園座多久虫玉神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11585337"",""Q11585337"")",UNKNOWN,,,article gives none,,,
NO ORIGIN IN ARTICLE,"=HYPERLINK(""https://ja.wikipedia.org/wiki/月讀宮"",""月讀宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11516220"",""Q11516220"")",UNKNOWN,,,article gives none,,,
NO ORIGIN IN ARTICLE,"=HYPERLINK(""https://ja.wikipedia.org/wiki/風宮"",""風宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11665463"",""Q11665463"")",UNKNOWN,,,article gives none,,,
NO ORIGIN IN ARTICLE,"=HYPERLINK(""https://ja.wikipedia.org/wiki/風日祈宮"",""風日祈宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11665488"",""Q11665488"")",UNKNOWN,,,article gives none,,,
