SET,SHRINE,ITEM,CLASS,SOURCE NAMED IN ARTICLE,P612 STAGED,STATUS,EVIDENCE (the sentence),FIX,NOTE
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/那自賣神社"",""那自賣神社"")",NO ITEM,AUTOCHTHONOUS,五十鈴川の水そのものの神,,NEEDS WORK,両祭神とも五十鈴川（御裳濯川）の水の守護神とされる。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/朝熊御前神社"",""朝熊御前神社"")",NO ITEM,NETWORK,朝熊神社（その御前神）,,NEEDS WORK,その後、朝熊神社の隣に朝熊御前神社が建てられ、鏡宮神社は朝熊神社から独立した神社となった。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/田乃家御前神社"",""田乃家御前神社"")",NO ITEM,NETWORK,天照大御神（皇大神宮）／大神御滄川神,,NEEDS WORK,祭神は御前神。大神御滄川神と同じく農家の守護神である。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/許母利神社"",""許母利神社"")",NO ITEM,NETWORK,粟嶋神（＝少名毘古那神）,,NEEDS WORK,少名毘古那神と同じ神とされ、荒ぶる荒前比賣命を抑制するために祀られたと考えられる。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/瀧原宮"",""瀧原宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11566292"",""Q11566292"")",TRANSFER,磯宮,,NEEDS WORK,倭姫命が、宮川下流の磯宮より天照大神を祀る地を探すために上流へ遡ったところ、「大河の瀧原の国」という美しい場所があったので、草木を刈り新宮を建てた。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/瀧原竝宮"",""瀧原竝宮"")",NO ITEM,TRANSFER,瀧原宮,,NEEDS WORK,創建当初は瀧原竝宮は瀧原宮に含まれ、804年から927年の間に独立したと考えられている。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/小俣神社"",""小俣神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q17225978"",""Q17225978"")",UNKNOWN,,,NEEDS WORK,,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/月讀宮"",""月讀宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11516220"",""Q11516220"")",UNKNOWN,,,NEEDS WORK,,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/風宮"",""風宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11665463"",""Q11665463"")",UNKNOWN,,,NEEDS WORK,,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/風日祈宮"",""風日祈宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11665488"",""Q11665488"")",UNKNOWN,,,NEEDS WORK,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/久能山東照宮"",""久能山東照宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q712162"",""Q712162"")",AUTOCHTHONOUS,家康の墓所・埋葬地に創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/二見興玉神社"",""二見興玉神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q64969614"",""Q64969614"")",AUTOCHTHONOUS,興玉神石そのものが神体・興玉神の総本宮,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/井伊谷宮"",""井伊谷宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11373321"",""Q11373321"")",AUTOCHTHONOUS,宗良親王の薨去地・墓所に創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/京都霊山護国神社"",""京都霊山護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3201026"",""Q3201026"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/伊佐須美神社"",""伊佐須美神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3155136"",""Q3155136"")",AUTOCHTHONOUS,四道将軍が会津の天津嶽に国家鎮護神を奉斎,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/佐太神社"",""佐太神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3461072"",""Q3461072"")",AUTOCHTHONOUS,佐太大神の在地鎮座（加賀の潜戸で生まれた神）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/佐賀縣護國神社"",""佐賀縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11384878"",""Q11384878"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/倭文神社_(湯梨浜町)"",""倭文神社 (湯梨浜町)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q245734"",""Q245734"")",AUTOCHTHONOUS,倭文氏が祖神を当地で祀った,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/備後護国神社"",""備後護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11387373"",""Q11387373"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/光雲神社"",""光雲神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11388585"",""Q11388585"")",AUTOCHTHONOUS,黒田長政を権現として当地で神格化,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/八代宮"",""八代宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11390512"",""Q11390512"")",AUTOCHTHONOUS,懐良親王の墓所の地に創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/八坂神社"",""八坂神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q692714"",""Q692714"")",AUTOCHTHONOUS,祇園神が祇園林に降臨（広峯遷座説は否定）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/八槻都々古別神社"",""八槻都々古別神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q112152942"",""Q112152942"")",AUTOCHTHONOUS,日本武尊の矢の落下地という神意で創祀,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/兵庫縣姫路護國神社"",""兵庫縣姫路護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11393652"",""Q11393652"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大分縣護國神社"",""大分縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11433004"",""Q11433004"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大和神社"",""大和神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q245731"",""Q245731"")",AUTOCHTHONOUS,神託により新たに神地を定めて創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大國魂神社"",""大國魂神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q611678"",""Q611678"")",AUTOCHTHONOUS,大國魂大神が当地に降臨,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大富神社"",""大富神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11434509"",""Q11434509"")",AUTOCHTHONOUS,当地での神託降下（宗像三女神）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大山祇神社"",""大山祇神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q703904"",""Q703904"")",AUTOCHTHONOUS,神体山・神の島、総本社（伊予国風土記の百済渡来説は異説）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大山阿夫利神社"",""大山阿夫利神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11434713"",""Q11434713"")",AUTOCHTHONOUS,山頂の磐座を神体とする山岳信仰,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大洗磯前神社"",""大洗磯前神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11437230"",""Q11437230"")",AUTOCHTHONOUS,大洗磯前に神が出現,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大石神社"",""大石神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11438245"",""Q11438245"")",AUTOCHTHONOUS,大石邸の祠に発する人霊祭祀,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大神山神社"",""大神山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q251160"",""Q251160"")",AUTOCHTHONOUS,大山（大神岳）が神体山,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/名和神社"",""名和神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q245834"",""Q245834"")",AUTOCHTHONOUS,名和長年の邸宅跡に小祠,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/和霊神社"",""和霊神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11418237"",""Q11418237"")",AUTOCHTHONOUS,山家公頼の鎮魂、和霊信仰の総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/唐沢山神社"",""唐沢山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11418605"",""Q11418605"")",AUTOCHTHONOUS,藤原秀郷の居城跡・墓所に創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/四柱神社"",""四柱神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11420029"",""Q11420029"")",AUTOCHTHONOUS,明治の神道中教院で四柱を新たに奉斎,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/四條畷神社"",""四條畷神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q10925104"",""Q10925104"")",AUTOCHTHONOUS,楠木正行の自害地の墓（楠塚）に創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/報徳二宮神社_(小田原市)"",""報徳二宮神社 (小田原市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11428033"",""Q11428033"")",AUTOCHTHONOUS,二宮尊徳の生地に創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/多度大社"",""多度大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q116140"",""Q116140"")",AUTOCHTHONOUS,多度山を神体山とする,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/多田神社"",""多田神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3513683"",""Q3513683"")",AUTOCHTHONOUS,源満仲の墳墓・清和源氏の祖廟,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/多賀大社"",""多賀大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q402091"",""Q402091"")",AUTOCHTHONOUS,伊邪那岐の幽宮（神自身の鎮まる地）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大井神社_(島田市)"",""大井神社 (島田市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11432216"",""Q11432216"")",AUTOCHTHONOUS,大井川そのものの神格化,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/伊古奈比咩命神社"",""伊古奈比咩命神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11379183"",""Q11379183"")",AUTOCHTHONOUS,白浜が三嶋神の元宮、伊古奈比咩命は土着の后神,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/伊和神社"",""伊和神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q65320"",""Q65320"")",AUTOCHTHONOUS,当地での神託＋鶴石・磐座信仰,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/伊太祁曽神社"",""伊太祁曽神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11379271"",""Q11379271"")",AUTOCHTHONOUS,五十猛神が最後に紀伊国へ降り立った地,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/伊奈波神社"",""伊奈波神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q701414"",""Q701414"")",AUTOCHTHONOUS,五十瓊敷入彦命が討たれた死没地に祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/伊弉諾神宮"",""伊弉諾神宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q10884977"",""Q10884977"")",AUTOCHTHONOUS,伊弉諾尊の幽宮（自ら鎮まった終焉の地）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/伊豫豆比古命神社"",""伊豫豆比古命神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11380620"",""Q11380620"")",AUTOCHTHONOUS,伊予の土地神が舟山に着き鎮座,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/住吉大社"",""住吉大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q705949"",""Q705949"")",AUTOCHTHONOUS,住吉三神の託宣による鎮座地指定、総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/住吉神社_(下関市)"",""住吉神社 (下関市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11381858"",""Q11381858"")",AUTOCHTHONOUS,住吉大神の神託「我が荒魂を穴門に祀れ」,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/住吉神社_(壱岐市)"",""住吉神社 (壱岐市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11381863"",""Q11381863"")",AUTOCHTHONOUS,神功皇后が上陸地で三神を直接奉斎,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/住吉神社_(福岡市)"",""住吉神社 (福岡市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q29682"",""Q29682"")",AUTOCHTHONOUS,鎮座地が住吉三神の誕生地・阿波岐原,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/兵庫縣神戸護國神社"",""兵庫縣神戸護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11393653"",""Q11393653"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/冨士御室浅間神社"",""冨士御室浅間神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11395081"",""Q11395081"")",AUTOCHTHONOUS,富士山そのものを神とする山上鎮座,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/出石神社"",""出石神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3156511"",""Q3156511"")",AUTOCHTHONOUS,天日槍を子孫が祖神として当地に祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/出羽神社"",""出羽神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11395802"",""Q11395802"")",AUTOCHTHONOUS,羽黒山への山岳信仰,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/出雲大社"",""出雲大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q696362"",""Q696362"")",AUTOCHTHONOUS,大国主神自身の住処として造営,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/北畠神社"",""北畠神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11403863"",""Q11403863"")",AUTOCHTHONOUS,北畠氏館跡に子孫が祖先を祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/北舘神社"",""北舘神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11403959"",""Q11403959"")",AUTOCHTHONOUS,北楯利長を住民が没後に神として祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大神神社"",""大神神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q705542"",""Q705542"")",AUTOCHTHONOUS,大穴持命が自らの和魂を三輪山に鎮座、総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大縣神社"",""大縣神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q135732"",""Q135732"")",AUTOCHTHONOUS,本宮山山頂に発する山の神,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大野湊神社"",""大野湊神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11439679"",""Q11439679"")",AUTOCHTHONOUS,海から拾われた神体を当地で初めて奉斎,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大阪天満宮"",""大阪天満宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q385793"",""Q385793"")",AUTOCHTHONOUS,当地の霊異を承けた勅命創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
