Logged in

Found 5277 pages in category

1. [[Abito Shrine]] - HAS template, keeping
99. [[Amamurakumo Shrine (Awa Province (Tokushima))]] - NO template, DELETING
100. [[Amamurakumono Shrine]] - HAS template, keeping
101. [[Amano Hachiman Shrine]] - HAS template, keeping
102. [[Amano Shrine]] - HAS template, keeping
103. [[Amano Shrine (Q135040693)]] - HAS template, keeping
104. [[Amano Shrine (Q135041281)]] - HAS template, keeping
105. [[Amano Shrine (Q135270269)]] - HAS template, keeping
106. [[Amanohashidate Shrine]] - HAS template, keeping
107. [[Amanohinatorino Shrine]] - HAS template, keeping
108. [[Amanohitokuhatano Shrine Site]] - HAS template, keeping
109. [[Amanohohino- Shrine]] - HAS template, keeping
110. [[Amanohohinomikotono Shrine]] - HAS template, keeping
111. [[Amanoihatowakenoyasukunitama- Shrine]] - HAS template, keeping
112. [[Amanoiwatate Shrine]] - HAS template, keeping
113. [[Amanokagoyamano Shrine]] - HAS template, keeping
114. [[Amanokaguyama Shrine]] - HAS template, keeping
115. [[Amanokaguyama Shrine (Q98082987)]] - HAS template, keeping
116. [[Amanokakoyamano- Shrine]] - HAS template, keeping
117. [[Amanokawa no Mikoto Shrine]] - HAS template, keeping
118. [[Amanotakutsutamano- Shrine]] - HAS template, keeping
119. [[Amano‑Kaguyama Shrine]] - HAS template, keeping
120. [[Amasashihikonomikoto Shrine]] - HAS template, keeping
121. [[Amasashinowake Shrine]] - HAS template, keeping
122. [[Amashirohikono Shrine]] - HAS template, keeping
123. [[Amashirohimeno Shrine]] - HAS template, keeping
124. [[Amatakekanakusano Shrine]] - HAS template, keeping
125. [[Amatamitsu- Shrine]] - HAS template, keeping
126. [[Amatarashi Shrine]] - HAS template, keeping
127. [[Amaterasu Ōmikami Takakura Shrine & Iwato Shrine]] - HAS template, keeping
128. [[Amateruno Shrine]] - HAS template, keeping
129. [[Amaterutamano- Shrine]] - HAS template, keeping
130. [[Amatsu Shrine]] - HAS template, keeping
131. [[Amatsu Shrine (Bizen Province)]] - NO template, DELETING
132. [[Amatsu Shrine (Echigo Province)]] - NO template, DELETING
133. [[Amatsu Shrine (Q135195030)]] - HAS template, keeping
134. [[Amatsu Shrine (Q172253)]] - HAS template, keeping
135. [[Amatsuihatowakeno Shrine]] - HAS template, keeping
136. [[Amatsuihatowakewakahimeno Shrine]] - HAS template, keeping
137. [[Amatsukahano- Shrine]] - HAS template, keeping
138. [[Amatsukasahiko Shrine]] - HAS template, keeping
139. [[Amatsukasahiko Shrine (Awa Province (Tokushima))]] - NO template, DELETING
140. [[Amatsukasahiko Shrine (Q107410067)]] - HAS template, keeping
141. [[Amatsukasahikono Shrine]] - HAS template, keeping
142. [[Amatsuno Shrine]] - HAS template, keeping
143. [[Amatsunumahikono Shrine]] - HAS template, keeping
144. [[Amatsunumahikono Shrine (Awa Province (Tokushima))]] - NO template, DELETING
145. [[Amatsunumahikono Shrine (Q135270441)]] - HAS template, keeping
146. [[Amawake Toyohime Shrine]] - HAS template, keeping
147. [[Amayo Shrine]] - HAS template, keeping
148. [[Amayo Shrine (Yasaka Shrine Keidai-sha)]] - HAS template, keeping
149. [[Amayono Shrine]] - HAS template, keeping
150. [[Amayono Shrine (Echizen Province)]] - NO template, DELETING
151. [[Amayono Shrine former site]] - HAS template, keeping
152. [[Amayukawata Shrine]] - HAS template, keeping
153. [[Ame-no-Mikumari-toyoura Shrine]] - HAS template, keeping
154. [[Ame-no-Shirahano Shrine]] - HAS template, keeping
155. [[Ame-no-Tanagao Shrine]] - HAS template, keeping
156. [[Ame-no-Yahorotsu-hime Shrine (subsidiary of Oshio Hachimangū)]] - HAS template, keeping
157. [[Amefutotama-no-Mikoto Shrine]] - HAS template, keeping
158. [[Amehikagehime Shrine (Nishibaba, Nakanoto Town)]] - HAS template, keeping
159. [[Amehikage‑Hime Shrine (Ninomiya, Nakanoto Town)]] - HAS template, keeping
160. [[Amehikake- Shrine]] - HAS template, keeping
161. [[Amehikake- Shrine (Q135289776)]] - HAS template, keeping
162. [[Amehimewakamikono Shrine]] - HAS template, keeping
163. [[Amehimewakamikono Shrine (Echizen Province)]] - NO template, DELETING
164. [[Ameihatowakeno Shrine]] - HAS template, keeping
165. [[Amekunihimeno Shrine]] - HAS template, keeping
166. [[Amekunitsuhikono Shrine]] - HAS template, keeping
167. [[Amemahitotsunono Shrine]] - HAS template, keeping
168. [[Ameno-tanakahimeno Shrine]] - HAS template, keeping
169. [[Amenohayatamahimeno- Shrine]] - HAS template, keeping
170. [[Amenohitokuhatano Shrine]] - HAS template, keeping
171. [[Amenohohinomikoto Shrine]] - HAS template, keeping
172. [[Amenoihasuhino Shrine]] - HAS template, keeping
173. [[Amenoihatowakenotono Shrine]] - HAS template, keeping
174. [[Amenokunitsuhiko Shrine (small subsidiary within Oshio Hachimangū precinct)]] - HAS template, keeping
175. [[Amenokunitsuhiko Shrine (small subsidiary within Tsunemiya Shrine precinct)]] - HAS template, keeping
176. [[Amenokunitsuhime Shrine (small subsidiary within Oshio Hachimangū precinct)]] - HAS template, keeping
177. [[Amenokunitsuhime Shrine (small subsidiary within Tsunemiya Shrine precinct)]] - HAS template, keeping
178. [[Amenomikono- Shrine]] - HAS template, keeping
179. [[Amenomorohanomikoto Shrine]] - HAS template, keeping
180. [[Amenotakechi Shrine]] - HAS template, keeping
181. [[Amenotanakawono Shrine]] - HAS template, keeping
182. [[Amenotoyotarashikarahimenomikoto Shrine]] - HAS template, keeping
183. [[Amesusuno Shrine]] - HAS template, keeping
184. [[Ametachikarawono Shrine]] - HAS template, keeping
185. [[Ametotsurukino Shrine]] - HAS template, keeping
186. [[Ametotsurukino Shrine (Echizen Province)]] - NO template, DELETING
187. [[Ametsuseno- Shrine]] - HAS template, keeping
188. [[Ametsuseno- Shrine (Izu Province)]] - NO template, DELETING
189. [[Ametsuseno- Shrine (Q135270422)]] - HAS template, keeping
190. [[Amewakahikono Shrine]] - HAS template, keeping
191. [[Amewakahikono Shrine (Q135040970)]] - HAS template, keeping
192. [[Ameyahotsurano Shrine]] - HAS template, keeping
193. [[Ameyahoyorotsu- Shrine]] - HAS template, keeping
194. [[Ameyoritateno Shrine]] - HAS template, keeping
195. [[Ame‑no‑Morohano‑Mikoto Shrine]] - HAS template, keeping
196. [[Ame‑no‑Morohano‑Mikoto Shrine (Q135198837)]] - HAS template, keeping
197. [[Ame‑no‑Morohano‑Mikoto Shrine (Q135198847)]] - HAS template, keeping
198. [[Ami Shrine]] - HAS template, keeping
199. [[Ami Shrine (Hitachi Province)]] - NO template, DELETING
200. [[Ami Shrine (Q17191824)]] - HAS template, keeping
201. [[Amido Shrine]] - HAS template, keeping
202. [[Amido Shrine (Q135194296)]] - HAS template, keeping
203. [[Amino Shrine]] - HAS template, keeping
204. [[Aminono Shrine]] - HAS template, keeping
205. [[Amuka Shrine]] - HAS template, keeping
206. [[Amuka Shrine (Q135195381)]] - HAS template, keeping
207. [[Amukano Shrine]] - HAS template, keeping
208. [[Amukano Shrine (Q135040530)]] - HAS template, keeping
209. [[Anafukino Shrine]] - HAS template, keeping
210. [[Anagiri Daijinja]] - HAS template, keeping
211. [[Anahoheno Shrine]] - HAS template, keeping
212. [[Anaishi Shrine]] - HAS template, keeping
213. [[Anakengoukoshudainamabuheishushin Shrine]] - HAS template, keeping
214. [[Anamekino Shrine]] - HAS template, keeping
215. [[Anamigo Toshunushi Ōube Hyoju Shrine]] - HAS template, keeping
216. [[Anamizu Omiya Shrine]] - HAS template, keeping
217. [[Anasahano- Shrine]] - HAS template, keeping
218. [[Anashi Shrine]] - HAS template, keeping
219. [[Anashi Shrine Site]] - HAS template, keeping
220. [[Anashi-Nimasu Hyōzu Shrine]] - HAS template, keeping
221. [[Anashino Shrine]] - HAS template, keeping
222. [[Anashino Shrine (Q135040067)]] - HAS template, keeping
223. [[Anashinoohohiyauzuno Shrine]] - HAS template, keeping
224. [[Anatono- Shrine]] - HAS template, keeping
225. [[Anatosanshin Shrine]] - HAS template, keeping
226. [[Anatosanshin Shrine (Bitchū Province)]] - HAS template, keeping
227. [[Anazawa Tenjin Shrine]] - HAS template, keeping
228. [[Anazawa Tenjinsha]] - HAS template, keeping
229. [[Anazawatenjin Shrine]] - HAS template, keeping
230. [[Anekura Himemi Shrine (Funakura, Toyama City)]] - HAS template, keeping
231. [[Anekura Himemi Shrine (Kureha Town, Toyama City)]] - HAS template, keeping
232. [[Anekura- Shrine]] - HAS template, keeping
233. [[Aneno Shrine]] - HAS template, keeping
234. [[Anesaki Shrine]] - HAS template, keeping
235. [[Ani Shrine]] - HAS template, keeping
236. [[Aniko Shrine]] - HAS template, keeping
237. [[Aniko Shrine (Echizen Province)]] - NO template, DELETING
238. [[Anikogami Shrine]] - HAS template, keeping
239. [[Anikono Shrine]] - HAS template, keeping
240. [[Anmuka Shrine]] - HAS template, keeping
241. [[Anmuka Shrine (Tajima Province)]] - HAS template, keeping
242. [[Antsukino- Shrine]] - HAS template, keeping
243. [[Anumi Shrine]] - HAS template, keeping
244. [[Anumi Shrine (Iyo Province)]] - NO template, DELETING
245. [[Anumi Shrine (Q135198210)]] - HAS template, keeping
246. [[Aoi Shrine]] - HAS template, keeping
247. [[Aoi Shrine (Chofu)]] - HAS template, keeping
248. [[Aokura Shrine]] - HAS template, keeping
249. [[Aokura Shrine (Q135195327)]] - HAS template, keeping
250. [[Aomi Shrine]] - HAS template, keeping
251. [[Aomi Shrine (Echigo Province)]] - NO template, DELETING
252. [[Aoyama Shrine]] - HAS template, keeping
253. [[Araho Shrine]] - HAS template, keeping
254. [[Arai Shrine (Nantan)]] - HAS template, keeping
255. [[Araishi Hiko Shrine]] - HAS template, keeping
256. [[Araishi Shrine]] - HAS template, keeping
257. [[Araiso- Shrine]] - HAS template, keeping
258. [[Arakahano Shrine]] - HAS template, keeping
259. [[Arakashi Shrine]] - HAS template, keeping
260. [[Arakashi Shrine (Q135039974)]] - HAS template, keeping
261. [[Arakashi Shrine (Q135270258)]] - HAS template, keeping
262. [[Arakashi- Shrine]] - HAS template, keeping
263. [[Arakatano Shrine]] - HAS template, keeping
264. [[Arakawa Shrine (Arakawa, Murakami)]] - HAS template, keeping
265. [[Arakawa Shrine (Koiwanai, Murakami)]] - HAS template, keeping
266. [[Arakawa Shrine (Tainai)]] - HAS template, keeping
267. [[Araki Shrine]] - HAS template, keeping
268. [[Araki Shrine (Izunokuni)]] - HAS template, keeping
269. [[Araki Shrine (Uchi district)]] - HAS template, keeping
270. [[Arakino Shrine]] - HAS template, keeping
271. [[Arakurano Shrine]] - HAS template, keeping
272. [[Aramatsuri-no-Miya]] - HAS template, keeping
273. [[Arami Shrine]] - HAS template, keeping
274. [[Arami Shrine (Tomino)]] - HAS template, keeping
275. [[Aramino Shrine]] - HAS template, keeping
276. [[Araogawa Shrine]] - HAS template, keeping
277. [[Araogawa Shrine (Naruko Onsen)]] - HAS template, keeping
278. [[Araogawa Shrine (Osaki City Iwadeyama Ikezuki)]] - HAS template, keeping
279. [[Arasaka Shrine]] - HAS template, keeping
280. [[Arashimano Shrine]] - HAS template, keeping
281. [[Arasu Shrine]] - HAS template, keeping
282. [[Arasu Shrine (Fukuchiyama City)]] - HAS template, keeping
283. [[Arasu Shrine (Maizuru City)]] - HAS template, keeping
284. [[Arasu Shrine (Tango Province)]] - HAS template, keeping
285. [[Arasuna Shrine]] - HAS template, keeping
286. [[Arasuno Shrine]] - HAS template, keeping
287. [[Arata Shrine]] - HAS template, keeping
288. [[Aratano Shrine]] - HAS template, keeping
289. [[Arawogawa Shrine (Iketsuki, Iwadeyama, Ōsaki City)]] - HAS template, keeping
290. [[Arawokahano Shrine]] - HAS template, keeping
291. [[Arei Shrine]] - HAS template, keeping
292. [[Ariga Shrine]] - HAS template, keeping
293. [[Arihono Shrine]] - HAS template, keeping
294. [[Arima Shrine]] - HAS template, keeping
295. [[Arino Shrine]] - HAS template, keeping
296. [[Aritama Shrine]] - HAS template, keeping
297. [[Aritano Shrine]] - HAS template, keeping
298. [[Aruka Shrine]] - HAS template, keeping
299. [[Asadatehiko Shrine]] - HAS template, keeping
300. [[Asadono Shrine]] - HAS template, keeping
301. [[Asahihatakano Shrine]] - HAS template, keeping
302. [[Asahiyama Kesenma Shrine]] - HAS template, keeping
303. [[Asai Shrine (Fukuoka, Takaoka)]] - HAS template, keeping
304. [[Asai Shrine (Ishizutsumi, Takaoka)]] - HAS template, keeping
305. [[Asai Shrine (Q135187107)]] - HAS template, keeping
306. [[Asai Shrine (Takaoka Ishizutsumi)]] - HAS template, keeping
307. [[Asai Shrine (Takaoka)]] - HAS template, keeping
308. [[Asaihinono Shrine]] - HAS template, keeping
309. [[Asaka Shrine]] - HAS template, keeping
310. [[Asakano Shrine]] - HAS template, keeping
311. [[Asaki Shrine]] - HAS template, keeping
312. [[Asaki Shrine (Echizen Province)]] - HAS template, keeping
313. [[Asakonoisobeno Shrine]] - HAS template, keeping
314. [[Asakuma Shrine]] - HAS template, keeping
315. [[Asakura Shrine (Kōchi)]] - HAS template, keeping
316. [[Asakura Shrine (Q11510876)]] - HAS template, keeping
317. [[Asakura Shrine (Q17191190)]] - HAS template, keeping
318. [[Asakurahiko-no-Mikoto Shrine]] - HAS template, keeping
319. [[Asama Shrine (Izu Province Second Shrine)]] - HAS template, keeping
320. [[Asamano Shrine]] - HAS template, keeping
321. [[Asamano Shrine (Q135040614)]] - HAS template, keeping
322. [[Asamano Shrine (Q135270287)]] - HAS template, keeping
323. [[Asamine Shrine]] - HAS template, keeping
324. [[Asamiya Shrine]] - HAS template, keeping
325. [[Asawino Shrine]] - HAS template, keeping
326. [[Asawino Shrine (Q135039477)]] - HAS template, keeping
327. [[Asayama Shrine]] - HAS template, keeping
328. [[Ashihara Shrine]] - HAS template, keeping
329. [[Ashii Shrine]] - HAS template, keeping
330. [[Ashiinaba Shrine]] - HAS template, keeping
331. [[Ashiinaba Shrine (Awa Province (Tokushima))]] - NO template, DELETING
332. [[Ashikano Shrine]] - HAS template, keeping
333. [[Ashikano Shrine (Q135040611)]] - HAS template, keeping
334. [[Ashikino Shrine]] - HAS template, keeping
335. [[Ashimita Shrine]] - HAS template, keeping
336. [[Ashimitano Shrine]] - HAS template, keeping
337. [[Ashino Shrine]] - HAS template, keeping
338. [[Ashino Shrine (Q135039579)]] - HAS template, keeping
339. [[Ashisakino Shrine]] - HAS template, keeping
340. [[Ashitaka Shrine]] - HAS template, keeping
341. [[Ashitano Shrine]] - HAS template, keeping
342. [[Ashitsugi Shrine]] - HAS template, keeping
343. [[Ashitsugi Shrine (Bitchū Province)]] - HAS template, keeping
344. [[Ashitsugi Shrine (Bitchū Province) (Bitchū Province)]] - NO template, DELETING
345. [[Ashitsugiyama Shrine]] - HAS template, keeping
346. [[Ashitsugiyama Shrine (Bitchū Province)]] - NO template, DELETING
347. [[Ashitsukino Shrine]] - HAS template, keeping
348. [[Ashitsumino Shrine]] - HAS template, keeping
349. [[Ashizumi Jinja / Yukisugi Tenmangū]] - HAS template, keeping
350. [[Ashizumi Shrine]] - HAS template, keeping
351. [[Aso Shrine]] - HAS template, keeping
352. [[Aso-Hime Shrine]] - HAS template, keeping
353. [[Asomurano- Shrine]] - HAS template, keeping
354. [[Asori Shrine (Nakami, Meiwa Town)]] - HAS template, keeping
355. [[Asuhano Shrine]] - HAS template, keeping
356. [[Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine]] - HAS template, keeping
357. [[Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine (Q135270112)]] - HAS template, keeping
358. [[Asuka-ni-Imasu Shrine]] - HAS template, keeping
359. [[Asukabe Shrine]] - HAS template, keeping
360. [[Asukada Shrine]] - HAS template, keeping
361. [[Asukakawakamizausutakihimeinochi Shrine]] - HAS template, keeping
362. [[Asukanoyamakuchino Shrine]] - HAS template, keeping
363. [[Asukata Shrine]] - HAS template, keeping
364. [[Asukata Shrine (Jōnan-gū subshrine)]] - HAS template, keeping
365. [[Asukata Shrine (Yamashiro Province)]] - HAS template, keeping
366. [[Asukatano Shrine]] - HAS template, keeping
367. [[Asukino Shrine]] - HAS template, keeping
368. [[Asurino Shrine]] - HAS template, keeping
369. [[Asusuki Shrine]] - HAS template, keeping
370. [[Asusukino Shrine]] - HAS template, keeping
371. [[Asuzushi Shrine]] - HAS template, keeping
372. [[Asō Shrine]] - HAS template, keeping
373. [[Atachino Shrine]] - HAS template, keeping
374. [[Atachino Shrine former site]] - HAS template, keeping
375. [[Atago Shrine (Kameoka)]] - HAS template, keeping
376. [[Atago Shrine (Kasama City)]] - HAS template, keeping
377. [[Atago Shrine (Kyoto)]] - HAS template, keeping
378. [[Atago Shrine (Q135040118)]] - HAS template, keeping
379. [[Atago Shrine (Q135070110)]] - HAS template, keeping
380. [[Atagono Shrine]] - HAS template, keeping
381. [[Atagono Shrine (Q135270267)]] - HAS template, keeping
382. [[Atahimeno Shrine]] - HAS template, keeping
383. [[Atakatsutakemikumano Shrine]] - HAS template, keeping
384. [[Atamino Shrine]] - HAS template, keeping
385. [[Atawokano Shrine]] - HAS template, keeping
386. [[Ataya Shrine]] - HAS template, keeping
387. [[Atayuta Shrine]] - HAS template, keeping
388. [[Atayutano Shrine]] - HAS template, keeping
389. [[Ato Shrine]] - HAS template, keeping
390. [[Atsu Shrine]] - HAS template, keeping
391. [[Atsu Shrine (Awa Province (Tokushima))]] - NO template, DELETING
392. [[Atsuhitakahiko Shrine]] - HAS template, keeping
393. [[Atsukushihikono Shrine]] - HAS template, keeping
394. [[Atsumayakunino Shrine]] - HAS template, keeping
395. [[Atsuta Shrine]] - HAS template, keeping
396. [[Atsuwa Shrine]] - HAS template, keeping
397. [[Awa Shrine]] - HAS template, keeping
398. [[Awa Shrine (Awa Province (Chiba))]] - NO template, DELETING
399. [[Awa Shrine (Oyama)]] - HAS template, keeping
400. [[Awa-Miko Shrine]] - HAS template, keeping
401. [[Awa-no-Mikoto Shrine]] - HAS template, keeping
402. [[Awabitamashiratama-hime-no-Mikoto Shrine]] - HAS template, keeping
403. [[Awaga Shrine]] - HAS template, keeping
404. [[Awai Shrine]] - HAS template, keeping
405. [[Awano Shrine]] - HAS template, keeping
406. [[Awano Shrine (Shinano Province)]] - HAS template, keeping
407. [[Awano Shrine (Toyono, Nagano City)]] - HAS template, keeping
408. [[Awano Shrine (Ueno, Nagano City)]] - HAS template, keeping
409. [[Awashima Shrine (Wakayama)]] - HAS template, keeping
410. [[Awawa Shrine]] - HAS template, keeping
411. [[Awayamanoueno Shrine]] - HAS template, keeping
412. [[Awofusumano Shrine]] - HAS template, keeping
413. [[Awomino Shrine]] - HAS template, keeping
414. [[Awomino Shrine (Echigo Province)]] - NO template, DELETING
415. [[Awomino Shrine (Q135040456)]] - HAS template, keeping
416. [[Awoumino Shrine]] - HAS template, keeping
417. [[Awowino Shrine]] - HAS template, keeping
418. [[Awowino Shrine okumiya]] - HAS template, keeping
419. [[Ayabusuma Shrine]] - HAS template, keeping
420. [[Ayato-Kunaka Shrine]] - HAS template, keeping
421. [[Ayuta Shrine]] - HAS template, keeping
422. [[Ayutano Shrine]] - HAS template, keeping
423. [[Azai Shrine (Ichinomiya)]] - HAS template, keeping
424. [[Azaka Shrine]] - HAS template, keeping
425. [[Azumayamiya]] - HAS template, keeping
426. [[Azumayanuma Shrine]] - HAS template, keeping
427. [[Azura Shrine]] - HAS template, keeping
428. [[Azusami Tenjinsha]] - HAS template, keeping
429. [[Azusawakenomikoto Shrine]] - HAS template, keeping
430. [[Bandai Shrine]] - HAS template, keeping
431. [[Bingokunininomiya Chihayahiko Shrine]] - HAS template, keeping
432. [[Bishu Shrine]] - HAS template, keeping
433. [[Biyatsukan Shrine]] - HAS template, keeping
434. [[Chichibu Shrine]] - HAS template, keeping
435. [[Chichihayano Shrine]] - HAS template, keeping
436. [[Chigata Shrine (Tanaka, Kawamoto Village, Ōsato District)]] - HAS template, keeping
437. [[Chigi Shrine]] - HAS template, keeping
438. [[Chihamura- Shrine]] - HAS template, keeping
439. [[Chihayahiko Shrine]] - HAS template, keeping
440. [[Chihayahikono Shrine]] - HAS template, keeping
441. [[Chihayahimeno Shrine]] - HAS template, keeping
442. [[Chiino Shrine]] - HAS template, keeping
443. [[Chikata Shrine (Kanda)]] - HAS template, keeping
444. [[Chikushi Shrine]] - HAS template, keeping
445. [[Chikushi Shrine (Chikuzen Province)]] - NO template, DELETING
446. [[Chikuya Shrine]] - HAS template, keeping
447. [[Chinamiyoruhiko Shrine]] - HAS template, keeping
448. [[Chinamiyoruhiko Shrine (Bingo Province)]] - HAS template, keeping
449. [[Chinoka Shrine]] - HAS template, keeping
450. [[Chinono Shrine]] - HAS template, keeping
451. [[Chinono Shrine (Q135040516)]] - HAS template, keeping
452. [[Chiryu Shrine]] - HAS template, keeping
453. [[Chishirono Shrine]] - HAS template, keeping
454. [[Chiyo Shrine (Kasuga Keidai-sha)]] - HAS template, keeping
455. [[Chiyo Shrine (Moriichi Keidai-sha)]] - HAS template, keeping
456. [[Chota Great Camphor Tree]] - HAS template, keeping
457. [[Co-Enshrinement at Gassan Shrine]] - HAS template, keeping
458. [[Co-Enshrinement at Tamanooya Shrine]] - HAS template, keeping
459. [[Co-Enshrinement in Seki Shrine]] - HAS template, keeping
460. [[Co-Enshrinement in Tamanoya Shrine]] - HAS template, keeping
461. [[Co-Enshrinement of Afukakotano Shrine]] - HAS template, keeping
462. [[Co-Enshrinement of Afukamuyamano Shrine]] - HAS template, keeping
463. [[Co-Enshrinement of Haseno Shrine]] - HAS template, keeping
464. [[Co-Enshrinement of Hichino Shrine]] - HAS template, keeping
465. [[Co-Enshrinement of Hichino Shrine Ronsha 6]] - HAS template, keeping
466. [[Co-Enshrinement of Hirawoka Shrine]] - HAS template, keeping
467. [[Co-Enshrinement of Hitsukurano Shrine]] - HAS template, keeping
468. [[Co-Enshrinement of Hotsumino Shrine]] - HAS template, keeping
469. [[Co-Enshrinement of Ikatsuchi Shrine]] - HAS template, keeping
470. [[Co-Enshrinement of Imakiawosakainaminoikekamino Shrine]] - HAS template, keeping
471. [[Co-Enshrinement of Imakiawosakanoinamiaramitamano Shrine]] - HAS template, keeping
472. [[Co-Enshrinement of Kamishimano Shrine]] - HAS template, keeping
473. [[Co-Enshrinement of Katakishino Shrine]] - HAS template, keeping
