Page,Template
Aguchi Shrine,solved
Aguchi Shrine,solved
Aguchi Shrine,solved
Aguchi Shrine,{{ill|UNKNOWN|lt=Uoya Yajirō|1=UNKNOWN}}
Aguchi Shrine,solved
Aguchi Shrine,{{ill|lt=Sugawara Shrine (disambiguation)|UNKNOWN|lt=Sugawara Shrine}}
Aguchi Shrine,solved
Aguchi Shrine,{{ill|UNKNOWN|lt=Kotohira Shrine|1=UNKNOWN}}
Aguchi Shrine,{{ill|UNKNOWN|lt=Ebisu Shrine|1=UNKNOWN}}
Aguchi Shrine,{{ill|UNKNOWN|lt=Tenbun Disturbance|1=UNKNOWN}}
Aguchi Shrine,{{ill|UNKNOWN|lt=Osaka Castle Tenshukaku|1=UNKNOWN}}
Ahita Shrine,{{ill|UNKNOWN|lt=Shinsen Heihaku-ryō Kyōshinsha|1=UNKNOWN}}
Ahita Shrine,{{ill|UNKNOWN|lt=Shinsen Heihaku-ryō Kyōshinsha|1=UNKNOWN}}
Ai Shrine,{{ill|UNKNOWN|lt=Amenokoyane-no-Mikoto|1=UNKNOWN}}
Ai Shrine,{{ill|UNKNOWN|lt=Ukanomitama-no-Kami|1=UNKNOWN}}
Ai Shrine,solved
Ai Shrine,{{ill|UNKNOWN|lt=Amenokoyane-no-Mikoto|1=UNKNOWN}}
Ai Shrine,{{ill|UNKNOWN|lt=Amenokoyane-no-Mikoto|1=UNKNOWN}}
Ai Shrine,{{ill|UNKNOWN|lt=Ukanomitama-no-Kami|1=UNKNOWN}}
Ajika Shrine,solved
Ajika Shrine,solved
Ajiko Shrine,{{ill|UNKNOWN|lt=Tairyo-zakura|1=UNKNOWN}}
Ajiko Shrine,{{ill|UNKNOWN|lt=TAIRYOZAKURA|1=UNKNOWN}}
Ajiko Shrine,solved
Ajiko Shrine,{{ill|UNKNOWN|lt=Kashima Odori|1=UNKNOWN}}
Ajiko Shrine,{{ill|UNKNOWN|lt=Goshintai|1=UNKNOWN}}
Ajiko Shrine,{{ill|UNKNOWN|lt=Tokugawa shogunate|1=UNKNOWN}}
Ajiko Shrine,{{ill|UNKNOWN|lt=Tairyo-zakura|1=UNKNOWN}}
Ajiko Shrine,{{ill|UNKNOWN|lt=TAIRYOZAKURA|1=UNKNOWN}}
Ajiko Shrine,{{ill|UNKNOWN|lt=Kashima Odori|1=UNKNOWN}}
Akaba Shrine,{{ill|UNKNOWN|lt=Izanagi no Mikoto|1=UNKNOWN}}
Akaba Shrine,solved
Akaba Shrine,solved
Akaba Shrine,{{ill|UNKNOWN|lt=Izanagi no Mikoto|1=UNKNOWN}}
Akaba Shrine,solved
Akabo Shrine,{{ill|UNKNOWN|lt=Forty-seven rōnin|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Nara Prefecture|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Nara City|1=UNKNOWN}}
Akabo Shrine,solved
Akabo Shrine,{{ill|UNKNOWN|lt=Shikinai shōsha|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Village shrine|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Shinto shrine|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Takabatake-chō (Nara City)|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Nara City|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Nara Prefecture|1=UNKNOWN}}
Akabo Shrine,solved
Akabo Shrine,{{ill|UNKNOWN|lt=Engishiki|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Register of Deities|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Omizutori|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Nigatsu-dō|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Nihon Shoki|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Princess Tōchi|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Emperor Tenmu|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=678|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Hikami no Musume|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=682|1=UNKNOWN}}
Akabo Shrine,solved
Akabo Shrine,{{ill|UNKNOWN|lt=Tenmangū|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Benzaiten|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Fujiwara clan|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Asuka period|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Heijō-kyō|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Nanto Kagami Shrine|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=himorogi|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Akai-an|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Meiji Restoration|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Tatsuo Hori|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=1930|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Shōwa|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Nanto Kagami Shrine|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Shinyakushi-ji|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Emperor Shōmu|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Shinyakushi-ji|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Akai-an|1=UNKNOWN}}
Akabo Shrine,{{ill|UNKNOWN|lt=Princess Tōchi|1=UNKNOWN}}
Akanabe Shrine,solved
Akanabe Shrine,{{ill|UNKNOWN|lt=Atsumi Estate|1=UNKNOWN}}
Akanabe Shrine,{{ill|UNKNOWN|lt=Usa Hachiman Shrine|1=UNKNOWN}}
Akanabe Shrine,solved
Akanta Shrine,{{ill|UNKNOWN|lt=Takemikazuchi-no-Mikoto|1=UNKNOWN}}
Akanta Shrine,solved
Akanta Shrine,{{ill|UNKNOWN|lt=Former village shrine|1=UNKNOWN}}
Akanta Shrine,solved
Akanta Shrine,{{ill|UNKNOWN|lt=Takemikazuchi-no-Mikoto|1=UNKNOWN}}
Akaruhimenomikoto Shrine,{{ill|UNKNOWN|lt=Akahirume-no-Mikoto|1=UNKNOWN}}
Akaruhimenomikoto Shrine,{{ill|UNKNOWN|lt=Engishiki-listed shrine|1=UNKNOWN}}
Akaruhimenomikoto Shrine,{{ill|UNKNOWN|lt=Akahirume-no-Mikoto|1=UNKNOWN}}
Akaruhimenomikoto Shrine,{{ill|UNKNOWN|lt=principal deity|1=UNKNOWN}}
Akaruhimenomikoto Shrine,{{ill|UNKNOWN|lt=shrine|1=UNKNOWN}}
Akaruhimenomikoto Shrine,{{ill|UNKNOWN|lt=ikken-sha nagare-zukuri|1=UNKNOWN}}
Akaruhimenomikoto Shrine,{{ill|UNKNOWN|lt=Inari Shrine|1=UNKNOWN}}
Akaruhimenomikoto Shrine,{{ill|UNKNOWN|lt=Akahirume-no-Mikoto|1=UNKNOWN}}
Akitomi Shrine,solved
Akitomi Shrine,solved
Akitomi Shrine,solved
Akitomi Shrine,{{ill|UNKNOWN|lt=Sandai Jitsuroku|1=UNKNOWN}}
Akunami Shrine,solved
Akunami Shrine,solved
Akunami Shrine,{{ill|UNKNOWN|lt=Cultural Property Protection System|1=UNKNOWN}}
Akuto Shrine,solved
Akuto Shrine,{{ill|UNKNOWN|lt=Seifukuji-chō|1=UNKNOWN}}
Akuto Shrine,solved
Akuto Shrine,solved
Akuto Shrine,{{ill|UNKNOWN|lt=Sports Day|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Toyoiwamado no Mikoto|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Kushiiwamado no Mikoto|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Amano-Iwato-wake no Mikoto|1=UNKNOWN}}
Ama-no-Iwatate Shrine,solved
Ama-no-Iwatate Shrine,solved
Ama-no-Iwatate Shrine,{{ill|lt=Toyoiwamado no Kami|UNKNOWN|lt=Toyoiwamado no Mikoto}}
Ama-no-Iwatate Shrine,{{ill|lt=Kushiiwamado no Kami|UNKNOWN|lt=Kushiiwamado no Mikoto}}
Ama-no-Iwatate Shrine,{{ill|lt=Amano-Iwato-wake no Mikoto|UNKNOWN|lt=Amano-Iwato-wake no Mikoto}}
Ama-no-Iwatate Shrine,solved
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=divine spirits|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=yorishiro|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Yashifuyamaguchi Shrine|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Tajikarao no Mikoto|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=shrine land|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Yagyū family|1=UNKNOWN}}
Ama-no-Iwatate Shrine,"{{ill|lt=Yasaka Shrine (Yagyū-chō, Nara City)|UNKNOWN|lt=Yasaka Shrine}}"
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Noh stage|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Nara Kōtsū Bus|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Masaki-zaka Kenzen Dōjō|1=UNKNOWN}}
Ama-no-Iwatate Shrine,{{ill|UNKNOWN|lt=Oyamada Family Branch House|1=UNKNOWN}}
Amakashi-ni-imasu Shrine,solved
Amakashi-ni-imasu Shrine,{{ill|UNKNOWN|lt=Kasuga Daimyōjin|1=UNKNOWN}}
Amakashi-ni-imasu Shrine,solved
Amakashi-ni-imasu Shrine,{{ill|UNKNOWN|lt=Sumiyoshi Daimyōjin|1=UNKNOWN}}
Amamikoso Shrine,solved
Amamikoso Shrine,{{ill|UNKNOWN|lt=Amenokoyane-no-Mikoto|1=UNKNOWN}}
Amamikoso Shrine,solved
Amamikoso Shrine,solved
Amamikoso Shrine,solved
Amamikoso Shrine,{{ill|UNKNOWN|lt=Amenokoyane-no-Mikoto|1=UNKNOWN}}
Amamikoso Shrine,solved
Amanohashidate Shrine,solved
Amanohashidate Shrine,solved
Amanohashidate Shrine,solved
Amanohashidate Shrine,solved
Amanohashidate Shrine,solved
Amanohashidate Shrine,solved
Amanokaguyama Shrine,solved
Amanokaguyama Shrine,{{ill|UNKNOWN|lt=Ōyamato Province Tax Ledger|1=UNKNOWN}}
Amanokaguyama Shrine,{{ill|UNKNOWN|lt=Daidō First Year Decree|1=UNKNOWN}}
Amanokaguyama Shrine,{{ill|UNKNOWN|lt=Sandai Jitsuroku|1=UNKNOWN}}
Amanokaguyama Shrine,{{ill|UNKNOWN|lt=Futodama-no-Mikoto|1=UNKNOWN}}
Amasashihiko-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Kasuga-zukuri|1=UNKNOWN}}
Amasashihiko-no-Mikoto Shrine,solved
Amasashihiko-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Sōgen Senji|1=UNKNOWN}}
Amasashihiko-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Shiranami Gonin Otoko|1=UNKNOWN}}
Amasashinowake Shrine,{{ill|UNKNOWN|lt=Kamimusubi no Mikoto|1=UNKNOWN}}
Amasashinowake Shrine,{{ill|UNKNOWN|lt=Takamimusubi no Mikoto|1=UNKNOWN}}
Amasashinowake Shrine,{{ill|UNKNOWN|lt=Ofuyamato Kuniare-hime no Mikoto|1=UNKNOWN}}
Amasashinowake Shrine,solved
Amasashinowake Shrine,{{ill|UNKNOWN|lt=enshrined by invitation|1=UNKNOWN}}
Amasashinowake Shrine,{{ill|UNKNOWN|lt=village shrine|1=UNKNOWN}}
Amasashinowake Shrine,{{ill|UNKNOWN|lt=Kamimusubi no Mikoto|1=UNKNOWN}}
Amasashinowake Shrine,{{ill|UNKNOWN|lt=Takamimusubi no Mikoto|1=UNKNOWN}}
Amasashinowake Shrine,{{ill|UNKNOWN|lt=Hikosashikatawake no Mikoto|1=UNKNOWN}}
Amasashinowake Shrine,{{ill|UNKNOWN|lt=Ofuyamato Kuniare-hime no Mikoto|1=UNKNOWN}}
Amatakekanakaya Shrine,{{ill|UNKNOWN|lt=Ōyatsuhime-no-Mikoto|1=UNKNOWN}}
Amatakekanakaya Shrine,{{ill|UNKNOWN|lt=Tsumatsuhime-no-Mikoto|1=UNKNOWN}}
Amatakekanakaya Shrine,solved
Amatakekanakaya Shrine,solved
Amatakekanakaya Shrine,solved
Amatakekanakaya Shrine,{{ill|UNKNOWN|lt=Sōgen senji|1=UNKNOWN}}
Amatakekanakaya Shrine,{{ill|lt=Takada Shrine (Okinoshima Town)|UNKNOWN|lt=Takada Shrine}}
Amatakekanakaya Shrine,{{ill|UNKNOWN|lt=Ōyatsuhime-no-Mikoto|1=UNKNOWN}}
Amatakekanakaya Shrine,{{ill|UNKNOWN|lt=Tsumatsuhime-no-Mikoto|1=UNKNOWN}}
Amatakekanakaya Shrine,solved
Amatakekanakaya Shrine,solved
Amatakekanakaya Shrine,{{ill|UNKNOWN|lt=Tamayori-hime-no-Mikoto|1=UNKNOWN}}
Amatakekanakaya Shrine,solved
Amatakekanakaya Shrine,solved
Amatarashi Shrine,{{ill|UNKNOWN|lt=Toyotama-hime no Mikoto|1=UNKNOWN}}
Amatarashi Shrine,solved
Amatarashi Shrine,{{ill|UNKNOWN|lt=Toyotama-hime no Mikoto|1=UNKNOWN}}
Amaterasu Ōmikami Takakura Shrine & Iwato Shrine,{{ill|lt=Takami-Musubi|UNKNOWN|lt=Takamimusubi no Ōkami}}
Amaterasu Ōmikami Takakura Shrine & Iwato Shrine,{{ill|UNKNOWN|lt=Isetsuhiko-no-Mikoto|1=UNKNOWN}}
Amaterasu Ōmikami Takakura Shrine & Iwato Shrine,{{ill|UNKNOWN|lt=Isetsuhime-no-Mikoto|1=UNKNOWN}}
Amaterasu Ōmikami Takakura Shrine & Iwato Shrine,{{ill|UNKNOWN|lt=Kōbō Daishi|1=UNKNOWN}}
Amaterasu Ōmikami Takakura Shrine & Iwato Shrine,{{ill|UNKNOWN|lt=Ichikishimahime-no-Mikoto|1=UNKNOWN}}
Amaterasu Ōmikami Takakura Shrine & Iwato Shrine,solved
Amaterasu Ōmikami Takakura Shrine & Iwato Shrine,{{ill|UNKNOWN|lt=Ichikishimahime-no-Mikoto|1=UNKNOWN}}
Amatsu Shrine,solved
Amatsu Shrine,{{ill|UNKNOWN|lt=Ame-no-Futodama-no-Mikoto|1=UNKNOWN}}
Amatsu Shrine,solved
Amatsu Shrine,solved
Amatsu Shrine,solved
Amatsu Shrine,solved
Amatsu Shrine,solved
Amatsu Shrine,solved
Amatsu Shrine,{{ill|UNKNOWN|lt=Futodama-no-Mikoto|1=UNKNOWN}}
Amatsu Shrine,{{ill|UNKNOWN|lt=Nunakawa-hime-no-Mikoto|1=UNKNOWN}}
Amatsu Shrine,solved
Amatsu Shrine,{{ill|UNKNOWN|lt=Nunagawa Shrine|1=UNKNOWN}}
Amatsukasahiko Shrine,{{ill|UNKNOWN|lt=Shina-nagatsuhiko no Mikoto|1=UNKNOWN}}
Amatsukasahiko Shrine,solved
Amatsukasahiko Shrine,{{ill|UNKNOWN|lt=Shina-nagatsuhiko no Mikoto|1=UNKNOWN}}
Amatsukasahiko Shrine (Q107410067),{{ill|UNKNOWN|lt=Shina-nagato-be-no-Mikoto|1=UNKNOWN}}
Amatsukasahiko Shrine (Q107410067),solved
Amatsukasahiko Shrine (Q107410067),solved
Amatsukasahiko Shrine (Q107410067),{{ill|UNKNOWN|lt=Shina-nagato-be-no-Mikoto|1=UNKNOWN}}
Amawake Toyohime Shrine,solved
Amawake Toyohime Shrine,solved
Amawake Toyohime Shrine,solved
Amawake Toyohime Shrine,solved
Amawake Toyohime Shrine,solved
Amawake Toyohime Shrine,solved
Amayukawata Shrine,{{ill|UNKNOWN|lt=Amenokoyane no Mikoto|1=UNKNOWN}}
Amayukawata Shrine,{{ill|UNKNOWN|lt=Ōhirume no Muchi no Mikoto|1=UNKNOWN}}
Amayukawata Shrine,solved
Amayukawata Shrine,solved
Amayukawata Shrine,{{ill|UNKNOWN|lt=Amenokoyane no Mikoto|1=UNKNOWN}}
Amayukawata Shrine,{{ill|UNKNOWN|lt=Ōhirume no Muchi no Mikoto|1=UNKNOWN}}
Ame-Futotama-no-Mikoto Shrine,solved
Ame-Futotama-no-Mikoto Shrine,solved
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Amenohohi-no-Mikoto|1=UNKNOWN}}
Ame-no-Hohi-no-Mikoto Shrine,solved
Ame-no-Hohi-no-Mikoto Shrine,{{ill|lt=Shikinaisha|UNKNOWN|lt=minor shrine listed in the Engishiki}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Amenohohi-no-Mikoto|1=UNKNOWN}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Inaba no Kuni no Miyatsuko clan|1=UNKNOWN}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Amehinatori-no-Mikoto Shrine|1=UNKNOWN}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Amehinatori-no-Mikoto|1=UNKNOWN}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Mikuma Shrine|1=UNKNOWN}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Mikuma-no-Mikoto|1=UNKNOWN}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|lt=Hiyoshi Shrine (Tottori City)|UNKNOWN|lt=Hiyoshi Shrine}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Inaba no Kuni no Miyatsuko clan|1=UNKNOWN}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Amehinatori-no-Mikoto Shrine|1=UNKNOWN}}
Ame-no-Hohi-no-Mikoto Shrine,{{ill|UNKNOWN|lt=Mikuma Shrine|1=UNKNOWN}}
Ame-no-Toyotarashikara-hime-no-mikoto Shrine,{{ill|UNKNOWN|lt=Toyoukehimenomikoto|1=UNKNOWN}}
Ame-no-Toyotarashikara-hime-no-mikoto Shrine,solved
Ame-no-Toyotarashikara-hime-no-mikoto Shrine,solved
Ame-no-Toyotarashikara-hime-no-mikoto Shrine,solved
Ame-no-Toyotarashikara-hime-no-mikoto Shrine,solved
Amenotakechi Shrine,solved
Amenotakechi Shrine,solved
Amenotakechi Shrine,{{ill|lt=Shikinaisha|UNKNOWN|lt=major shrine listed in the Engishiki}}
Amenotakechi Shrine,solved
Amenotakechi Shrine,{{ill|UNKNOWN|lt=Tsukinami|1=UNKNOWN}}
Amenotakechi Shrine,{{ill|UNKNOWN|lt=Niiname|1=UNKNOWN}}
Amenotakechi Shrine,{{ill|UNKNOWN|lt=Hachiman Ōkami|1=UNKNOWN}}
Ami Shrine,solved
Ami Shrine,solved
Ami Shrine,solved
Ami Shrine,{{ill|lt=Futsunushi|UNKNOWN|lt=Futsunushi-no-Mikoto}}
Ami Shrine,{{ill|lt=Ame-no-Koyane|UNKNOWN|lt=Ame-no-Koyane-no-Mikoto}}
Ami Shrine,{{ill|UNKNOWN|lt=Meiji Shrine Records|1=UNKNOWN}}
Ami Shrine,{{ill|UNKNOWN|lt=Ōmononushi-no-Mikoto|1=UNKNOWN}}
Ami Shrine,solved
Ami Shrine,{{ill|lt=Homusubi|UNKNOWN|lt=Ho-musubi-no-Kami}}
Ami Shrine,{{ill|lt=Tajikarao|UNKNOWN|lt=Tajikarao-no-Kami}}
Ami Shrine,{{ill|lt=Mizuhanome|UNKNOWN|lt=Mizuhanome-no-Mikoto}}
Ami Shrine (Nakagō),solved
Ami Shrine (Nakagō),solved
Ami Shrine (Nakagō),{{ill|lt=Futsunushi|UNKNOWN|lt=Futsunushi no Kami}}
Ami Shrine (Nakagō),{{ill|lt=Takamimusubi|UNKNOWN|lt=Takamimusubi no Kami}}
Ami Shrine (Nakagō),solved
Ami Shrine (Nakagō),{{ill|lt=Tajikarao|UNKNOWN|lt=Tajikarao no Mikoto}}
Ami Shrine (Nakagō),{{ill|UNKNOWN|lt=Ōyamakui no Mikoto|1=UNKNOWN}}
Ami Shrine (Nakagō),{{ill|UNKNOWN|lt=war dead|1=UNKNOWN}}
Ami Shrine (Nakagō),{{ill|UNKNOWN|lt=memorial tower|1=UNKNOWN}}
Ami Shrine (Nakagō),{{ill|UNKNOWN|lt=sakaki|1=UNKNOWN}}
Ami Shrine (Nakagō),{{ill|UNKNOWN|lt=oral tradition|1=UNKNOWN}}
Ami Shrine (Nakagō),{{ill|UNKNOWN|lt=honji suijaku theory|1=UNKNOWN}}
Ami Shrine (Nakagō),{{ill|UNKNOWN|lt=An’ei|1=UNKNOWN}}
Anagiri Daijinja,solved
Anagiri Daijinja,solved
Anagiri Daijinja,solved
Anagiri Daijinja,{{ill|lt=Aikawa River (Yamanashi)|UNKNOWN|lt=Aikawa}}
Anagiri Daijinja,solved
Anagiri Daijinja,solved
Anagiri Daijinja,solved
Anagiri Daijinja,{{ill|UNKNOWN|lt=Kaikoku Shaki–Jiki|1=UNKNOWN}}
Anagiri Daijinja,{{ill|UNKNOWN|lt=Kai Province Lake-Water Legend|1=UNKNOWN}}
Anagiri Daijinja,{{ill|UNKNOWN|lt=Kami-Iida Daikansho|1=UNKNOWN}}
Anagiri Daijinja,{{ill|UNKNOWN|lt=Kōfu Josui|1=UNKNOWN}}
Anagiri Daijinja,{{ill|UNKNOWN|lt=Meiji government|1=UNKNOWN}}
Anagiri Daijinja,{{ill|UNKNOWN|lt=Momoyama period|1=UNKNOWN}}
Anagiri Daijinja,{{ill|UNKNOWN|lt=Takeda clan|1=UNKNOWN}}
Anagiri Daijinja,{{ill|lt=Fujitake Shrine (Nirasaki)|UNKNOWN|lt=Fujitake Shrine}}
Anagiri Daijinja,{{ill|lt=Tatekawa school (sculpture)|UNKNOWN|lt=Tatekawa school}}
Anagiri Daijinja,{{ill|UNKNOWN|lt=elephants|1=UNKNOWN}}
Anaishi Shrine,{{ill|lt=Ame-no-Koyane-no-Mikoto|UNKNOWN|lt=Amenokoyane-no-Mikoto}}
Anaishi Shrine,solved
Anaishi Shrine,{{ill|lt=Shikinaisha|UNKNOWN|lt=listed shrine}}
Anaishi Shrine,{{ill|UNKNOWN|lt=official shrines|1=UNKNOWN}}
Anaishi Shrine,solved
Anaishi Shrine,{{ill|UNKNOWN|lt=Kawai-gō|1=UNKNOWN}}
Anaishi Shrine,{{ill|UNKNOWN|lt=Kawai Shigetane|1=UNKNOWN}}
Anaishi Shrine,{{ill|UNKNOWN|lt=Inui Magosaburō|1=UNKNOWN}}
Anaishi Shrine,{{ill|UNKNOWN|lt=designated cultural property|1=UNKNOWN}}
Anaishi Shrine,{{ill|lt=Atago Shrine (Iga City)|UNKNOWN|lt=Atago Shrine}}
Anazawa Tenjinsha,{{ill|UNKNOWN|lt=Tokyo Metropolis|1=UNKNOWN}}
Anazawa Tenjinsha,{{ill|UNKNOWN|lt=Inagi City|1=UNKNOWN}}
Anazawa Tenjinsha,solved
Anazawa Tenjinsha,solved
Anazawa Tenjinsha,{{ill|UNKNOWN|lt=Gōsha|1=UNKNOWN}}
Anazawa Tenjinsha,{{ill|UNKNOWN|lt=Emperor Kōan|1=UNKNOWN}}
