page_title,qid,xml_file
Akagi Shrine,Q135039965,Akagi Shrine.xml
Akahikono Shrine,Q135039578,Akahikono Shrine.xml
Akahono Shrine,Q135039839,Akahono Shrine.xml
Akakino Shrine former site,Q135194281,Akakino Shrine former site.xml
Akakunino Shrine,Q135040544,Akakunino Shrine.xml
Akamino Shrine,Q135039844,Akamino Shrine.xml
Akanabe Shrine,Q11617261,Akanabe Shrine.xml
Akanta Shrine,Q48758374,Akanta Shrine.xml
Akao Shibutaru Gunbe Shrine,Q135192665,Akao Shibutaru Gunbe Shrine.xml
Akaou Shrine,Q135069462,Akaou Shrine.xml
Akaruhimenomikoto Shrine,Q117848511,Akaruhimenomikoto Shrine.xml
Akatano Shrine,Q135041010,Akatano Shrine.xml
Akatanushino Shrine,Q135098951,Akatanushino Shrine.xml
Akiba Shrine (Q135186229),Q135186229,Akiba Shrine (Q135186229).xml
Akishika Shrine,Q135070119,Akishika Shrine.xml
Akitomi Shrine,Q85884553,Akitomi Shrine.xml
Akono Shrine,Q135041060,Akono Shrine.xml
Akotanino Shrine,Q135040700,Akotanino Shrine.xml
Akuhino Shrine,Q135039560,Akuhino Shrine.xml
Akunami Shrine,Q28682730,Akunami Shrine.xml
Akuto Shrine,Q11657135,Akuto Shrine.xml
Ama-no-Iwato-wake no Kami Shrine,Q135019513,Ama-no-Iwato-wake no Kami Shrine.xml
Ama-no-iwato-wake-toyotamahimeno Shrine,Q135041351,Ama-no-iwato-wake-toyotamahimeno Shrine.xml
Ama-no-iwato-wake-toyotamahimeno Shrine (Q135270444),Q135270444,Ama-no-iwato-wake-toyotamahimeno Shrine (Q135270444).xml
Amahakarino Shrine,Q135041209,Amahakarino Shrine.xml
Amahibiki-no-Mikoto Shrine,Q135039865,Amahibiki-no-Mikoto Shrine.xml
Amahinatorino- Shrine,Q135040747,Amahinatorino- Shrine.xml
Amakashi-ni-imasu Shrine,Q11574285,Amakashi-ni-imasu Shrine.xml
Amakohino Shrine,Q135041158,Amakohino Shrine.xml
Amamikoso Shrine,Q11658015,Amamikoso Shrine.xml
Amamurakumo Shrine,Q135198111,Amamurakumo Shrine.xml
Amamurakumono Shrine,Q135041330,Amamurakumono Shrine.xml
Amano Hachiman Shrine,Q135197900,Amano Hachiman Shrine.xml
Amano Shrine,Q135041512,Amano Shrine.xml
Amano Shrine (Q135040693),Q135040693,Amano Shrine (Q135040693).xml
Amano Shrine (Q135041281),Q135041281,Amano Shrine (Q135041281).xml
Amano Shrine (Q135270269),Q135270269,Amano Shrine (Q135270269).xml
Amanohashidate Shrine,Q107410068,Amanohashidate Shrine.xml
Amanohinatorino Shrine,Q135040967,Amanohinatorino Shrine.xml
Amanohitokuhatano Shrine Site,Q135186661,Amanohitokuhatano Shrine Site.xml
Amanohohino- Shrine,Q135041106,Amanohohino- Shrine.xml
Amanohohinomikotono Shrine,Q135038794,Amanohohinomikotono Shrine.xml
Amanoihatowakenoyasukunitama- Shrine,Q135041454,Amanoihatowakenoyasukunitama- Shrine.xml
Amanoiwatate Shrine,Q11443184,Amanoiwatate Shrine.xml
Amanokagoyamano Shrine,Q135039290,Amanokagoyamano Shrine.xml
Amanokaguyama Shrine,Q135069203,Amanokaguyama Shrine.xml
Amanokaguyama Shrine (Q98082987),Q98082987,Amanokaguyama Shrine (Q98082987).xml
Amanokakoyamano- Shrine,Q135039033,Amanokakoyamano- Shrine.xml
Amanokawa no Mikoto Shrine,Q135193728,Amanokawa no Mikoto Shrine.xml
Amanotakutsutamano- Shrine,Q135041530,Amanotakutsutamano- Shrine.xml
Amano‑Kaguyama Shrine,Q135186297,Amano‑Kaguyama Shrine.xml
Amasashihikonomikoto Shrine,Q127783765,Amasashihikonomikoto Shrine.xml
Amasashinowake Shrine,Q11442221,Amasashinowake Shrine.xml
Amashirohikono Shrine,Q135040973,Amashirohikono Shrine.xml
Amashirohimeno Shrine,Q135040974,Amashirohimeno Shrine.xml
Amatakekanakusano Shrine,Q135041144,Amatakekanakusano Shrine.xml
Amatamitsu- Shrine,Q135039285,Amatamitsu- Shrine.xml
Amatarashi Shrine,Q11659781,Amatarashi Shrine.xml
Amaterasu Ōmikami Takakura Shrine & Iwato Shrine,Q11442907,Amaterasu Ōmikami Takakura Shrine & Iwato Shrine.xml
Amateruno Shrine,Q135041549,Amateruno Shrine.xml
Amaterutamano- Shrine,Q135040531,Amaterutamano- Shrine.xml
Amatsu Shrine,Q135197898,Amatsu Shrine.xml
Amatsu Shrine (Q135195030),Q135195030,Amatsu Shrine (Q135195030).xml
Amatsu Shrine (Q172253),Q172253,Amatsu Shrine (Q172253).xml
Amatsuihatowakeno Shrine,Q135039024,Amatsuihatowakeno Shrine.xml
Amatsuihatowakewakahimeno Shrine,Q135038769,Amatsuihatowakewakahimeno Shrine.xml
Amatsukahano- Shrine,Q135039870,Amatsukahano- Shrine.xml
Amatsukasahiko Shrine,Q107410066,Amatsukasahiko Shrine.xml
Amatsukasahiko Shrine (Q107410067),Q107410067,Amatsukasahiko Shrine (Q107410067).xml
Amatsukasahikono Shrine,Q135041313,Amatsukasahikono Shrine.xml
Amatsuno Shrine,Q135041133,Amatsuno Shrine.xml
Amatsunumahikono Shrine,Q135041333,Amatsunumahikono Shrine.xml
Amatsunumahikono Shrine (Q135270441),Q135270441,Amatsunumahikono Shrine (Q135270441).xml
Amawake Toyohime Shrine,Q11442354,Amawake Toyohime Shrine.xml
Amayo Shrine,Q135069908,Amayo Shrine.xml
Amayo Shrine (Yasaka Shrine Keidai-sha),Q135194538,Amayo Shrine (Yasaka Shrine Keidai-sha).xml
Amayono Shrine,Q135040144,Amayono Shrine.xml
Amayono Shrine former site,Q135194539,Amayono Shrine former site.xml
Amayukawata Shrine,Q63891125,Amayukawata Shrine.xml
Ame-no-Mikumari-toyoura Shrine,Q135098895,Ame-no-Mikumari-toyoura Shrine.xml
Ame-no-Yahorotsu-hime Shrine (subsidiary of Oshio Hachimangū),Q135194521,Ame-no-Yahorotsu-hime Shrine (subsidiary of Oshio Hachimangū).xml
Amefutotama-no-Mikoto Shrine,Q11442508,Amefutotama-no-Mikoto Shrine.xml
"Amehikagehime Shrine (Nishibaba, Nakanoto Town)",Q135194884,"Amehikagehime Shrine (Nishibaba, Nakanoto Town).xml"
"Amehikage‑Hime Shrine (Ninomiya, Nakanoto Town)",Q135194883,"Amehikage‑Hime Shrine (Ninomiya, Nakanoto Town).xml"
Amehikake- Shrine,Q135040317,Amehikake- Shrine.xml
Amehikake- Shrine (Q135289776),Q135289776,Amehikake- Shrine (Q135289776).xml
Amehimewakamikono Shrine,Q135098991,Amehimewakamikono Shrine.xml
Ameihatowakeno Shrine,Q135041190,Ameihatowakeno Shrine.xml
Amekunihimeno Shrine,Q135040141,Amekunihimeno Shrine.xml
Amekunitsuhikono Shrine,Q135040140,Amekunitsuhikono Shrine.xml
Amemahitotsunono Shrine,Q135041171,Amemahitotsunono Shrine.xml
Ameno-tanakahimeno Shrine,Q135041507,Ameno-tanakahimeno Shrine.xml
Amenohayatamahimeno- Shrine,Q135039761,Amenohayatamahimeno- Shrine.xml
Amenohitokuhatano Shrine,Q135039363,Amenohitokuhatano Shrine.xml
Amenohohinomikoto Shrine,Q17191844,Amenohohinomikoto Shrine.xml
Amenoihasuhino Shrine,Q135038843,Amenoihasuhino Shrine.xml
Amenoihatowakenotono Shrine,Q135039864,Amenoihatowakenotono Shrine.xml
Amenokunitsuhiko Shrine (small subsidiary within Oshio Hachimangū precinct),Q135194523,Amenokunitsuhiko Shrine (small subsidiary within Oshio Hachimangū precinct).xml
Amenokunitsuhiko Shrine (small subsidiary within Tsunemiya Shrine precinct),Q135194522,Amenokunitsuhiko Shrine (small subsidiary within Tsunemiya Shrine precinct).xml
Amenokunitsuhime Shrine (small subsidiary within Oshio Hachimangū precinct),Q135194525,Amenokunitsuhime Shrine (small subsidiary within Oshio Hachimangū precinct).xml
Amenokunitsuhime Shrine (small subsidiary within Tsunemiya Shrine precinct),Q135194524,Amenokunitsuhime Shrine (small subsidiary within Tsunemiya Shrine precinct).xml
Amenomikono- Shrine,Q135098973,Amenomikono- Shrine.xml
Amenomorohanomikoto Shrine,Q135041529,Amenomorohanomikoto Shrine.xml
Amenotakechi Shrine,Q54153272,Amenotakechi Shrine.xml
Amenotanakawono Shrine,Q135041506,Amenotanakawono Shrine.xml
Amenotoyotarashikarahimenomikoto Shrine,Q24863642,Amenotoyotarashikarahimenomikoto Shrine.xml
Amesusuno Shrine,Q135098994,Amesusuno Shrine.xml
Ametachikarawono Shrine,Q135041283,Ametachikarawono Shrine.xml
Ametotsurukino Shrine,Q135098990,Ametotsurukino Shrine.xml
Ametsuseno- Shrine,Q135039676,Ametsuseno- Shrine.xml
Ametsuseno- Shrine (Q135270422),Q135270422,Ametsuseno- Shrine (Q135270422).xml
Amewakahikono Shrine,Q135040961,Amewakahikono Shrine.xml
Amewakahikono Shrine (Q135040970),Q135040970,Amewakahikono Shrine (Q135040970).xml
Ameyahotsurano Shrine,Q135039833,Ameyahotsurano Shrine.xml
Ameyahoyorotsu- Shrine,Q135040139,Ameyahoyorotsu- Shrine.xml
Ameyoritateno Shrine,Q135041311,Ameyoritateno Shrine.xml
Ame‑no‑Morohano‑Mikoto Shrine,Q135198814,Ame‑no‑Morohano‑Mikoto Shrine.xml
Ame‑no‑Morohano‑Mikoto Shrine (Q135198837),Q135198837,Ame‑no‑Morohano‑Mikoto Shrine (Q135198837).xml
Ame‑no‑Morohano‑Mikoto Shrine (Q135198847),Q135198847,Ame‑no‑Morohano‑Mikoto Shrine (Q135198847).xml
Ami Shrine,Q17191825,Ami Shrine.xml
Ami Shrine (Q17191824),Q17191824,Ami Shrine (Q17191824).xml
Amido Shrine,Q135069858,Amido Shrine.xml
Amido Shrine (Q135194296),Q135194296,Amido Shrine (Q135194296).xml
Amino Shrine,Q135039760,Amino Shrine.xml
Aminono Shrine,Q135040585,Aminono Shrine.xml
Amuka Shrine,Q135195380,Amuka Shrine.xml
Amuka Shrine (Q135195381),Q135195381,Amuka Shrine (Q135195381).xml
Amukano Shrine,Q135040645,Amukano Shrine.xml
Amukano Shrine (Q135040530),Q135040530,Amukano Shrine (Q135040530).xml
Anafukino Shrine,Q135038817,Anafukino Shrine.xml
Anagiri Daijinja,Q11597204,Anagiri Daijinja.xml
Anahoheno Shrine,Q135039491,Anahoheno Shrine.xml
Anaishi Shrine,Q24870597,Anaishi Shrine.xml
Anakengoukoshudainamabuheishushin Shrine,Q135070066,Anakengoukoshudainamabuheishushin Shrine.xml
Anamekino Shrine,Q135040668,Anamekino Shrine.xml
Anamigo Toshunushi Ōube Hyoju Shrine,Q135195379,Anamigo Toshunushi Ōube Hyoju Shrine.xml
Anamizu Omiya Shrine,Q135194930,Anamizu Omiya Shrine.xml
Anasahano- Shrine,Q135039729,Anasahano- Shrine.xml
Anashi Shrine,Q135186300,Anashi Shrine.xml
Anashi Shrine Site,Q135186302,Anashi Shrine Site.xml
Anashino Shrine,Q135039291,Anashino Shrine.xml
Anashino Shrine (Q135040067),Q135040067,Anashino Shrine (Q135040067).xml
Anashinoohohiyauzuno Shrine,Q135098834,Anashinoohohiyauzuno Shrine.xml
Anatono- Shrine,Q135041228,Anatono- Shrine.xml
Anatosanshin Shrine,Q135070198,Anatosanshin Shrine.xml
Anatosanshin Shrine (Bitchū Province),Q135070199,Anatosanshin Shrine (Bitchū Province).xml
Anazawa Tenjin Shrine,Q135193302,Anazawa Tenjin Shrine.xml
Anazawa Tenjin Shrine (Ronsha 1),Q135069520,Anazawa Tenjin Shrine (Ronsha 1).xml
Anazawa Tenjinsha,Q11597242,Anazawa Tenjinsha.xml
"Anekura Himemi Shrine (Funakura, Toyama City)",Q135194979,"Anekura Himemi Shrine (Funakura, Toyama City).xml"
"Anekura Himemi Shrine (Kureha Town, Toyama City)",Q135194980,"Anekura Himemi Shrine (Kureha Town, Toyama City).xml"
Anekura- Shrine,Q135040380,Anekura- Shrine.xml
Aneno Shrine,Q135041062,Aneno Shrine.xml
Aniko Shrine,Q135194530,Aniko Shrine.xml
Anikogami Shrine,Q135069905,Anikogami Shrine.xml
Anikono Shrine,Q135040143,Anikono Shrine.xml
Anmuka Shrine,Q135070067,Anmuka Shrine.xml
Anmuka Shrine (Tajima Province),Q135070068,Anmuka Shrine (Tajima Province).xml
Antsukino- Shrine,Q135041237,Antsukino- Shrine.xml
Anumi Shrine (Q135198210),Q135198210,Anumi Shrine (Q135198210).xml
Aoi Shrine,Q11662605,Aoi Shrine.xml
Aoi Shrine (Chofu),Q135193309,Aoi Shrine (Chofu).xml
Aokura Shrine,Q135070049,Aokura Shrine.xml
Aokura Shrine (Q135195327),Q135195327,Aokura Shrine (Q135195327).xml
Aomi Shrine,Q112923996,Aomi Shrine.xml
Aoyama Shrine,Q135039765,Aoyama Shrine.xml
Araho Shrine,Q67989816,Araho Shrine.xml
Arai Shrine (Nantan),Q11618386,Arai Shrine (Nantan).xml
Araishi Hiko Shrine,Q135194885,Araishi Hiko Shrine.xml
Araishi Shrine,Q135194887,Araishi Shrine.xml
Araiso- Shrine,Q135040319,Araiso- Shrine.xml
Arakahano Shrine,Q135040475,Arakahano Shrine.xml
Arakashi Shrine (Q135039974),Q135039974,Arakashi Shrine (Q135039974).xml
Arakashi Shrine (Q135270258),Q135270258,Arakashi Shrine (Q135270258).xml
Arakashi- Shrine,Q135040323,Arakashi- Shrine.xml
Arakatano Shrine,Q135039898,Arakatano Shrine.xml
"Arakawa Shrine (Arakawa, Murakami)",Q135195154,"Arakawa Shrine (Arakawa, Murakami).xml"
"Arakawa Shrine (Koiwanai, Murakami)",Q135195153,"Arakawa Shrine (Koiwanai, Murakami).xml"
Arakawa Shrine (Tainai),Q135195155,Arakawa Shrine (Tainai).xml
Araki Shrine,Q11618425,Araki Shrine.xml
Araki Shrine (Izunokuni),Q117138364,Araki Shrine (Izunokuni).xml
Araki Shrine (Uchi district),Q120324086,Araki Shrine (Uchi district).xml
Arakino Shrine,Q135040532,Arakino Shrine.xml
Arakurano Shrine,Q135039892,Arakurano Shrine.xml
Arami Shrine,Q112161861,Arami Shrine.xml
Arami Shrine (Tomino),Q135068854,Arami Shrine (Tomino).xml
Aramino Shrine,Q135038798,Aramino Shrine.xml
Araogawa Shrine,Q135194323,Araogawa Shrine.xml
Arasaka Shrine,Q135040729,Arasaka Shrine.xml
Arashimano Shrine,Q135040222,Arashimano Shrine.xml
Arasu Shrine,Q135070020,Arasu Shrine.xml
Arasu Shrine (Fukuchiyama City),Q135195230,Arasu Shrine (Fukuchiyama City).xml
Arasu Shrine (Maizuru City),Q135195231,Arasu Shrine (Maizuru City).xml
Arasu Shrine (Tango Province),Q135070021,Arasu Shrine (Tango Province).xml
Arasuna Shrine,Q135195566,Arasuna Shrine.xml
Arasuno Shrine,Q135040554,Arasuno Shrine.xml
Arata Shrine,Q17191921,Arata Shrine.xml
Aratano Shrine,Q135041167,Aratano Shrine.xml
"Arawogawa Shrine (Iketsuki, Iwadeyama, Ōsaki City)",Q135194324,"Arawogawa Shrine (Iketsuki, Iwadeyama, Ōsaki City).xml"
Arawokahano Shrine,Q135039992,Arawokahano Shrine.xml
Arei Shrine,Q62056170,Arei Shrine.xml
Ariga Shrine,Q135069598,Ariga Shrine.xml
Arihono Shrine,Q135039175,Arihono Shrine.xml
Arima Shrine,Q11516720,Arima Shrine.xml
Arino Shrine,Q135041075,Arino Shrine.xml
Aritama Shrine,Q135192613,Aritama Shrine.xml
Aritano Shrine,Q135041229,Aritano Shrine.xml
Aruka Shrine,Q11516854,Aruka Shrine.xml
Asadatehiko Shrine,Q11517708,Asadatehiko Shrine.xml
Asadono Shrine,Q135193511,Asadono Shrine.xml
Asahihatakano Shrine,Q135039604,Asahihatakano Shrine.xml
Asahiyama Kesenma Shrine,Q135194373,Asahiyama Kesenma Shrine.xml
"Asai Shrine (Fukuoka, Takaoka)",Q135194957,"Asai Shrine (Fukuoka, Takaoka).xml"
"Asai Shrine (Ishizutsumi, Takaoka)",Q135194958,"Asai Shrine (Ishizutsumi, Takaoka).xml"
Asai Shrine (Q135187107),Q135187107,Asai Shrine (Q135187107).xml
Asaihinono Shrine,Q135040466,Asaihinono Shrine.xml
Asakano Shrine,Q135039326,Asakano Shrine.xml
Asaki Shrine,Q135069911,Asaki Shrine.xml
Asaki Shrine (Echizen Province),Q135069912,Asaki Shrine (Echizen Province).xml
Asakonoisobeno Shrine,Q135040605,Asakonoisobeno Shrine.xml
Asakura Shrine (Q11510876),Q11510876,Asakura Shrine (Q11510876).xml
Asakura Shrine (Q17191190),Q17191190,Asakura Shrine (Q17191190).xml
Asakurahiko-no-Mikoto Shrine,Q135041110,Asakurahiko-no-Mikoto Shrine.xml
Asamano Shrine,Q135039708,Asamano Shrine.xml
Asamano Shrine (Q135040614),Q135040614,Asamano Shrine (Q135040614).xml
Asamano Shrine (Q135270287),Q135270287,Asamano Shrine (Q135270287).xml
Asamine Shrine,Q18989938,Asamine Shrine.xml
Asamiya Shrine,Q11517375,Asamiya Shrine.xml
Asawino Shrine,Q135040356,Asawino Shrine.xml
Asawino Shrine (Q135039477),Q135039477,Asawino Shrine (Q135039477).xml
Asayama Shrine,Q11517384,Asayama Shrine.xml
Ashii Shrine,Q135040524,Ashii Shrine.xml
Ashiinaba Shrine,Q11621139,Ashiinaba Shrine.xml
Ashikano Shrine,Q135039388,Ashikano Shrine.xml
Ashikano Shrine (Q135040611),Q135040611,Ashikano Shrine (Q135040611).xml
Ashikino Shrine,Q135039813,Ashikino Shrine.xml
Ashimita Shrine,Q135186751,Ashimita Shrine.xml
Ashimitano Shrine,Q135039398,Ashimitano Shrine.xml
Ashino Shrine,Q135039245,Ashino Shrine.xml
Ashino Shrine (Q135039579),Q135039579,Ashino Shrine (Q135039579).xml
Ashisakino Shrine,Q135039834,Ashisakino Shrine.xml
Ashitaka Shrine,Q11637069,Ashitaka Shrine.xml
Ashitano Shrine,Q135040649,Ashitano Shrine.xml
Ashitsugi Shrine,Q135070209,Ashitsugi Shrine.xml
Ashitsugi Shrine (Bitchū Province),Q135070210,Ashitsugi Shrine (Bitchū Province).xml
Ashitsugiyama Shrine,Q135070208,Ashitsugiyama Shrine.xml
Ashitsukino Shrine,Q135039626,Ashitsukino Shrine.xml
Ashitsumino Shrine,Q135039871,Ashitsumino Shrine.xml
Aso-Hime Shrine,Q135041486,Aso-Hime Shrine.xml
Asomurano- Shrine,Q135040120,Asomurano- Shrine.xml
"Asori Shrine (Nakami, Meiwa Town)",Q135186187,"Asori Shrine (Nakami, Meiwa Town).xml"
Asuhano Shrine,Q135040213,Asuhano Shrine.xml
Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine,Q135039012,Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine.xml
Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine (Q135270112),Q135270112,Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine (Q135270112).xml
Asukabe Shrine,Q11665970,Asukabe Shrine.xml
Asukada Shrine,Q11665977,Asukada Shrine.xml
Asukakawakamizausutakihimeinochi Shrine,Q135069118,Asukakawakamizausutakihimeinochi Shrine.xml
Asukanoyamakuchino Shrine,Q135098850,Asukanoyamakuchino Shrine.xml
Asukata Shrine,Q135068821,Asukata Shrine.xml
Asukata Shrine (Jōnan-gū subshrine),Q135180035,Asukata Shrine (Jōnan-gū subshrine).xml
Asukata Shrine (Yamashiro Province),Q135068819,Asukata Shrine (Yamashiro Province).xml
Asukatano Shrine,Q135038790,Asukatano Shrine.xml
Asukino Shrine,Q135040959,Asukino Shrine.xml
Asurino Shrine,Q135041086,Asurino Shrine.xml
Asusuki Shrine,Q135195215,Asusuki Shrine.xml
Asusukino Shrine,Q135040535,Asusukino Shrine.xml
Asuzushi Shrine,Q135070016,Asuzushi Shrine.xml
Asō Shrine,Q17191369,Asō Shrine.xml
Atachino Shrine,Q135039732,Atachino Shrine.xml
Atachino Shrine former site,Q135193315,Atachino Shrine former site.xml
Atago Shrine (Kasama City),Q135193465,Atago Shrine (Kasama City).xml
Atago Shrine (Q135040118),Q135040118,Atago Shrine (Q135040118).xml
Atago Shrine (Q135070110),Q135070110,Atago Shrine (Q135070110).xml
Atagono Shrine,Q135040494,Atagono Shrine.xml
Atagono Shrine (Q135270267),Q135270267,Atagono Shrine (Q135270267).xml
Atahimeno Shrine,Q135038962,Atahimeno Shrine.xml
Atakatsutakemikumano Shrine,Q135040748,Atakatsutakemikumano Shrine.xml
Atamino Shrine,Q135041490,Atamino Shrine.xml
Atawokano Shrine,Q135040519,Atawokano Shrine.xml
Ataya Shrine,Q135070357,Ataya Shrine.xml
Atayutano Shrine,Q135039912,Atayutano Shrine.xml
Ato Shrine,Q17191533,Ato Shrine.xml
Atsu Shrine,Q135070314,Atsu Shrine.xml
Atsuhitakahiko Shrine,Q11569065,Atsuhitakahiko Shrine.xml
Atsukushihikono Shrine,Q135040490,Atsukushihikono Shrine.xml
Atsumayakunino Shrine,Q135039997,Atsumayakunino Shrine.xml
Atsuta Shrine,Q482065,Atsuta Shrine.xml
Atsuwa Shrine,Q28690200,Atsuwa Shrine.xml
Awa Shrine (Oyama),Q59282622,Awa Shrine (Oyama).xml
Awa-no-Mikoto Shrine,Q17218974,Awa-no-Mikoto Shrine.xml
Awabitamashiratama-hime-no-Mikoto Shrine,Q134928802,Awabitamashiratama-hime-no-Mikoto Shrine.xml
Awai Shrine,Q11604560,Awai Shrine.xml
Awano Shrine,Q135069817,Awano Shrine.xml
Awano Shrine (Shinano Province),Q135069821,Awano Shrine (Shinano Province).xml
"Awano Shrine (Toyono, Nagano City)",Q135194232,"Awano Shrine (Toyono, Nagano City).xml"
"Awano Shrine (Ueno, Nagano City)",Q135194233,"Awano Shrine (Ueno, Nagano City).xml"
Awawa Shrine,Q11657490,Awawa Shrine.xml
Awayamanoueno Shrine,Q11657523,Awayamanoueno Shrine.xml
Awofusumano Shrine,Q135098964,Awofusumano Shrine.xml
Awomino Shrine,Q135040434,Awomino Shrine.xml
Awomino Shrine (Q135040456),Q135040456,Awomino Shrine (Q135040456).xml
Awoumino Shrine,Q135040072,Awoumino Shrine.xml
Awowino Shrine,Q135039731,Awowino Shrine.xml
Awowino Shrine okumiya,Q135193311,Awowino Shrine okumiya.xml
Ayabusuma Shrine,Q135187137,Ayabusuma Shrine.xml
Ayuta Shrine,Q135186611,Ayuta Shrine.xml
Ayutano Shrine,Q135039339,Ayutano Shrine.xml
Azai Shrine (Ichinomiya),Q11556984,Azai Shrine (Ichinomiya).xml
Azaka Shrine,Q135186477,Azaka Shrine.xml
Azumaya-gū,Q135069467,Azumaya-gū.xml
Azumayanuma Shrine,Q11526673,Azumayanuma Shrine.xml
Azura Shrine,Q11657682,Azura Shrine.xml
Azusami Tenjinsha,Q11657681,Azusami Tenjinsha.xml
Azusawakenomikoto Shrine,Q134926700,Azusawakenomikoto Shrine.xml
Bandai Shrine,Q135069885,Bandai Shrine.xml
Bingokunininomiya Chihayahiko Shrine,Q135197992,Bingokunininomiya Chihayahiko Shrine.xml
Bishu Shrine,Q135070080,Bishu Shrine.xml
Biyatsukan Shrine,Q135070297,Biyatsukan Shrine.xml
Chichihayano Shrine,Q135039470,Chichihayano Shrine.xml
"Chigata Shrine (Tanaka, Kawamoto Village, Ōsato District)",Q135193363,"Chigata Shrine (Tanaka, Kawamoto Village, Ōsato District).xml"
Chigi Shrine,Q135038809,Chigi Shrine.xml
Chihamura- Shrine,Q135040127,Chihamura- Shrine.xml
Chihayahiko Shrine,Q135197993,Chihayahiko Shrine.xml
Chihayahikono Shrine,Q135041252,Chihayahikono Shrine.xml
Chihayahimeno Shrine,Q135041253,Chihayahimeno Shrine.xml
Chiino Shrine,Q135041072,Chiino Shrine.xml
Chikushi Shrine,Q11602932,Chikushi Shrine.xml
Chikuya Shrine,Q135040787,Chikuya Shrine.xml
Chinamiyoruhiko Shrine,Q135070221,Chinamiyoruhiko Shrine.xml
Chinamiyoruhiko Shrine (Bingo Province),Q135070222,Chinamiyoruhiko Shrine (Bingo Province).xml
Chinoka Shrine,Q135040051,Chinoka Shrine.xml
Chinono Shrine,Q135039481,Chinono Shrine.xml
Chinono Shrine (Q135040516),Q135040516,Chinono Shrine (Q135040516).xml
