QID,Page
Q135040693,Amano Shrine (Q135040693)
Q135041281,Amano Shrine (Q135041281)
Q135270269,Amano Shrine (Q135270269)
Q3231835,Amano-Iwato
Q259727,Amanohashidate
Q107410068,Amanohashidate Shrine
Q135040967,Amanohinatorino Shrine
Q135186661,Amanohitokuhatano Shrine Site
Q135041106,Amanohohino- Shrine
Q135038794,Amanohohinomikotono Shrine
Q135041454,Amanoihatowakenoyasukunitama- Shrine
Q2841102,Amanoiwato Shrine
Q11442563,Amanoiwato Shrine (Fukuchiyama)
Q135039290,Amanokagoyamano Shrine
Q98082987,Amanokaguyama Shrine
Q135039033,Amanokakoyamano- Shrine
Q135193728,Amanokawa no Mikoto Shrine
Q10939945,Amanokume no Mikoto
Q136764753,Amanomikemunushi-no-Kami
Q135330332,Amanosagiri-no-Kami
Q135041530,Amanotakutsutamano- Shrine
Q135186297,Amano‑Kaguyama Shrine
Q97613650,Amaoshio no mikoto
Q127783765,Amasashihiko-no-Mikoto Shrine
Q11442221,Amasashinowake Shrine
Q135040973,Amashirohikono Shrine
Q135040974,Amashirohimeno Shrine
Q135041144,Amatakekanakaya Shrine
Q135039285,Amatamitsu- Shrine
Q11659781,Amatarashi Shrine
Q455602,Amaterasu
Q20038509,Amaterasu Sumemioya Shrine
Q11442907,Amaterasu Ōmikami Takakura Shrine & Iwato Shrine
Q135041549,Amateruno Shrine
Q135040531,Amaterutamano- Shrine
Q121355874,Amato Hime-no-Mikoto
Q24899653,Amatomi no Mikoto
Q11442801,Amatsu Shrine (Narashino City)
Q135197898,Amatsu Shrine (Q135197898)
Q172253,Amatsu Shrine
Q10940228,Amatsuhikone
Q135039024,Amatsuihatowakeno Shrine
Q135038769,Amatsuihatowakewakahimeno Shrine
Q11442478,Amatsuka Kofun
Q135039870,Amatsukahano- Shrine
Q60994492,Amatsukami
Q107410066,Amatsukasahiko Shrine
Q107410067,Amatsukasahiko Shrine (Q107410067)
Q135041313,Amatsukasahikono Shrine
Q135113177,Amatsukunitama-no-Mikoto
Q135041133,Amatsuno Shrine
Q135041333,Amatsunumahikono Shrine
Q135270441,Amatsunumahikono Shrine (Q135270441)
Q11442354,Amawake Toyohime Shrine
Q135069908,Amayo Shrine
Q135040144,Amayono Shrine
Q135194539,Amayono Shrine former site
Q63891125,Amayukawata Shrine
Q455990,Amazake
Q460509,Amduat
Q106241464,Ame no Murakumo
Q48744862,Ame-no-Fuyukinu
Q60996386,Ame-no-Hibaraooshinadomi-no-Kami
Q65270357,Ame-no-Hiwashi Shrine (disambiguation)
Q97184246,Ame-no-Ikutama
Q10940849,Ame-no-Kaguyama
Q2564508,Ame-no-Koyane
Q10016750,Ame-no-Mahitotsu-no-Mikoto
Q134879671,Ame-no-Mikage-no-Kami
Q135098895,Ame-no-Mikumari-toyoura Shrine
Q2842779,Ame-no-Minakanushi
Q30934659,Ame-no-Miya Shrine
Q91088537,Ame-no-Oshikumone
Q11442597,Ame-no-Shirahano Shrine
Q11442606,Ame-no-Tanagao Shrine
Q10939047,Ame-no-Tokotachi
Q10731425,Ame-no-torifune
Q55533659,Ame-no-Tsudoechine
Q108376881,Ame-no-ukihashi
Q462803,Ame-no-Uzume
Q135194521,Ame-no-Yahorotsu-hime Shrine (subsidiary of Oshio Hachimangū)
Q52319907,Ame-no-Yukawata
Q11442508,Ame-Futotama-no-Mikoto Shrine
Q135194884,"Amehikagehime Shrine (Nishibaba, Nakanoto Town)"
Q135194883,"Amehikage‑Hime Shrine (Ninomiya, Nakanoto Town)"
Q135040317,Amehikake- Shrine
Q135289776,Amehikake- Shrine (Q135289776)
Q135098991,Amehimewakamikono Shrine
Q135041190,Ameihatowakeno Shrine
Q11442211,Ameku-gū
Q135040141,Amekunihimeno Shrine
Q135040140,Amekunitsuhikono Shrine
Q135041171,Amemahitotsunono Shrine
Q135041507,Ameno-tanakahimeno Shrine
Q135039761,Amenohayatamahimeno- Shrine
Q713100,Amenohiboko
Q135039363,Amenohitokuhatano Shrine
Q10940411,Amenohoakari
Q17191844,Ame-no-Hohi-no-Mikoto Shrine
Q135038843,Amenoihasuhino Shrine
Q135039864,Amenoihatowakenotono Shrine
Q135194523,Amenokunitsuhiko Shrine (small subsidiary within Oshio Hachimangū precinct)
Q135194522,Amenokunitsuhiko Shrine (small subsidiary within Tsunemiya Shrine precinct)
Q135194525,Amenokunitsuhime Shrine (small subsidiary within Oshio Hachimangū precinct)
Q135194524,Amenokunitsuhime Shrine (small subsidiary within Tsunemiya Shrine precinct)
Q135098973,Amenomikono- Shrine
Q11659618,Amenomiya Kofun Cluster
Q135041529,Amenomorohanomikoto Shrine
Q65259139,"Iwafune Shrine, Konan"
Q462580,Amenophis Festivals
Q54153272,Amenotakechi Shrine
Q135041506,Amenotanakawono Shrine
Q106107027,Amenotaneko
Q24863642,Ame-no-Toyotarashikara-hime-no-mikoto Shrine
Q135098994,Amesusuno Shrine
Q135041283,Ametachikarawono Shrine
Q135098990,Ametotsurukino Shrine
Q135039676,Ametsuseno- Shrine
Q135270422,Ametsuseno- Shrine (Q135270422)
Q135040961,Amewakahikono Shrine
Q135040970,Amewakahikono Shrine (Q135040970)
Q135039833,Ameyahotsurano Shrine
Q135040139,Ameyahoyorotsu- Shrine
Q135041311,Ameyoritateno Shrine
Q135198814,Ame‑no‑Morohano‑Mikoto Shrine
Q135198837,Ame‑no‑Morohano‑Mikoto Shrine (Q135198837)
Q135198847,Ame‑no‑Morohano‑Mikoto Shrine (Q135198847)
Q55522478,Ami Hama Chausuyama Kofun
Q17191824,Ami Shrine (Nakagō)
Q116776991,Amidaji Kofun Cluster
Q135069858,Amido Shrine
Q17191825,Ami Shrine
Q11607242,Amino Chōshiyama Kofun
Q135039760,Amino Shrine
Q135040585,Aminono Shrine
Q236242,Amitābha
Q11361835,Amoghapasha
Q597586,Amoghasiddhi
Q10940731,Amonotoyototsu-hime
Q135195380,Amuka Shrine
Q135195381,Amuka Shrine (Q135195381)
Q135040645,Amukano Shrine
Q135040530,Amukano Shrine (Q135040530)
Q481554,Amun-Ra
Q481558,Amun-Re Festival
Q2844863,An (Shinto)
Q135038817,Anafukino Shrine
Q111657088,Anagahayama Kofun
Q11597204,Anagiri Daijinja
Q135039491,Anahoheno Shrine
Q24870597,Anaishi Shrine
Q11597258,Anakannon Kofun
Q135070066,Anakengoukoshudainamabuheishushin Shrine
Q135040668,Anamekino Shrine
Q135070066,Anamigo Toshunushi Ōube Hyoju Shrine
Q135194930,Anamizu Omiya Shrine
Q11597236,Anamizu Ōmiya
Q135039729,Anasahano- Shrine
Q135186300,Anashi Shrine
Q135186302,Anashi Shrine Site
Q11597229,Anashi-Nimasu Hyōzu Shrine
Q135039291,Anashino Shrine
Q135040067,Anashino Shrine (Q135040067)
Q135098834,Anashinoohohiyauzuno Shrine
Q135041228,Anatono- Shrine
Q135070198,Anatoyama Shrine
Q135070199,Anatoyama Shrine (Bitchū Province)
Q135070199,Anatoyama Shrine (Q135070199)
Q135069520,Anazawa Tenjin Shrine
Q11597242,Anazawa Tenjinsha
Q135069520,Anazawa Tenjin Shrine (Ronsha 1)
Q11581090,Ancestors of the Emperor
Q249027,Ancestral shrine
Q447064,Ancient Egyptian cryptography
Q1669420,Ancient Egyptian Day
Q1944246,Ancient Egyptian Lunar Calendar
Q1585619,Ancient Egyptian Valley Temple
Q130455352,Anderayama Kofun
Q11626169,Andon-yama Kofun
Q11447263,Anegasaki Tenjinyama Kofun
Q11447242,Anekoji Street
Q135194979,"Anekura Himemi Shrine (Funakura, Toyama City)"
Q135040380,Anekura- Shrine
Q135041062,Aneno Shrine
Q27500978,Anesaki district
Q11447258,Anesaki Futagozuka Kofun
Q17191614,Anesaki Kofun Group
Q11447235,Anesaki Shrine
Q11451150,Anfuku-ji (Kashiwara)
Q11450252,Ani Shrine
Q135069905,Aniko Shrine
Q135069905,Anikogami Shrine
Q135040143,Anikono Shrine
Q11450265,Anju-in
Q20043040,Ankokoji (Chino City)
Q135070067,Anmuka Shrine
Q135070068,Anmuka Shrine (Tajima Province)
Q11483816,Annual event
Q11451148,Anpuku-ji Temple
Q2852420,Anrakuju-in
Q125236214,Antoku Ōzuka Kofun
Q135041237,Antsukino- Shrine
Q11657487,Anumi Shrine
Q135198210,Anumi Shrine (Q135198210)
Q2857954,Aoba Shrine
Q773085,Aoi Matsuri
Q11662605,Aoi Shrine
Q135193309,Aoi Shrine (Chofu)
Q128845393,Aoki Shrine
Q135070049,Aokura Shrine
Q112923996,Aomi Shrine
Q21652327,Aomori Gokoku Shrine
Q136705879,Aonuma-Mashi-no-Maou-hime
Q11661103,Aosamurai
Q2857985,Aoshima Shrine
Q11662833,Aoso Shrine
Q11661131,Aotsuka Kofun
Q11568955,Aoyama Kumano Shrine
Q135039765,Aoyama Shrine
Q11661130,Aozuka Kofun (Kannonji City)
Q839352,April (Lunisolar)
Q839301,April 1 (Lunisolar)
Q839167,April 10 (Lunisolar)
Q838941,April 11 (Lunisolar)
Q839183,April 12 (Lunisolar)
Q839173,April 13 (Lunisolar)
Q839045,April 14 (Lunisolar)
Q839077,April 15 (Lunisolar)
Q839296,April 16 (Lunisolar)
Q839398,April 17 (Lunisolar)
Q839394,April 18 (Lunisolar)
Q839333,April 19 (Lunisolar)
Q839120,April 2 (Lunisolar)
Q839311,April 20 (Lunisolar)
Q839373,April 21 (Lunisolar)
Q839306,April 22 (Lunisolar)
Q839362,April 23 (Lunisolar)
Q839640,April 24 (Lunisolar)
Q839510,April 25 (Lunisolar)
Q839623,April 26 (Lunisolar)
Q839450,April 27 (Lunisolar)
Q839506,April 28 (Lunisolar)
Q839489,April 29 (Lunisolar)
Q838906,April 3 (Lunisolar)
Q839471,April 30 (Lunisolar)
Q838910,April 4 (Lunisolar)
Q838972,April 5 (Lunisolar)
Q838869,April 6 (Lunisolar)
Q839052,April 7 (Lunisolar)
Q839007,April 8 (Lunisolar)
Q838863,April 9 (Lunisolar)
Q521834,Arahitogami
Q67989816,Araho Shrine
Q467616,Arai Hakuseki
Q11618386,Arai Shrine (Nantan)
Q135194885,Araishi Hiko Shrine
Q135194887,Araishi Shrine
Q135040319,Araiso- Shrine
Q135040475,Arakahano Shrine
Q11618763,Arakashi Shrine
Q135039974,Arakashi Shrine (Q135039974)
Q135270258,Arakashi Shrine (Q135270258)
Q135040323,Arakashi- Shrine
Q135039898,Arakatano Shrine
Q11618500,Arakawa River (Yamanashi)
Q135195154,"Arakawa Shrine (Arakawa, Murakami)"
Q135195153,"Arakawa Shrine (Koiwanai, Murakami)"
Q135195155,Arakawa Shrine (Tainai)
Q97539561,Arakawato Hime
Q11618425,Araki Shrine
Q120324086,Araki Shrine (Uchi district)
Q11618716,Arakida clan
Q135040532,Arakino Shrine
Q117138364,Araki Shrine (Izunokuni)
Q105949368,Arakura Fuji Asama Shrine
Q135039892,Arakurano Shrine
Q2859485,Aramatsuri-no-Miya
Q112161861,Arami Shrine
Q135068854,Arami Shrine (Tomino)
Q135038798,Aramino Shrine
Q11618879,Araogawa Shrine (Naruko Onsen)
Q11618878,Araogawa Shrine (Osaki City Iwadeyama Ikezuki)
Q135040729,Arasaka Shrine
Q122942300,Arashima Kofun Cluster
Q135040222,Arashimano Shrine
Q135070020,Arasu Shrine
Q135195230,Arasu Shrine (Fukuchiyama City)
Q135195231,Arasu Shrine (Maizuru City)
Q135070021,Arasu Shrine (Tango Province)
Q135195566,Arasuna Shrine
Q135040554,Arasuno Shrine
Q17191921,Arata Shrine
Q135041167,Aratano Shrine
Q17216467,Aratawake
Q135039992,Arawokahano Shrine
Q959782,Archaeological excavation
Q62056170,Arei Shrine
Q11656525,Argha
Q8378912,Aridagawa River
Q135069598,Ariga Shrine
Q135039175,Arihono Shrine
Q11516392,Arikawa Shrine
Q11516348,Arikoyama Castle
Q11516720,Arima Shrine
Q135041075,Arino Shrine
Q107605129,Arioka Kofun Cluster
Q135192613,Aritama Shrine
Q135041229,Aritano Shrine
Q11625900,Aritōshi Shrine
Q11625903,Aritōshi Shrine (Izumisano)
Q11625904,Aritōshi Shrine (Tanabe)
Q11375977,Artificial Hot Spring
Q11516854,Aruka Shrine
Q11517708,Asadatehiko Shrine
Q135193511,Asadono Shrine
Q11517469,Asahi Tenjinyama Kofun
Q135039604,Asahihatakano Shrine
Q135194373,Asahiyama Kesenma Shrine
Q11556982,Asai Shrine
Q135194957,"Asai Shrine (Fukuoka, Takaoka)"
Q135194958,"Asai Shrine (Ishizutsumi, Takaoka)"
Q135187107,Asai Shrine (Q135187107)
Q115187945,Asai Shrine (Takaoka Ishizutsumi)
Q135040466,Asaihinono Shrine
Q11657390,Asaka Shrine
Q135039326,Asakano Shrine
Q135069911,Asaki Shrine
Q135069912,Asaki Shrine (Echizen Province)
Q135040605,Asakonoisobeno Shrine
Q17214570,Asakozuka Kofun
Q17191186,Asakuma Shrine
Q16276586,Asakuma Shrine (disambiguation)
Q18989915,Asakura Kofun
Q11517327,Asakura Shrine
Q11510876,"Asakura Shrine (Uji, Kyoto)"
Q17191190,Asakura Shrine (Wakayama)
Q11517328,Asakura Shrine (Kōchi)
Q135041110,Asakurahiko-no-Mikoto Shrine
Q720644,Asakusa
Q117411837,Asakusa Fuji Sengen Shrine
Q670049,Asakusa Shrine
Q11557476,Ichinomiya Asama Shrine (Fuefuki)
Q135039708,Asamano Shrine
Q135040614,Asamano Shrine (Q135040614)
Q135270287,Asamano Shrine (Q135270287)
Q18989938,Asamine Shrine
Q11517375,Asamiya Shrine
Q11517252,Asashiro Shrine
Q11451643,Asato-Hachimangū
Q135040356,Asawino Shrine
Q135039477,Asawino Shrine (Q135039477)
Q11517384,Asayama Shrine
Q1096244,Ashihara no Nakatsukuni
Q17191305,Ashihara Shrine
Q11657712,Achihayao Shrine
Q135040524,Ashii Shrine
Q11621139,Ashiinaba Shrine
Q135039388,Ashikano Shrine
Q135040611,Ashikano Shrine (Q135040611)
Q135039813,Ashikino Shrine
Q135186751,Ashimita Shrine
Q135039398,Ashimitano Shrine
Q11637062,Ashinaga Shrine
Q55533749,Ashinataka-no-Kami
Q643763,Ashinazuchi and Tenazuchi
Q135039245,Ashino Shrine
Q135039579,Ashino Shrine (Q135039579)
Q135039834,Ashisakino Shrine
Q11637069,Ashitaka Shrine
Q135040649,Ashitano Shrine
Q135070209,Ashitsugi Shrine
Q135070210,Ashitsugi Shrine (Bitchū Province)
Q135070208,Ashitsugiyama Shrine
Q135039626,Ashitsukino Shrine
Q135039871,Ashitsumino Shrine
Q725522,Ashiyu
Q11657433,Ashizumi Shrine
Q11657432,Ashizumi Shrine & Yukisugi Tenmangū
Q11657653,Aso clan
Q106301371,Aso Pink Stone
Q715639,Aso Shrine
Q17191369,Asō Shrine
Q11657662,"Aso Shrine (Hashima, Gifu)"
Q135041486,Aso-Hime Shrine
Q135040120,Asomurano- Shrine
Q4807592,Ason
Q751989,Astronomical events
Q135040213,Asuhano Shrine
Q11665953,Asuka
Q135039012,Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine
Q135270112,Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine (Q135270112)
Q11658011,Asuka Shrine
Q11665937,Asuka Stone Carvings
Q752394,"Asuka, Yamato"
Q11665959,Asuka-ni-Imasu Shrine
Q11665970,Asukabe Shrine
Q11665977,Asukada Shrine
Q135069118,Asukakawakamizausutakihimeinochi Shrine
Q135098850,Asukanoyamakuchino Shrine
Q135068821,Asukata Shrine
Q135180035,Asukata Shrine (Jōnan-gū subshrine)
Q124481960,Asukata Shrine (Kakamigahara City)
Q135068819,Asukata Shrine (Yamashiro Province)
Q135038790,Asukatano Shrine
Q135040959,Asukino Shrine
Q1637262,Asura (Buddhism)
Q135041086,Asurino Shrine
Q135040535,Asusukino Shrine
Q135070016,Asuzushi Shrine
Q135039732,Atachino Shrine
Q135193315,Atachino Shrine former site
Q11493823,Atago Faith
Q11493854,Atago Fire Festival
Q1101132,Atago Gongen
Q11493868,Atago Matsuri
Q48745772,Atago Matsuri (Tanba City)
Q11493863,Atago Shrine
Q128866607,Atago Shrine (Ageo)
Q11493869,Atago Shrine (Gujō)
Q11493857,Atago Shrine (Kameoka)
Q135193465,Atago Shrine (Kasama City)
Q11493855,Atago Shrine (Kuki Honcho)
Q713021,Atago Shrine (Kyoto)
Q11493864,Atago Shrine (Matsushima)
Q135040118,Atago Shrine (Q135040118)
Q135070110,Atago Shrine (Q135070110)
Q11493865,Atago Shrine (Shiroi)
Q11493860,Atago Shrine (Tendō)
Q2868748,Atago Shrine (Tokyo)
Q20042964,"Atago Shrine (Toyosato, Tome)"
Q11493858,Atago Shrine (Tsuchiura)
Q11493866,Atago Shrine (Yonezawa City/Toyama)
Q135040494,Atagono Shrine
Q135270267,Atagono Shrine (Q135270267)
Q11493844,Atagoyama Kofun
Q11493842,Atagoyama Kofun (Mito)
Q11493845,Atagoyama Yokoanabos
Q28154560,Atagozuka Kofun
Q17988414,Atagozuka Kofun (Mibu)
Q38279188,Atagozuka Kofun (Shimotsuke)
Q135038962,Atahimeno Shrine
Q135040748,Atakatsutakemikumano Shrine
Q11569090,Atami Onsen
Q135041490,Atamino Shrine
Q135040519,Atawokano Shrine
Q135070357,Ataya Shrine
Q11657360,Atayuta Shrine
Q135039912,Atayutano Shrine
Q109594455,Athlete Voyeurism
Q11450750,Ato no Sukune
Q83680939,Ato no Ōtari
Q17191533,Ato Shrine
Q28691027,Atobe Dancing Nembutsu
Q135070314,Atsu Shrine
Q11569065,Atsuhitakahiko Shrine
Q135040490,Atsukushihikono Shrine
Q135039997,Atsumayakunino Shrine
Q28690200,Atsuwa Shrine
Q841072,August (Lunisolar)
Q840103,August 1 (Lunisolar)
Q840142,August 10 (Lunisolar)
Q840149,August 11 (Lunisolar)
Q840295,August 12 (Lunisolar)
Q840292,August 13 (Lunisolar)
Q840163,August 14 (Lunisolar)
Q835516,August 15 (Lunisolar)
Q840140,August 16 (Lunisolar)
Q840155,August 17 (Lunisolar)
Q840278,August 18 (Lunisolar)
Q840369,August 19 (Lunisolar)
Q840066,August 2 (Lunisolar)
Q840168,August 20 (Lunisolar)
Q840225,August 21 (Lunisolar)
Q840093,August 22 (Lunisolar)
Q840342,August 23 (Lunisolar)
Q840034,August 24 (Lunisolar)
Q840095,August 25 (Lunisolar)
Q840395,August 26 (Lunisolar)
Q840411,August 27 (Lunisolar)
Q840180,August 28 (Lunisolar)
Q840048,August 29 (Lunisolar)
Q840073,August 3 (Lunisolar)
Q840315,August 30 (Lunisolar)
Q840014,August 4 (Lunisolar)
Q840100,August 5 (Lunisolar)
Q840382,August 6 (Lunisolar)
Q840221,August 7 (Lunisolar)
Q840029,August 8 (Lunisolar)
Q840134,August 9 (Lunisolar)
Q11595783,Autumn Matsuri
Q30319396,Aviation Shrines
Q135070263,Awa Hachiman Shrine
Q419412,Awa Province
Q11657506,Awa Seven Lucky Gods Pilgrimage
Q705547,Awa Shrine
Q79727319,Awa Shrine (disambiguation)
Q10564964,Awa Tanuki Gassen
Q11657550,Awa Village
Q17192448,Awa-Miko Shrine
Q65291985,Awa-shi
Q134928802,Awabitamashiratama-hime-no-Mikoto Shrine
Q136720350,Awaga Daimyojin Mototsufumi
Q11604651,Awaga Shrine
Q11604560,Awai Shrine
Q59282622,Awa Shrine (Oyama)
Q135069817,Awano Shrine
Q135069821,Awano Shrine (Shinano Province)
Q135194232,"Awano Shrine (Toyono, Nagano City)"
Q135194233,"Awano Shrine (Ueno, Nagano City)"
Q17218974,Awa-no-Mikoto Shrine
Q11604597,Awashima Shrine (Kainan)
Q11604598,Awashima Shrine (Uto City)
Q7007362,Awashima Shrine (Wakayama)
Q1575740,Awashima-no-Kami
Q11604632,Awata Shrine
Q11657490,Awawa Shrine
Q11657523,Awayamanoueno Shrine
Q135098964,Awofusumano Shrine
Q135040434,Awomino Shrine
Q135040456,Awomino Shrine (Q135040456)
Q135040072,Awoumino Shrine
Q135039731,Awowino Shrine
Q135193311,Awowino Shrine okumiya
Q135187137,Ayabusuma Shrine
Q11619951,Ayamezuka Kofun
Q24864987,Ayashi no Taue Odori
Q11607305,Ayato-Kunaka Shrine
