Page Title,Wikidata QID
Bureau of Pharmacy,Q11393760
Bureau of Religions,Q108816985
Bureau of Shinto Affairs,Q11590918
Bureau of Shrines,Q11590701
Bureau of Shrines and Temples,Q11588366
Burning of the Character Big,Q11435602
Butai No. 1 Kofun,Q109369265
Butsumoin,Q11377550
Butsuzōzui,Q24863487
Byōdō-in,Q61094
Byōdō-ji (Sakurai),Q11483472
Bīja,Q2416043
Bōseikyō,Q130529515
Bōsō Fudoki Hill,Q11406280
Candidate Imperial Mausoleum,Q11658425
Carbon Dioxide Springs,Q11371830
Carbonated Springs,Q108522399
Category:100 Fine Bridges of Japan,Q9680188
Category:100 Fine Castles of Japan,Q8086313
Category:100 Views of Ibaraki,Q24869549
Category:100 views of Japan,Q10196747
Category:1000 deaths,Q6579347
Category:1004 establishments,Q8086296
Category:1005 deaths,Q6677714
Category:1007 establishments,Q8086318
Category:1015,Q6418465
Category:1015 deaths,Q6579626
Category:1019,Q6579697
Category:1019 deaths,Q6678581
Category:1027 deaths,Q6579829
Category:1052 establishments in Asia,Q29001566
Category:1058,Q6684036
Category:1058 deaths,Q6580307
Category:1060s births,Q6642536
Category:1062 establishments in Asia,Q25239632
Category:1063 establishments in Asia,Q25239635
Category:1065 deaths,Q6580404
Category:1068,Q6685177
Category:1068 births,Q6580430
Category:10th century,Q6677658
Category:10th century by country by year,Q8087155
Category:10th century in law,Q7583412
Category:10th century in religion,Q8087193
Category:10th-century Asian people,Q8087045
Category:10th-century Buddhism,Q25317954
Category:10th-century Buddhist nuns,Q86304468
Category:10th-century Buddhist temples,Q15306157
Category:10th-century Buddhists,Q25030775
Category:10th-century Japanese books,Q105411455
Category:10th-century Japanese literature,Q31936118
Category:10th-century Shinto,Q125081503
Category:10th-century Shinto shrines,Q105600145
Category:10th-century battles,Q6615290
Category:10th-century conflicts,Q7208157
Category:10th-century deaths,Q7085378
Category:10th-century disasters,Q65719648
Category:10th-century establishments in Asia,Q24077513
Category:10th-century establishments in Japan,Q25337618
Category:10th-century history books,Q7777866
Category:10th-century military personnel,Q6277599
Category:10th-century nuns,Q86304475
Category:10th-century people,Q6926921
Category:10th-century people by occupation,Q6926935
Category:10th-century religious buildings and structures,Q8087139
Category:1110,Q6690114
Category:1110 births,Q6580966
Category:1110s births,Q6642658
Category:1120s deaths,Q6543265
Category:1121,Q6691453
Category:1121 deaths,Q6581137
Category:1130 establishments in Asia,Q29955648
Category:1150s births,Q6642771
Category:1160s establishments in Asia,Q25241682
Category:1160s establishments in Japan,Q55992793
Category:1164 establishments in Asia,Q30705748
Category:1183,Q6581938
Category:1183 deaths,Q6699087
Category:1184 deaths,Q6581971
Category:1190s by country,Q8088357
Category:1190s in Japan,Q18990860
Category:1198 births,Q6642889
Category:11th century,Q6671991
Category:11th-century Asian people,Q8088471
Category:11th-century Buddhist nuns,Q86304483
Category:11th-century Buddhists,Q25030773
Category:11th-century Shinto,Q125081517
Category:11th-century Shinto shrines,Q105600132
Category:11th-century architecture,Q7067999
Category:11th-century births,Q6642411
Category:11th-century books,Q8088593
Category:11th-century deaths,Q6545249
Category:11th-century establishments in Asia,Q20927750
Category:11th-century establishments in Japan,Q15081839
Category:11th-century literature,Q7823767
Category:11th-century military personnel,Q6277601
Category:11th-century nuns,Q86304491
Category:11th-century religious buildings and structures,Q8088601
Category:11世紀没,Q6545249
Category:12 BC establishments,Q8089915
Category:1200s establishments in Asia,Q22028587
Category:1200s establishments in Japan,Q30708862
Category:1200s in Japan,Q18990868
Category:1202 establishments in Asia,Q30655074
Category:1210 births,Q6582329
Category:1221 deaths,Q5877970
Category:1229 births,Q6643005
Category:1230s establishments in Asia,Q25225867
Category:1230s establishments in Japan,Q30708869
Category:1236 establishments in Asia,Q25239750
Category:125 Shrines of Ise,Q18728084
Category:1250 deaths,Q6582932
Category:1250s establishments in Asia,Q22028583
Category:1250s establishments in Japan,Q30708878
Category:1253 deaths,Q6582964
Category:1253 establishments in Asia,Q30706036
Category:1263 births,Q6583112
Category:1270s establishments in Asia,Q22028580
Category:1270s establishments in Japan,Q8089560
Category:1272 establishments in Asia,Q30655076
Category:1280s establishments in Asia,Q25230091
Category:1280s establishments in Japan,Q30708892
Category:1281 deaths,Q6710761
Category:1282 establishments in Asia,Q30705511
Category:1290s establishments in Asia,Q22028579
Category:1290s establishments in Japan,Q30708897
Category:1291 establishments in Asia,Q29955652
Category:1292 deaths,Q6583523
Category:1295 births,Q6643188
Category:12th century,Q7022216
Category:12th century in Japan,Q6519363
Category:12th century in religion,Q8090146
Category:12th-century Asian people,Q8089927
Category:12th-century Buddhism,Q25317947
Category:12th-century Buddhist monks,Q70813298
Category:12th-century Buddhist nuns,Q86304515
Category:12th-century Buddhists,Q25030770
Category:12th-century Japanese people,Q25170070
Category:12th-century Japanese people by occupation,Q52079223
Category:12th-century Japanese women,Q55910042
Category:12th-century Shinto,Q125081546
Category:12th-century Shinto shrines,Q105600139
Category:12th-century battles,Q8861027
Category:12th-century births,Q6642628
Category:12th-century deaths,Q6457050
Category:12th-century establishments in Asia,Q22028373
Category:12th-century establishments in Japan,Q8090040
Category:12th-century military personnel,Q6277603
Category:12th-century monks,Q25030554
Category:12th-century nuns,Q83499085
Category:12th-century people,Q7129393
Category:12th-century people by conflict,Q8090077
Category:12th-century people by religion,Q25015062
Category:12th-century religious buildings and structures,Q8090083
Category:12th-century rulers,Q7985586
Category:12th-century shōguns,Q55910052
Category:12th-century women by occupation,Q52632248
Category:13 Shinto Sects,Q117257694
Category:1320s births,Q6643274
Category:1320s establishments in Asia,Q22028578
Category:1320s establishments in Japan,Q86763549
Category:1327,Q6584066
Category:1327 births,Q6584073
Category:1327 establishments in Asia,Q30705162
Category:1330s disestablishments in Japan,Q25307443
Category:1330s establishments in Asia,Q22028577
Category:1330s establishments in Japan,Q22028574
Category:1331 establishments in Asia,Q22029091
Category:1335 in Asia,Q8090644
Category:1335 in Japan,Q7329965
Category:1340s establishments in Asia,Q24077392
Category:1340s establishments in Japan,Q58895267
Category:1342 establishments in Asia,Q29001567
Category:1345 establishments in Asia,Q25237842
Category:1364 deaths,Q6584684
Category:13th century in Asia,Q6316378
Category:13th century in Mongolia,Q25239932
Category:13th-century Asian people,Q8091589
Category:13th-century Buddhism,Q8091601
Category:13th-century Buddhist monks,Q86304537
Category:13th-century Buddhist nuns,Q86304541
Category:13th-century Buddhist temples,Q25337500
Category:13th-century Buddhists,Q8091603
Category:13th-century Japanese calligraphers,Q51288699
Category:13th-century Japanese people,Q27055562
Category:13th-century Japanese people by occupation,Q52527528
Category:13th-century Japanese philosophers,Q121774289
Category:13th-century Japanese poets,Q23270620
Category:13th-century Japanese women,Q55910067
Category:13th-century Japanese women writers,Q65647350
Category:13th-century Japanese writers,Q6231815
Category:13th-century battles,Q8860946
Category:13th-century books,Q8091734
Category:13th-century conflicts,Q5326588
Category:13th-century deaths,Q7103893
Category:13th-century establishments,Q7017515
Category:13th-century establishments in Asia,Q22029162
Category:13th-century establishments in Japan,Q8091701
Category:13th-century military personnel,Q6277604
Category:13th-century non-fiction writers,Q30599860
Category:13th-century nuns,Q83497878
Category:13th-century people by religion,Q25015058
Category:13th-century religious buildings and structures,Q8091747
Category:13th-century shōguns,Q55910078
Category:13th-century women by occupation,Q52632268
Category:1400s deaths,Q8091935
Category:1405,Q6585228
Category:1405 deaths,Q6726821
Category:1420s in Japan,Q18930397
Category:1426 in Japan,Q21292477
Category:1429 establishments in Asia,Q24076051
Category:1445 establishments in Asia,Q27991696
Category:1470s establishments in Asia,Q25235064
Category:1470s establishments in Japan,Q25308130
Category:1474 establishments in Asia,Q25235062
Category:1478 establishments in Asia,Q25240716
Category:1490 births,Q6643732
Category:1490s establishments in Asia,Q25230088
Category:1490s establishments in Japan,Q25310099
Category:1494,Q6587133
Category:1496 establishments in Asia,Q29001597
Category:14th century,Q7022210
Category:14th century BC,Q6468238
Category:14th century in Asia,Q6316450
Category:14th century in Japan,Q6316475
Category:14th century in Mongolia,Q8093600
Category:14th century in religion,Q8093625
Category:14th-century Asian people,Q8093385
Category:14th-century BC beginnings,Q109698938
Category:14th-century BC establishments,Q16761708
Category:14th-century Buddhism,Q8093392
Category:14th-century Buddhist monks,Q86249577
Category:14th-century Buddhist nuns,Q86304576
Category:14th-century Buddhist temples,Q15306239
Category:14th-century Buddhists,Q8093391
Category:14th-century Japanese historians,Q106288397
Category:14th-century Japanese people by occupation,Q52527531
Category:14th-century Japanese poets,Q25170095
Category:14th-century Japanese writers,Q13355303
Category:14th-century Shinto,Q125081597
Category:14th-century battles,Q8861000
Category:14th-century births,Q6643203
Category:14th-century books,Q7110123
Category:14th-century history books,Q7777851
Category:14th-century literature,Q6268323
Category:14th-century military personnel,Q6277606
Category:14th-century non-fiction writers,Q30599864
Category:14th-century nuns,Q86304590
Category:14th-century religious buildings and structures,Q8093549
Category:14th-century rulers,Q7985618
Category:14th-century wars,Q18600019
Category:1501 births,Q6587250
Category:1505 births,Q6587352
Category:1519 births,Q6587736
Category:1520 births,Q6643816
Category:1520s establishments in Asia,Q20927855
Category:1520s establishments in Japan,Q24077382
Category:1526 establishments in Japan,Q22029077
Category:1527 births,Q6587889
Category:1528 births,Q6587904
Category:1530 births,Q6587939
Category:1543 deaths,Q6744026
Category:1552 deaths,Q6744909
Category:1555 deaths,Q6745207
Category:1560 births,Q6588528
Category:1562 births,Q6643931
Category:1565 deaths,Q6588627
Category:1569 deaths,Q6901157
Category:1570s establishments in Asia,Q20927865
Category:1570s establishments in Japan,Q29001339
Category:1577 deaths,Q6588895
Category:1578 deaths,Q6747659
Category:1581 establishments in Asia,Q22029062
Category:1581 establishments in Japan,Q22029059
Category:1596 births,Q6590205
Category:1597 deaths,Q6902772
Category:1599 establishments in Japan,Q25063453
Category:15th century,Q7055713
Category:15th century in Japan,Q6316733
Category:15th century in religion,Q8096579
Category:15th-century Buddhism,Q25317937
Category:15th-century Buddhist temples,Q25337581
Category:15th-century Shinto,Q125081630
Category:15th-century Shinto shrines,Q105600147
Category:15th-century battles,Q8860624
Category:15th-century books,Q7110157
Category:15th-century deaths,Q7085480
Category:15th-century establishments in Japan,Q25337928
Category:15th-century literature,Q8981848
Category:15th-century military personnel,Q6277610
Category:15th-century religious buildings and structures,Q8096503
Category:15th-century rulers,Q7985739
Category:1600 deaths,Q6420433
Category:1600 establishments in Asia,Q25238051
Category:1600 establishments in Japan,Q25052940
Category:1600s establishments in Asia,Q24077378
Category:1600s establishments in Japan,Q25306850
Category:1609 in Japan,Q13234988
Category:1609 in military history,Q18705364
