qid	title	candidate_kana	lead
Q11544511	機殿神社		神服織機殿神社（かんはとりはたどのじんじゃ）・神麻続機殿神社（かんおみはたどのじんじゃ）はいずれも三重県松阪市にある神社。 元々は同じ場所に鎮座していたが、大垣内町の神服織機殿神社と井口中町の神麻続機殿神社の2社に分かれたと考えられている。いずれも皇大神宮（内宮）所管社で、両社を合わせて両機殿（機殿神社）と呼ぶ。両機殿の所在地は旧飯野郡機殿村で、松阪市立機殿小学校に「機殿」の地名を残している。 両機殿で行なわれる御衣奉織行事は松阪市の無形民俗文化財に指定されている。
Q18336610	江神社	えじんじゃ	江神社（えじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社27社のうち第17位である。 音無山東麓に鎮座し、五穀豊穣の守護神を祀る。
Q17209232	河原淵神社	かわらぶちじんじゃ	河原淵神社（かわらぶちじんじゃ）は、伊勢神宮豊受大神宮（外宮）の摂社。本記事では河原淵神社と同じ社地にある旧村社の船江上社（ふなえかみのやしろ）についても記述する。
Q17228197	河原神社 (伊勢市)	かわらじんじゃ	河原神社（かわらじんじゃ）は、伊勢神宮豊受大神宮（外宮）の摂社。本項目では、河原神社と同座する、毛理神社（もりじんじゃ）についても記述する。
Q17216185	津布良神社	つぶらじんじゃ	津布良神社（つぶらじんじゃ）は、伊勢神宮皇大神宮（内宮）の末社。水の神を祀る神社で、内宮の禰宜を務め鎮座地周辺を開拓した荒木田氏との関係が深い。
Q17215982	津長神社	つながじんじゃ	津長神社（つながじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。五十鈴川西岸、宇治橋と対面する鼓ヶ岳の山麓、正前の森に鎮座する。本項目では、津長神社と同座する、内宮末社の新川神社（にいかわじんじゃ）および石井神社（いわいじんじゃ）についても記述する。 3社とも倭姫命の定めた神社であり、祭神は水神である。
Q17225818	湯田神社	ゆたじんじゃ	湯田神社（ゆたじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社27社のうち第9位である。農耕の守護神を祀る神社である。
Q17229063	滝祭神	たきまつりのかみ	滝祭神（たきまつりのかみ）は、伊勢神宮皇大神宮（内宮）の所管社。内宮の宮域内、御手洗場（みたらし）のすぐ近くに鎮座する。 社殿を持たない神社であり、所管社でありながら別宮と同等の祭祀が捧げられる特別な神社である。
Q17229120	田上大水神社	たのえおおみずじんじゃ	田上大水神社（たのえおおみずじんじゃ）は、伊勢神宮豊受大神宮（外宮）の摂社。外宮の摂社16社のうち第5位である。本記事では田上大水神社と同じ社地にあり、外宮摂社のうち第6位である田上大水御前神社（たのえおおみずみまえじんじゃ）についても記述する。 両社の祭神は、外宮神官家の祖先であり、父子であるとされる。
Q17212120	田乃家神社	たのえじんじゃ	田乃家神社（たのえじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。本項目では、田乃家神社と同座する、内宮摂社の田乃家御前神社（たのえみまえじんじゃ）についても記述する。 両神社とも、農家の守護神を祀る。
Q17211882	由貴御倉	ゆきのみくら	由貴御倉（ゆきのみくら）は、伊勢神宮皇大神宮（内宮）の所管社。由貴御倉神（ゆきのみくらのかみ）とも称する。内宮の宮域内、五丈殿の北側に御酒殿神と並び鎮座する。
Q17228423	神前神社 (伊勢市)	こうざきじんじゃ	神前神社（こうざきじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社27社のうち第18位である。本項目では、神前神社と同座する、内宮末社の許母利神社（こもりじんじゃ）・荒前神社（あらさきじんじゃ）についても記述する。 3社とも地域の海岸の守護神であり、山頂に鎮座する。旧社地に比べて内陸寄りに鎮座しているが、境内には波の音が響いている。
Q135186223	神服織機殿神社	かんはとりはたどのじんじゃ	神服織機殿神社（かんはとりはたどのじんじゃ）・神麻続機殿神社（かんおみはたどのじんじゃ）はいずれも三重県松阪市にある神社。 元々は同じ場所に鎮座していたが、大垣内町の神服織機殿神社と井口中町の神麻続機殿神社の2社に分かれたと考えられている。いずれも皇大神宮（内宮）所管社で、両社を合わせて両機殿（機殿神社）と呼ぶ。両機殿の所在地は旧飯野郡機殿村で、松阪市立機殿小学校に「機殿」の地名を残している。 両機殿で行なわれる御衣奉織行事は松阪市の無形民俗文化財に指定されている。
Q17192448	粟皇子神社	あわみこじんじゃ	粟皇子神社（あわみこじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社27社のうち第19位である。 景勝地・池の浦に臨む岬に鎮座し、祭神は海岸の守護神とされる。
Q17227983	興玉神	おきたまのかみ	興玉神（おきたまのかみ）は、三重県伊勢市に所在する伊勢神宮皇大神宮（内宮）の所管社およびその祭神。内宮の御垣内に鎮座する。本項目では、興玉神と同じく正宮御垣内に鎮座する、内宮所管社の宮比神（みやびのかみ）および屋乃波比伎神（やのはひきのかみ）についても記述する。 3社とも社殿を持たない神社であり、祭神は内宮の守護神である。
Q17230799	若宮神社 (大紀町)	わかみやじんじゃ	若宮神社（わかみやじんじゃ）は、伊勢神宮皇大神宮（内宮）の別宮である瀧原宮の所管社である。 瀧原宮の所管社は当社と長由介神社、川島神社の3社あり、3社とも瀧原宮の境内に鎮座する。
Q17228323	草奈伎神社	くさなぎじんじゃ	草奈伎神社（くさなぎじんじゃ）は、伊勢神宮豊受大神宮（外宮）の摂社。外宮の摂社としては第1位である。本記事では草奈伎神社と同じ社地にある外宮摂社の大間国生神社（おおまくなりじんじゃ）についても記述する。 草奈伎神社・大間国生神社ともに外宮の中でも格式の高い神社であり、20年に1度の社殿の造り替えが行われてきたほか、他の摂社以下の神社に比べ多くの祭祀が行われる。
Q2859485	荒祭宮	あらまつりのみや	荒祭宮（あらまつりのみや）は、三重県伊勢市宇治館町にある内宮（皇大神宮）の境内別宮である。 祭神は天照坐皇大御神荒御魂（あまてらしますすめおおみかみのあらみたま）。 第62回神宮式年遷宮（2013年）では、他の別宮に先駆けて10月10日午後8時に遷御が行われた。
Q17191305	葭原神社	あしはらじんじゃ	葭原神社（あしはらじんじゃ）は、三重県伊勢市中村町にある神社。伊勢神宮皇大神宮（内宮）の末社。内宮の末社16社のうち、第3位である。式内社で『延喜式神名帳』記載の「荻原神社」に比定される。内宮の別宮である月讀宮の境内にある。
Q17225745	蚊野神社	かのじんじゃ	蚊野神社（かのじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社27社のうち第7位である。本項目では、蚊野神社と同座する、内宮摂社の蚊野御前神社（かのみまえじんじゃ）についても記述する。 両神社とも外城田川（ときだがわ）の支流の川の守護神を祀る。
Q11633343	豊受大神宮	とようけだいじんぐう	豊受大神宮（とようけだいじんぐう、とゆうけだいじんぐう）は、三重県伊勢市豊川町にある神社。伊勢神宮の2つの正宮のうちの1つである。一般には外宮（げくう）と呼ばれる。式内社（大社）。
Q11635561	赤崎神社	あかさきじんじゃ	赤崎神社（あかさきじんじゃ）は、伊勢神宮豊受大神宮（外宮）の末社。 伊勢神宮を構成する125社のうち三重県鳥羽市に鎮座する唯一の神社である。鳥羽市内にある伊勢神宮に関係する施設としては、赤崎神社のほかに、神宮御料鰒調製所が国崎町にある。地元では「赤崎さん」と呼ばれ、産土神として親しまれる。
Q17226516	鏡宮神社 (伊勢市)	かがみのみやじんじゃ	鏡宮神社（かがみのみやじんじゃ）は、伊勢神宮皇大神宮（内宮）の末社。内宮の末社16社のうち、第16位である。 三重県伊勢市朝熊町（あさまちょう）の五十鈴川と支流の朝熊川の合流部に位置し、朝熊川の対岸に朝熊神社・朝熊御前神社が鎮座する。
Q11665488	風日祈宮	かざひのみのみや	風日祈宮（かざひのみのみや）は三重県伊勢市宇治館町にある内宮（皇大神宮）の境内別宮である。
Q17190840	饗土橋姫神社	あえどはしひめじんじゃ	饗土橋姫神社（あえどはしひめじんじゃ）は、伊勢神宮皇大神宮（内宮）の所管社。宇治橋の守護神であり、宇治橋と対面する位置に鎮座する。 宇治橋の架け替えに先立って社殿が建て替えられるため、神宮式年遷宮において、伊勢神宮の所管する125社の中では最も早く建て替えられる神社である。
Q17226760	鴨下神社	かもしもじんじゃ	鴨下神社（かもしもじんじゃ）は、伊勢神宮皇大神宮（内宮）の末社。祭神の3柱の神は、地域の水の神である。
Q17226771	鴨神社 (玉城町)	かもじんじゃ	鴨神社（かもじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。大日山の中腹に鎮座し、神宮125社の中では最難所と言える神社である。
