shrine	subject	class	verdict	target	via	source
稲毛神社	Q11596691	NETWORK	ITEM	Q1502690	武甕槌神	武甕槌神（鹿島の神）
竹駒神社	Q521319	TRANSFER	ITEM	Q714828	伏見稲荷大社	伏見稲荷大社
笠間稲荷神社	Q704876	NETWORK	ITEM	Q3080728	宇迦之御魂命	稲荷（宇迦之御魂命）― 勧請元不詳
筥崎宮	Q714742	TRANSFER	ITEM	Q11432652	大分宮	大分宮（筑前国穂波郡）
箭弓稲荷神社 (東松山市)	Q11603300	NETWORK	ITEM	Q719665	稲荷	稲荷（箭弓稲荷大明神・保食神）
若一王子神社	Q11616187	TRANSFER	ITEM	Q710359	熊野那智大社	熊野那智大社
若宮八幡社 (名古屋市中区)	Q11616255	NETWORK	ITEM	Q317997	応神天皇	八幡（応神天皇・仁徳天皇）
菅生石部神社	Q11619342	TRANSFER	ITEM	Q11453221	宮中	宮中（宮中で祀られていた菅生石部神）
藤崎八旛宮	Q167146	TRANSFER	ITEM	Q710098	石清水八幡宮	石清水八幡宮
谷地八幡宮	Q11632782	TRANSFER	ITEM	Q710098	石清水八幡宮	石清水八幡宮
金峯神社 (鶴岡市)	Q11647032	TRANSFER	ITEM	Q11488964	金峯神社	金峯神社（大和国吉野の金峯山）
鎮西大社諏訪神社	Q84028	TRANSFER	ITEM	Q2370082	諏訪神社	京都の諏訪神社（異説：唐津の諏訪神社）
長浜八幡宮	Q11653283	TRANSFER	ITEM	Q710098	石清水八幡宮	石清水八幡宮
青井阿蘇神社	Q2857960	TRANSFER	ITEM	Q715639	阿蘇神社	阿蘇神社（熊本県阿蘇市）
静岡浅間神社	Q500368	TRANSFER	ITEM	Q653180	富士山本宮浅間大社	富士山本宮浅間大社
飛幡八幡宮	Q11665771	NETWORK	ITEM	Q261637	八幡神	八幡神（宇都宮氏の氏神、出身地の宇都宮から勧請）
高橋稲荷神社	Q11671498	TRANSFER	ITEM	Q714828	伏見稲荷大社	伏見稲荷大社
鬪雞神社	Q11656593	TRANSFER	ITEM	Q10403700	熊野三山	熊野三山（熊野本宮大社）
鮎貝八幡宮	Q11674156	NETWORK	ITEM	Q261637	八幡神	八幡神
鳥海月山両所宮	Q11675030	TRANSFER	ITEM	Q11173679	鳥海山大物忌神社	鳥海山大物忌神社（飽海郡吹浦の鳥海山両所神社）
鷲尾愛宕神社	Q11676235	TRANSFER	ITEM	Q713021	愛宕神社	愛宕神社（京都・愛宕山白雲寺）
多賀宮	Q11431075	NETWORK	ITEM	Q11633343	外宮	豊受大神宮（外宮）の祭神・豊受大御神の荒魂
瀧原宮	Q11566292	TRANSFER	NO_ARTICLE			磯宮
瀧原竝宮	Q11566292	TRANSFER	AMBIGUOUS		瀧原宮 (is the subject itself)	瀧原宮
志宝屋神社	Q17211291	TRANSFER	ITEM	Q133753	鹽竈神社	鹽竈神社（宮城県塩竈市）
朝熊御前神社	Q17191186	NETWORK	AMBIGUOUS		朝熊神社 (伊勢市) (is the subject itself)	朝熊神社（その御前神）
上御井神社	Q17226402	TRANSFER	ITEM	Q11442122	天の真名井	丹波国天の真名井（豊受大神の元鎮座地の忍穂井）
伊勢神宮	Q687168	TRANSFER	ITEM	Q11599947	笠縫邑	大和笠縫邑（元伊勢。八咫鏡を宮中から移した地。※社ではなく地）
伊雑宮	Q10885171	NETWORK	ITEM	Q9165	御魂	天照大御神（御魂）＝皇大神宮・内宮
田乃家御前神社	Q17212120	NETWORK	ITEM	Q11581011	皇大神宮	天照大御神（皇大神宮）／大神御滄川神
田乃家神社	Q17212120	NETWORK	ITEM	Q455602	天照大御神	天照大御神（皇大神宮）
皇大神宮	Q11581011	TRANSFER	ITEM	Q11599947	笠縫邑	笠縫邑（宮中から遷され、元伊勢を経て倭姫命が奉遷。※社ではなく地）
許母利神社	Q17228423	NETWORK	ITEM	Q7007362	inferred head: 淡嶋神社	粟嶋神（＝少名毘古那神）
豊受大神宮	Q11633343	TRANSFER	ITEM	Q11547467	比沼麻奈為神社	丹波国の等由気大神（比沼麻奈為神社などが論社）
長由介神社	Q28693019	TRANSFER	ITEM	Q11633343	豊受大神宮	豊受大神宮（外宮）※説
饗土橋姫神社	Q17190840	NETWORK	ITEM	Q11543776	橋姫神社	山城国宇治橋の橋姫明神（京都・橋姫神社）※倣ったもの
