action	shrine	qid	class	p612_value_wanted	detail	evidence	jawiki
CREATE ITEM	瀧原竝宮	—	TRANSFER	?	redirect → 瀧原宮	創建当初は瀧原竝宮は瀧原宮に含まれ、804年から927年の間に独立したと考えられている。	https://ja.wikipedia.org/wiki/%E7%80%A7%E5%8E%9F%E7%AB%9D%E5%AE%AE
CREATE ITEM	熊淵神社	—	AUTOCHTHONOUS	Q135508874	redirect → 大水神社	祭神は多支大刀自神。大水上命の子で、石清水の守護神である。	https://ja.wikipedia.org/wiki/%E7%86%8A%E6%B7%B5%E7%A5%9E%E7%A4%BE
CREATE ITEM	牟弥乃神社	—	AUTOCHTHONOUS	Q135508874	redirect → 御船神社 (多気町)	外城田川の守護神で、大水上命の子である。	https://ja.wikipedia.org/wiki/%E7%89%9F%E5%BC%A5%E4%B9%83%E7%A5%9E%E7%A4%BE
CREATE ITEM	田上大水御前神社	—	AUTOCHTHONOUS	Q135508874	redirect → 田上大水神社	田上大水御前神社の祭神は、小事神主の娘であり、斎王に奉仕したとされる宮子。	https://ja.wikipedia.org/wiki/%E7%94%B0%E4%B8%8A%E5%A4%A7%E6%B0%B4%E5%BE%A1%E5%89%8D%E7%A5%9E%E7%A4%BE
CREATE ITEM	田乃家御前神社	—	NETWORK	?	redirect → 田乃家神社	祭神は御前神。大神御滄川神と同じく農家の守護神である。	https://ja.wikipedia.org/wiki/%E7%94%B0%E4%B9%83%E5%AE%B6%E5%BE%A1%E5%89%8D%E7%A5%9E%E7%A4%BE
CREATE ITEM	神麻続機殿神社	—	AUTOCHTHONOUS	Q135508874	redirect → 機殿神社	麻績部の祖先の天八坂彦命とする伝承がある。	https://ja.wikipedia.org/wiki/%E7%A5%9E%E9%BA%BB%E7%B6%9A%E6%A9%9F%E6%AE%BF%E7%A5%9E%E7%A4%BE
CREATE ITEM	荒前神社	—	AUTOCHTHONOUS	Q135508874	redirect → 神前神社 (伊勢市)	倭姫命が二見を巡幸中、江神社を定めた後に荒前比賣命が倭姫命を出迎えたため	https://ja.wikipedia.org/wiki/%E8%8D%92%E5%89%8D%E7%A5%9E%E7%A4%BE
CREATE ITEM	葦立弖神社	—	AUTOCHTHONOUS	Q135508874	redirect → 国津御祖神社	祭神は玉移良比女命。宇治都比女命の子であるとされ、産土神であるという。	https://ja.wikipedia.org/wiki/%E8%91%A6%E7%AB%8B%E5%BC%96%E7%A5%9E%E7%A4%BE
CREATE ITEM	蚊野御前神社	—	AUTOCHTHONOUS	Q135508874	redirect → 蚊野神社	蚊野神社の祭神・大神御蔭川神と同じく、外城田川の支流の川の神とされる。	https://ja.wikipedia.org/wiki/%E8%9A%8A%E9%87%8E%E5%BE%A1%E5%89%8D%E7%A5%9E%E7%A4%BE
CREATE ITEM	許母利神社	—	NETWORK	?	redirect → 神前神社 (伊勢市)	少名毘古那神と同じ神とされ、荒ぶる荒前比賣命を抑制するために祀られたと考えられる。	https://ja.wikipedia.org/wiki/%E8%A8%B1%E6%AF%8D%E5%88%A9%E7%A5%9E%E7%A4%BE
CREATE ITEM	那自賣神社	—	AUTOCHTHONOUS	Q135508874	redirect → 宇治山田神社	両祭神とも五十鈴川（御裳濯川）の水の守護神とされる。	https://ja.wikipedia.org/wiki/%E9%82%A3%E8%87%AA%E8%B3%A3%E7%A5%9E%E7%A4%BE
PICK TARGET	佐嘉神社	Q11383096	TRANSFER	?	松原神社		https://ja.wikipedia.org/wiki/%E4%BD%90%E5%98%89%E7%A5%9E%E7%A4%BE
PICK TARGET	劔神社	Q11398386	TRANSFER	?	伊部郷座ヶ岳の素盞嗚尊神霊		https://ja.wikipedia.org/wiki/%E5%8A%94%E7%A5%9E%E7%A4%BE
PICK TARGET	坐摩神社	Q11425667	NETWORK	?	宮中（神祇官西院）の坐摩神		https://ja.wikipedia.org/wiki/%E5%9D%90%E6%91%A9%E7%A5%9E%E7%A4%BE
PICK TARGET	忌部神社	Q11490722	TRANSFER	?	五所神社（美馬郡西端山、現・境外摂社御所神社）	明治18年に眉山中腹の現在地を選定、五所神社を境外摂社とし、明治25年5月15日に現在地に遷座した。	https://ja.wikipedia.org/wiki/%E5%BF%8C%E9%83%A8%E7%A5%9E%E7%A4%BE
PICK TARGET	瀧原宮	Q11566292	TRANSFER	?	磯宮	倭姫命が、宮川下流の磯宮より天照大神を祀る地を探すために上流へ遡ったところ、「大河の瀧原の国」という美しい場所があったので、草木を刈り新宮を建てた。	https://ja.wikipedia.org/wiki/%E7%80%A7%E5%8E%9F%E5%AE%AE
NO ORIGIN	小俣神社	Q17225978	UNKNOWN	—	article states none		https://ja.wikipedia.org/wiki/%E5%B0%8F%E4%BF%A3%E7%A5%9E%E7%A4%BE
NO ORIGIN	度津神社	Q172382	UNKNOWN	—	article states none		https://ja.wikipedia.org/wiki/%E5%BA%A6%E6%B4%A5%E7%A5%9E%E7%A4%BE
NO ORIGIN	月讀宮	Q11516220	UNKNOWN	—	article states none		https://ja.wikipedia.org/wiki/%E6%9C%88%E8%AE%80%E5%AE%AE
NO ORIGIN	石園座多久虫玉神社	Q11585337	UNKNOWN	—	article states none		https://ja.wikipedia.org/wiki/%E7%9F%B3%E5%9C%92%E5%BA%A7%E5%A4%9A%E4%B9%85%E8%99%AB%E7%8E%89%E7%A5%9E%E7%A4%BE
NO ORIGIN	風宮	Q11665463	UNKNOWN	—	article states none		https://ja.wikipedia.org/wiki/%E9%A2%A8%E5%AE%AE
NO ORIGIN	風日祈宮	Q11665488	UNKNOWN	—	article states none		https://ja.wikipedia.org/wiki/%E9%A2%A8%E6%97%A5%E7%A5%88%E5%AE%AE
