title	class	source
吉野神宮	TRANSFER	吉水神社
宇倍神社	AUTOCHTHONOUS	武内宿禰終焉の地・双履石の磐境
宇美八幡宮	AUTOCHTHONOUS	応神天皇の誕生地に祀る
宇都宮二荒山神社	AUTOCHTHONOUS	奈良別王が祖神豊城入彦命を当地で祀る
安仁神社	AUTOCHTHONOUS	五瀬命が滞在した地に祀る
安房神社	NETWORK	天太玉命神社（忌部氏祖神・阿波忌部の東遷）
宗像大社	AUTOCHTHONOUS	三女神が宗像の島々に天降る、沖ノ島が神体、総本社
宮地嶽神社	AUTOCHTHONOUS	神功皇后が宮地岳山頂に祭壇、総本社
宮城縣護國神社	AUTOCHTHONOUS	招魂社
宮崎神宮	AUTOCHTHONOUS	神武天皇が東征以前に宮を営んだ地
富士山本宮浅間大社	AUTOCHTHONOUS	富士山を神体山とする、浅間神社総本社
富山縣護國神社	AUTOCHTHONOUS	招魂社
富知六所浅間神社	AUTOCHTHONOUS	富士山山腹の地主神（富知神）
一之宮貫前神社	TRANSFER	咲前神社
三峯神社	AUTOCHTHONOUS	日本武尊が当山に登り創建
三嶋大社	TRANSFER	大山祇神社
三重県護国神社	AUTOCHTHONOUS	招魂社（靖国とは本社分社の関係にない）
上川神社	NETWORK	天照大神（本社の由来記載なし。太宰府天満宮分霊は境内社）
上杉神社	AUTOCHTHONOUS	米沢城内の上杉謙信の霊を祀る
中山神社	TRANSFER	吉備中山（吉備津彦神社／吉備津神社の地）
丹生川上神社	AUTOCHTHONOUS	当地の神託による水神創祀
丹生川上神社上社	AUTOCHTHONOUS	縄文以来の祭祀遺跡に発する水神
丹生川上神社下社	AUTOCHTHONOUS	在地の水神信仰・漂着鳥居を神体
丹生都比売神社	AUTOCHTHONOUS	天降りののち天野原に鎮座、丹生社総本社
乃木神社 (東京都港区)	AUTOCHTHONOUS	乃木夫妻が自刃した邸宅の隣地
