=== RANKING SEQUENCE ANOMALIES ===
These parents have non-sequential rankings:

  Q11442961 (Tennōgū Ōtoshi Shrine): rankings=[2], expected=[1]
  Q11659237 (Ogami Shrine (Tonami City)): rankings=[2], expected=[1]
  Q135039294 (Hatada Shrine): rankings=[2, 3], expected=[1, 2]
  Q135039517 (Ueno Shrine): rankings=[1, 2, 2, 3, 4, 5, 6, 7], expected=[1, 2, 3, 4, 5, 6, 7, 8]
  Q135039520 (Katayamano Shrine): rankings=[0, 1, 2, 2], expected=[0, 1, 2, 3]
  Q135040569 (Miheno Shrine): rankings=[2, 3], expected=[1, 2]
  Q135040778 (Nimasukarakuniitateno Shrine): rankings=[0, 0, 0, 3, 4], expected=[0, 1, 2, 1, 2]
  Q135041216 (Momoiyamano Shrine): rankings=[2], expected=[1]
  Q135041251 (Warihimeno Shrine): rankings=[2, 3], expected=[1, 2]

=== MULTIPLE P13677 — NEEDS MANUAL REVIEW ===
These items have multiple P13677 statements.
Add the correct P958 qualifier manually.

QID	Label	Parent	Ranking	P13677_count	Link_type
Q134927474	Hachiman Shrine	parent=Q135039648 (Kamino- Shrine)	ranking=0	P13677_count=3	via P460
Q110915859	Oshaku Shrine	parent=Q135039648 (Kamino- Shrine)	ranking=1	P13677_count=5	via P460
Q135192783	Ninomiya Shrine (Tsubota)	parent=Q135039648 (Kamino- Shrine)	ranking=2	P13677_count=3	via P460
Q134930277	Ninomiya Shrine	parent=Q135039653 (Ihanohimeno- Shrine)	ranking=0	P13677_count=3	via P460
Q135192783	Ninomiya Shrine (Tsubota)	parent=Q135039653 (Ihanohimeno- Shrine)	ranking=2	P13677_count=3	via P460
Q11390944	Hachimangū Kinomiya Shrine	parent=Q135039655 (Ihakurawakeno- Shrine)	ranking=1	P13677_count=2	via P460
Q110915859	Oshaku Shrine	parent=Q135039658 (Minamikono Shrine)	ranking=3	P13677_count=5	via P460
Q134930603	Ryou Shrine	parent=Q135039661 (Hotsusakeno- Shrine)	ranking=0	P13677_count=2	via P460
Q134927474	Hachiman Shrine	parent=Q135039666 (Takama Shrine)	ranking=2	P13677_count=3	via P460
Q134926924	Sanai Shrine	parent=Q135039668 (Fumunashino Shrine)	ranking=1	P13677_count=2	via P460
Q30925511	Sengen Shrine	parent=Q135039674 (Homusuhino- Shrine)	ranking=0	P13677_count=2	via P460
Q11442850	Tenmansha	parent=Q135039728 (Ohomatonotsuno- Shrine)	ranking=3	P13677_count=2	via P460
Q65734340	Takehime Shrine	parent=Q135039733 (Takehimeno Shrine)	ranking=1	P13677_count=2	via P460
Q11677158	Kashima Onata Shrine	parent=Q135039994 (Kashima-Itsunohikeno Shrine)	ranking=1	P13677_count=2	via P460
Q11677110	Kashima Amatarashi Wake Shrine	parent=Q135039994 (Kashima-Itsunohikeno Shrine)	ranking=2	P13677_count=3	via P460
Q11677158	Kashima Onata Shrine	parent=Q135039995 (Kashimawonatano Shrine)	ranking=1	P13677_count=2	via P460
Q11677110	Kashima Amatarashi Wake Shrine	parent=Q135039995 (Kashimawonatano Shrine)	ranking=2	P13677_count=3	via P460
Q11677857	Koganeyama Shrine (Ishinomaki)	parent=Q135040009 (Kesemano Shrine)	ranking=4	P13677_count=2	via P460
Q11481363	Jogu Shrine	parent=Q135040139 (Ameyahoyorotsu- Shrine)	ranking=1	P13677_count=3	via P460
Q135194870	Ōanamochi Miyo Shrine	parent=Q135040309 (Kumakafutsuarakashihikono Shrine)	ranking=2	P13677_count=2	via P460
Q135194870	Ōanamochi Miyo Shrine	parent=Q135040311 (Ohonamochinokamikataishino Shrine)	ranking=2	P13677_count=2	via P460
Q135195732	Hinomisaki Shrine (branch shrine outside the precincts of Hongū Shrine)	parent=Q135040778 (Nimasukarakuniitateno Shrine)	ranking=3	P13677_count=2	via P460
Q135195732	Hinomisaki Shrine (branch shrine outside the precincts of Hongū Shrine)	parent=Q135040907 (Sakutano Shrine)	ranking=1	P13677_count=2	via P460
Q135070147	Hekireki Shrine	parent=Q135041120 (Hiyakurakuno Shrine)	ranking=1	P13677_count=2	via P460
Q11378828	Iyo Shrine	parent=Q135041429 (Iyono Shrine)	ranking=1	P13677_count=2	via P460
Q11442606	Ame-no-Tanagao Shrine	parent=Q135041506 (Ame-no-Tanakawono Shrine)	ranking=1	P13677_count=3	via P460
Q11442606	Ame-no-Tanagao Shrine	parent=Q135041507 (Ameno-tanakahimeno Shrine)	ranking=1	P13677_count=3	via P460
Q135198631	Kunitsu Shrine	parent=Q135041511 (Kunitsukami Shrine)	ranking=1	P13677_count=2	via P460
Q11442606	Ame-no-Tanagao Shrine	parent=Q135041523 (Mononoheno- Shrine)	ranking=1	P13677_count=3	via P460
Q135198631	Kunitsu Shrine	parent=Q135041523 (Mononoheno- Shrine)	ranking=2	P13677_count=2	via P460
Q18457651	Watazumi Shrine	parent=Q135041526 (Watatsumi Shrine (Engishiki))	ranking=1	P13677_count=4	via P460
Q11559099	Kaijin Shrine	parent=Q135041526 (Watatsumi Shrine (Engishiki))	ranking=2	P13677_count=4	via P460
Q18457651	Watazumi Shrine	parent=Q135041536 (Watamiyakobimiko Shrine)	ranking=2	P13677_count=4	via P460
Q11559099	Kaijin Shrine	parent=Q135041536 (Watamiyakobimiko Shrine)	ranking=4	P13677_count=4	via P460
Q11559099	Kaijin Shrine	parent=Q135041537 (Korokuno Shrine)	ranking=2	P13677_count=4	via P460
Q11559099	Kaijin Shrine	parent=Q135041538 (Korokuno- Shrine)	ranking=4	P13677_count=4	via P460
Q18457651	Watazumi Shrine	parent=Q135041542 (Ohoshimano Shrine)	ranking=1	P13677_count=4	via P460
Q18457651	Watazumi Shrine	parent=Q135041543 (Harahano Shrine)	ranking=1	P13677_count=4	via P460
Q18457651	Watazumi Shrine	parent=Q135041548 (Watatsumino Shrine)	ranking=4	P13677_count=4	via P460
