qid	ja	kana	en_label	jawiki	lead_reading	lead
Q135461624	秋葉神社	あきはじんじゃ	Akiba Shrine			
Q135461904	八幡神社	やわたじんじゃ	Hachiman Shrine			
Q135463098	八幡社	やはたしゃ	Hachiman Shrine			
Q135463563	八幡神社	やはたじんじゃ	Hachiman Shrine			
Q135463693	二荒山神社	ふたあらやまじんじゃ	Futarasan Shrine			
Q135464338	二荒山神社	ふたあらやまじんじゃ	Futarasan Shrine			
Q135464460	石井神社	いわいじんじゃ	Ishii Shrine			
Q139661007	荒神社	かわうじんじゃ	Kuwau Jinja			
Q17216962	志賀理和気神社	しかりわけじんじゃ	Shigariwake Shrine	志賀理和氣神社		志賀理和氣神社（しがりわけじんじゃ/しかりわけじんじゃ、志賀理和気神社）は、岩手県紫波郡紫波町桜町にある神社。式内社で、旧社格は県社。 別称として「赤石神社」「浮島明神」とも。式内社としては最も北に位置することで知られる。
Q21449537	高士神社	クスクスじんじゃ	Gaoshi Shrine	高士神社	クスクスじんじゃ	高士神社（クスクスじんじゃ）は、台湾屏東県牡丹郷にある神社である。旧社格は社祠。
Q22118539	貴布禰神社	きふねじんじゃ	Kibune Shrine	貴布禰神社 (尼崎市)		貴布禰神社（きふねじんじゃ・きぶねじんじゃ）は兵庫県尼崎市西本町六丁目にある神社。京都の貴船神社を総本宮とする、旧尼崎町の惣氏神。いわゆる尼崎のだんじり祭は同社が有名である。 なお、同名の神社が市内の長洲中通三丁目にも存在する。発祥の地は長洲（ながす）の貴布禰神社とされ、中世の発展と共に分祀されたものと考えられる。 本稿では、分祀された西本町の貴布禰神社を中心に記述するが、上記の経緯から長洲の同社についても併せて述べることとする。
Q22118972	四本木稲荷神社	しほんぎいなりじんじゃ	Yomotogi Inari Shrine	四本木稲荷		四本木稲荷神社（よもとぎいなりじんじゃ）は、東京都北区の神社。現在は教派神道の教団神道大教所属の神社となっている。
Q22119431	調田坐一事尼古神社	くだにますひとことねこじんじゃ	hikida Shrine	調田坐一事尼古神社	つくだにますひとことねこじんじゃ	調田坐一事尼古神社（つくだにますひとことねこじんじゃ）は奈良県葛城市にある神社。別名疋田神社（ひきだじんじゃ）。式内大社で、旧社格は村社。
Q30925653	大麻山神社	おおあさやまじんじゃ	Taimasan Shrine	大麻山神社	おおあさやまじんじゃ	大麻山神社（おおあさやまじんじゃ、たいまさんじんじゃ）は島根県浜田市三隅町の神社。式内社で旧社格は郷社。 神宮寺として尊勝寺があり、西の高野山と呼ばれていたが、天保七年（1836）、長雨による地すべりのため、尊勝寺、大麻山神社ともに倒壊した。さらに、明治五年（1872）の浜田地震で被災し、廃仏毀釈の時代であったことも影響して尊勝寺は再建されることなく廃寺となった。
Q3335115	那古野神社	なごのじんじゃ	Nagoya Shrine	那古野神社	なごやじんじゃ	那古野神社（なごやじんじゃ）は、愛知県名古屋市中区丸の内にある神社。旧社格は県社。西隣りに名古屋東照宮が鎮座している。
Q3473746	猿賀神社	さるがじんじゃ	Saruka Shrine	猿賀神社	さるがじんじゃ	猿賀神社（さるがじんじゃ、さるかじんじゃ）は、青森県平川市猿賀に鎮座する神社。旧社格は県社。807年（大同2年）に深砂宮（神蛇宮）として創始。戦後に神社本庁の別表神社となった。
Q43594603	倭恩智神社	やまとおんちじんじゃ	Yamato Onchi Shrine	倭恩智神社	やまとおんちじんじゃ	倭恩智神社（やまとおんちじんじゃ）は、奈良県天理市にある神社。式内小社で、旧社格は村社。
Q48763725	水主神社	みずしじんじゃ	Minushi Shrine	水主神社 (東かがわ市)	みずしじんじゃ	水主神社（みずしじんじゃ）は、香川県東かがわ市にある神社である。倭迹々日百襲姫命を祀る。式内社で、旧社格は県社。讃岐国式内二十四社のひとつ。
Q54153251	市原稲荷神社	いちばらいなりじんじゃ	Ichihara Inari Shrine	市原稲荷神社	いちばらいなりじんじゃ	市原稲荷神社（いちばらいなりじんじゃ）は、愛知県刈谷市司町にある神社。 旧社格は郷社。地元では「市原さん」（いちばらさん）として親しまれている。2021年（令和3年）7月現在の宮司は小嶋今興（こじまいまおき）。
Q55532964	鵜鳥神社	うねどりじんじゃ	Unotori Shrine	鵜鳥神社	うのとりじんじゃ	鵜鳥神社（うのとりじんじゃ、うねどりじんじゃ）は、岩手県下閉伊郡普代村に存在する神社。藩政時代には卯子酉神社と呼ばれていた。分霊神社も遠野市の卯子酉様等11社以上存在する。
Q85884515	須佐之男尊神社	すさのおのみことじんじゃ	Susanoo no mikoto Shrine	須佐之男尊神社	すさのおのみことじんじゃ	須佐之男尊神社（すさのおのみことじんじゃ）は、大阪市城東区にある神社。別名は関目神社。
Q97310667	大和町八幡神社	やまとちょうはちまんじんじゃ	Yamato Hachiman Shrine	大和町八幡神社	やまとちょうはちまんじんじゃ	大和町八幡神社（やまとちょうはちまんじんじゃ）は、東京都中野区大和町にある神社。
Q97754579	貴船神明社	きふねしんめいしゃ	Kibune Shinmeisha	貴船神明社 (一宮市)	きふねしんめいしゃ	貴船神明社（きふねしんめいしゃ）は、愛知県一宮市に鎮座する神社。
