Q16	Canada
Q794	Iran
Q801	Israel
Q819	Laos
Q822	Lebanon
Q826	Maldives
Q833	Malaysia
Q837	Nepal
Q842	Oman
Q843	Pakistan
Q851	Saudi Arabia
Q854	Sri Lanka
Q858	Syria
Q865	Taiwan
Q869	Thailand
Q878	United Arab Emirates
Q881	Vietnam
Q884	South Korea
Q889	Afghanistan
Q902	Bangladesh
Q917	Bhutan
Q921	Brunei
Q924	Tanzania
Q928	Philippines
Q953	Zambia
Q954	Zimbabwe
Q958	South Sudan
Q963	Botswana
Q986	Eritrea
Q1004	comics
Q1005	The Gambia
Q1009	Cameroon
Q1013	Lesotho
Q1014	Liberia
Q1019	Madagascar
Q1020	Malawi
Q1027	Mauritius
Q1030	Namibia
Q1033	Nigeria
Q1036	Uganda
Q1037	Rwanda
Q1042	Seychelles
Q1044	Sierra Leone
Q1049	Sudan
Q1050	Eswatini
Q1065	United Nations
Q1246	Kosovo
Q1297	Chicago
Q1321	Spanish
Q1410	Gibraltar
Q1490	Tokyo
Q1568	Hindi
Q1571	Marathi
Q1617	Urdu
Q2013	Wikidata
Q2184	Russian Soviet Federative Socialist Republic
Q2297	December 1
Q2536	April 30
Q2544	May 1
Q3015	November 30
Q5043	Christianity
Q5113	bird
Q5146	Portuguese
Q5287	Japanese
Q5292	encyclopedia
Q5785	Cayman Islands
Q6256	country
Q7041	UTC+09:00
Q7164	World Bank
Q7269	monarchy
Q7397	software
Q7411	Dutch
Q7553	translation
Q7737	Russian
Q7809	UNESCO
Q7817	World Health Organization
Q7825	World Trade Organization
Q7850	Chinese
Q7976	American English
Q7979	British English
Q7985	received pronunciation
Q8002	African American Vernacular English
Q8020	The Chicago Manual of Style
Q8108	Georgian
Q8146	yen
Q8171	word
Q8201	Chinese characters
Q8229	Latin script
Q8242	literature
Q8253	fiction
Q8420	1964 Summer Olympics
Q8449	Spanish Wikipedia
Q8475	Interpol
Q8513	database
Q8641	Yiddish
Q8663	Korean War
Q8707	Meiji restoration
Q8733	Qing dynasty
Q9056	Czech
Q9058	Slovak
Q9067	Hungarian
Q9072	Estonian
Q9089	Hinduism
Q9129	Greek
Q9142	Irish
Q9163	polytheism
Q9168	Persian
Q9174	religion
Q9176	Korean
Q9199	Vietnamese
Q9237	Malay
Q9288	Hebrew
Q9581	Confucianism
Q9598	Taoism
Q9646	1972 Winter Olympics
Q9648	Falkland Islands
Q9664	1998 Winter Olympics
Q9676	Isle of Man
Q9964	W/w
Q10884	tree
Q11028	information
Q11059	Sanskrit
Q11191	The World Factbook
Q11703	United States Virgin Islands
Q11920	Italian Wikipedia
Q12483	statistics
Q12511	stairs
Q12585	Latin America
Q13353	Montserrat
Q13955	Arabic
Q14005	Q14005
Q14790	Ethnologue
Q15180	Soviet Union
Q15701	Kagoshima Prefecture
Q16641	American Samoa
Q17495	Universal Postal Union
Q18221	Turks and Caicos Islands
Q19771	G20
Q21200	Germanic languages
Q21203	Aruba
Q22169	GNU Free Documentation License
Q23442	island
Q23622	dictionary
Q23635	Bermuda
Q25228	Anguilla
Q25230	Guernsey
Q25271	International Space Station
Q25305	British Virgin Islands
Q26273	Sint Maarten
Q26721	West Germanic languages
Q26988	Cook Islands
Q27092	Sea of Japan
Q27218	Kamo River
Q27231	East Asia
Q27968	English studies
Q27969	Ainu
Q28179	Joseon
Q28233	Korean Empire
Q28763	History of Ming
Q29462	open-mid front unrounded vowel
Q29520	China
Q29553	sanctuary
Q29653	close back rounded vowel
Q29682	Sumiyoshi Shrine
Q30185	mayor
Q30623	Manchukuo
Q31671	Ono district
Q31948	lobby
Q32090	lifestyle
Q32422	Hiraoka Shrine
Q32512	Sumiyoshi shrine
Q33742	natural language
Q34020	Niue
Q34057	Tagalog
Q34203	Yaeyama
Q34233	Okinawan
Q34243	Yonaguni
Q34266	Russian Empire
Q34600	Kyoto
Q34770	language
Q35535	police
Q35601	Japanese Sign Language
Q35672	Pitcairn Islands
Q35768	Catalan Sign Language
Q36206	Lak
Q36218	Miyako
Q36578	Integrated Authority File
Q36823	Tokelau
Q36870	first language
Q37041	Classical Chinese
Q37143	G8
Q37560	Vulgar Latin
Q37979	Akihito
Q38130	League of Nations
Q39132	.jp
Q39231	Mount Fuji
Q39825	census
Q40561	sumo
Q41106	Kumagaya
Q41176	building
Q41550	Organization for Economic Cooperation and Development
Q41602	Sea of Okhotsk
Q41614	constitutional monarchy
Q41825	day of the week
Q43004	animism
Q43056	Axis Powers
Q43091	orthography
Q43175	flag of Japan
Q43448	British Indian Ocean Territory
Q44661	New Zealand English
Q44676	Canadian English
Q44679	Australian English
Q44843	Tochigi Prefecture
Q45177	Visa Waiver Program
Q45341	East China Sea
Q45798	Gifu
Q47280	Abrahamic religion
Q47735	2002 FIFA World Cup
Q47896	Miyagi Prefecture
Q48326	Iwate Prefecture
Q48349	empire
Q48522	word-sense disambiguation
Q48744	Samukawa Shrine
Q49848	document
Q50337	prefecture of Japan
Q51711	Quora
Q54919	Virtual International Authority File
Q56430	Jèrriais
Q56558	Kunigami
Q57052	Jiangxi
Q58251	Azerbaijani Wikipedia
Q60195	semiotics
Q60581	Tagata Shrine
Q61292	Far Eastern Republic
Q63471	Omura Shrine
Q65320	Iwa Shrine
Q71699	Aomori Prefecture
Q71707	Fukushima Prefecture
Q72318	The Emperor's Birthday
Q75779	China–Japan relations
Q80011	Chiba Prefecture
Q80071	symbol
Q80434	Aichi Prefecture
Q81534	Kimigayo
Q81863	Akita Prefecture
Q82405	Labor Thanksgiving Day
Q83273	Ibaraki Prefecture
Q94498	kagura-den
Q101828	Ainu people
Q110786	singular
Q112099	island country
Q116140	Tado Taisha
Q120730	Kyoto Prefecture
Q122465	Yoshihide Suga
Q122723	Osaka Prefecture
Q122804	Constitution of the Empire of Japan
Q123258	Fukuoka Prefecture
Q123376	Ehime Prefecture
Q125421	second language
Q125863	Yamagata Prefecture
Q126125	Saint-Martin
Q127026	Sakurai
Q127264	Yamaguchi Prefecture
Q127513	Kanagawa Prefecture
Q127877	Nagano Prefecture
Q127912	United States Declaration of Independence
Q128186	Saitama Prefecture
Q128196	Mie Prefecture
Q129499	Gunma Prefecture
Q130290	Hyōgo Prefecture
Q130300	Miyazaki Prefecture
Q130308	Kumamoto Prefecture
Q130436	history of Japan
Q131105	nominative case
Q131252	University of Chicago
Q131281	Ishikawa Prefecture
Q131287	Nara Prefecture
Q131314	Wakayama Prefecture
Q131320	Shizuoka Prefecture
Q131358	Shiga Prefecture
Q132050	governor
Q132068	Infermental
Q132345	Shinzō Abe
Q132705	Niigata Prefecture
Q132720	Yamanashi Prefecture
Q132751	Shimane Prefecture
Q132929	Toyama Prefecture
Q132936	Okayama Prefecture
Q133250	sequence
Q133753	Shiogama Shrine
Q133879	Fukui Prefecture
Q133924	Ōita Prefecture
Q133935	Tottori Prefecture
Q134093	Kōchi Prefecture
Q135732	Ōagata Shrine
Q139319	Russian Republic
Q146233	genitive case
Q146786	plural
Q147276	proper noun
Q149269	Acer japonicum
Q151411	designation
Q151885	concept
Q152559	macrolanguage
Q157763	Prunus mume
Q159183	Philippine Sea
Q159950	Russo-Japanese War
Q160420	Saga Prefecture
Q160734	Tokushima Prefecture
Q161454	Kagawa Prefecture
Q161652	Japanese people
Q162940	diacritic
Q169134	Nara
Q169376	Nagasaki Prefecture
Q170314	Second Sino-Japanese War
Q170424	World Meteorological Organization
Q170481	Asia-Pacific Economic Cooperation
Q170556	Imperial crest of Japan
Q171178	Fukushima Daiichi nuclear disaster
Q172382	Watatsu Shrine
Q172417	Kota Shrine
Q174933	Japan
Q175156	onomastics
Q175379	Empire of China
Q178435	nominative–accusative language
Q178687	First Sino-Japanese War
Q178885	deity
Q179164	unitary state
Q181278	2020 Summer Olympics
Q182814	Antarctic Treaty System
Q184377	pronunciation
Q184425	Pacific War
Q184558	absolute monarchy
Q185125	Hamamatsu
Q185598	diary
Q186444	Treaty on the Non-Proliferation of Nuclear Weapons
Q187588	social class
Q187659	kana
Q187931	phrase
Q188213	state religion
Q188822	Asian Development Bank
Q188915	National Library of Israel
Q189118	cell type
Q189970	social status
Q190502	Japanese writing system
Q191067	article
Q191168	Czech Wikipedia
Q191384	International Bank for Reconstruction and Development
Q191763	Itsukushima Shrine
Q192184	Saint Helena, Ascension and Tristan da Cunha
Q192509	romanization of Japanese
Q193292	Heian period
Q193294	sunrise
Q193858	International Electrotechnical Commission
Q199698	Ukrainian Wikipedia
Q200740	Asahikawa
Q201817	voiced bilabial nasal
Q202384	National Diet
Q202866	animated film
Q202907	Otsu
Q205662	Tokugawa shogunate
Q205930	rock ptarmigan
Q206855	Russian Wikipedia
Q207260	Basque Wikipedia
Q207520	region of Japan
Q207930	languages of Africa
Q208233	Emperor of Japan
Q209316	schwa
Q209344	Sapienza University of Rome
Q210684	nagare-zukuri
Q212805	digital library
Q214339	role
Q214866	Great Hanshin Earthquake
Q215646	Edo
Q215669	Allies of the First World War
Q217096	Naruhito
Q217438	demonym
Q218813	Suwa taisha
Q218828	Togakushi Shrine
Q221716	Kiyomizu-dera Temple
Q223393	literary genre
Q224414	Category
Q233611	International Hydrographic Organization
Q234460	text
Q237082	Constitution of Japan
Q237623	voiceless bilabial plosive
Q242797	voiced bilabial plosive
Q243853	Nishinomiya
Q245734	Shitori Shrine
Q245834	Nawa Shrine
Q246447	Ube Shrine
Q246479	Ikoma Shrine
Q251160	Ōgamiyama Shrine
Q259705	Higo Province
Q260923	Yawata
Q261637	Hachiman
Q262246	sign
Q262438	Shigaraki Palace
Q262529	Japanese missions to Tang China
Q265049	archINFORM
Q271611	voiced alveolar nasal
Q272993	Susanoo
Q274948	Prime Minister of Japan
Q276831	Mitami Shrine
Q276944	Ōkuninushi
Q287165	Meiji Jingū
Q288312	Kumano Shrine
Q289250	Shinano Province
Q318917	fusional language
Q319831	economy of Japan
Q319891	universal suffrage
Q320021	close front unrounded vowel
Q327532	shintai
Q328067	Ise
Q329753	Daigo
Q332019	voiceless dental fricative
Q333101	Bank of Japan
Q333690	Geography of Japan
Q334695	voiceless palato‐alveolar fricative
Q334723	voiceless alveolar fricative
Q335181	Tenmu
Q335606	Yushima Tenmangū
Q335618	Kumano Hayatama Taisha
Q335644	voiceless alveolar stop
Q340195	African Development Bank
Q359480	Fumio Kishida
Q372380	Katori Jingū
Q372474	colophon
Q373478	voiceless glottal fricative
Q374040	string-searching algorithm
Q374814	certification
Q376150	International Telecommunication Union
Q377386	Shōren-in Temple
Q379085	open-mid back rounded vowel
Q381885	tomb
Q382005	Sugawara no Michizane
Q384926	Ōgaki-shi
Q385141	Heian Jingū
Q385407	Ōmi Jingū
Q385793	Ōsaka Tenmangū
Q386073	New Book of Tang
Q386563	Ōyamatsumi
Q386787	variable-width character encoding
Q389239	Cape Sōya
Q391414	architectural element
Q392541	Treaty of San Francisco
Q399495	standard language
Q402091	Taga Taisha
Q402368	Takeda Shrine
Q403338	Takebe taisha
Q425900	Green Pheasant
Q429221	Japan–Soviet Union relations
Q431471	open back unrounded vowel
Q431595	Cape Sata
Q438919	age limit
Q455602	Amaterasu
Q460367	Tōdai-ji Temple
Q463515	voiced velar nasal
Q463543	voiceless velar stop
Q473746	subjunctive
Q482065	Atsuta Jingū
Q483226	Coming of Age Day
Q484464	Koreans
Q488383	object
Q488618	Tanzan Shrine
Q495330	Kokugakuin University
Q499327	masculine
Q500413	Akihasan Hongū Akiha Shrine
Q501709	Jinja
Q502196	Tenri
Q503323	near-open central unrounded vowel
Q503992	nominal
Q506687	voiced alveolar fricative
Q510674	Inari Station
Q513737	Hyūga Province
Q514480	Inari shrine
Q514506	Owari Province
Q518603	voiceless palato-alveolar affricate
Q521316	Fuwa district
Q521319	Takekoma Inari Shrine
Q529012	Cabinet of Japan
Q529551	Germany–Japan relations
Q533822	Q533822
Q546197	Ōmiwa Shrine
Q564302	Tamasaki Shrine
Q565418	Japan Coast Guard
Q565654	voiced labio-velar approximant
Q575759	war memorial
Q580186	Ukyō Ward
Q582846	Izumo Province
Q600590	𝑛-tuple
Q602358	Brockhaus and Efron Encyclopedic Dictionary
Q603200	Jamaican English
Q605326	World Customs Organization
Q611108	Washinomiya Shrine
Q611399	Shoku Nihongi
Q615068	Hashima district
Q615699	online encyclopedia
Q617375	Hiroshima Prefecture
Q618779	award
Q621455	Embassy of Japan, Seoul
Q622594	Takayama
Q631373	Kashii-gū
Q641491	Kakamigahara
Q642906	Plecoglossus altivelis
Q644201	Kuraokami
Q645218	Yomiuri Shimbun
Q648625	Google Knowledge Graph
Q650253	Takamahiko Shrine
Q650772	Mishima Taisha
Q651641	subject–verb–object
Q651943	signifier
Q653180	Fujisan Hongū Sengen Taisha
Q654361	genius
Q654641	voiced dental fricative
Q654660	voiced palato‐alveolar sibilant
Q654705	voiceless labiodental fricative
Q654787	voiced labiodental fricative
Q656026	Hotaka Mountains
Q656801	International Finance Corporation
Q656996	Japan–Turkey relations
Q661395	Nagata Shrine
Q665624	Hiberno-English
Q666514	Echigo Province
Q667475	Satsuma Province
Q667558	revised Hepburn romanization
Q676000	Kani district
Q682111	indicative
Q694604	Treaty of Mutual Cooperation and Security Between the United States and Japan
Q696242	Wang Jingwei regime
Q696362	Izumo Taisha
Q697295	shrine
Q700448	Kamigamo Shrine
Q701403	Tsurugaoka Hachimangū
Q701414	Inaba Shrine
Q701620	Shimogamo Shrine
Q702042	Hie Shrine
Q703633	Hikawa Shrine
Q703904	Oyamazumi Shrine
Q704408	Imperial Diet
Q704695	Kagoshima Jingū
Q704702	Shirayama Hime Shrine
Q704865	Hida Ichinomiya Minashi Shrine
Q704876	Kasama Inari Shrine
Q704890	Tosa Shrine
Q704962	Munakata Taisha
Q704967	Nangū Taisha
Q705035	Kumano Hongū Taisha
Q705126	Kono Shrine
Q705136	Tsushima Shrine
Q705151	Ōtori Taisha
Q705154	Niutsuhime Shrine
Q705303	Shirahige Shrine
Q705310	Hakone Shrine
Q705547	Awa Shrine
Q705635	Shiramine Jingū
Q705916	Masumida Shrine
Q706499	Kashima Jingū
Q709822	Toyokuni Shrine
Q710086	Ikuta Shrine
Q710333	Kashihara Jingū
Q710359	Kumano Nachi Taisha
Q710818	Japan–Taiwan relations
Q712144	de facto
Q712162	Kunōzan Tōshō-gū
Q712488	22
Q712824	Kibitsu Shrine
Q713021	Atago Shrine
Q713188	Minatogawa Shrine
Q714716	Sasakia charonda
Q714742	Hakozaki Shrine
Q715632	Usa Jingū
Q715639	Aso Shrine
Q715647	Kōra Taisha
Q717682	Kanda-myōjin
Q719665	Inari
Q722218	label
Q723417	Ōasahiko Shrine
Q737721	Brazil–Japan relations
Q740714	open back rounded vowel
Q740768	near-open front unrounded vowel
Q748040	Mount Hiei
Q749276	Yamashiro Province
Q751907	Heian-kyō
Q754673	English alphabet
Q762856	frequency
Q766445	Okinawa Prefecture
Q768158	Mikawa Province
Q773085	Aoi Matsuri
Q773311	Yamagata
Q778145	voiced palato-alveolar affricate
Q779608	exception
Q782103	Mizuho
Q782942	Australia Group
Q783521	title
Q784695	ZIM
Q784975	history of English
Q788335	Japan–Nepal relations
Q791801	estimation
Q798838	Tenmangū (worship)
Q811979	architectural structure
Q813935	Nihon Shoki
Q814158	Japanese mythology
Q815439	voiced alveolar lateral approximant
Q819595	Hashima
Q819639	Gero
Q819653	Ena
Q819689	Tajimi
Q826700	International Energy Agency
Q826949	structure relocation
Q827525	International Development Association
Q829903	agreement
Q830106	GeoNames
Q831454	culture of Japan
Q835568	restoration of imperial rule
Q835992	voiced palatal approximant
Q838116	G4 nations
Q838948	work of art
Q839430	Ōgaki Domain
Q841336	Central Japan
Q841337	Japanese archipelago
Q842490	Organisation for the Prohibition of Chemical Weapons
Q843882	Ōmi Province
Q844047	Motosu
Q844052	Nakatsugawa
Q844056	Kaizu
Q847319	Hida
Q847332	Toki
Q849242	hereditary monarchy
Q853614	identifier
Q853805	Kani
Q853821	Mizunami
Q853835	Mino
Q854429	portal
Q857243	Gujō-shi
Q857305	Minokamo
Q857330	Tosa Province
Q858076	Kai Province
Q860627	Mount Miwa
Q860647	Seki
Q860928	Izu Province
Q862509	Heijō-kyō
Q862579	close-mid back rounded vowel
Q862944	Benten-jima
Q864053	Kii Province
Q864148	Bungo Province
Q864156	Mino Province
Q864159	Chikugo Province
Q864163	Settsu Province
Q864166	Ise Province
Q864170	Suruga Province
Q867541	Encyclopædia Britannica 11th edition
Q870911	Gifu Gokoku Shrine
Q871375	Iwakiyama Shrine
Q871991	cherry blossom
Q874027	Historic Monuments of Ancient Kyoto
Q875592	Japanese studies
Q876032	Dewa Province
Q888184	Hinokuma Jingū
Q899770	International Centre for Settlement of Investment Disputes
Q903967	Cape Koritsky
Q905661	Northern Japan
Q905991	Southern Japan
Q906899	Etchū Province
Q906926	Hizen Province
Q907382	Nagato Province
Q907389	Mutsu Province
Q907398	Musashi Province
Q907457	Awa Province
Q907469	Kaga Province
Q907495	Yamato Province
Q907829	Iyo Province
Q908077	Association of Shinto Shrines
Q908529	Okinotorishima
Q909085	Japan Standard Time
Q909128	voiced alveolar approximant
Q912125	Seven-Branched Sword
Q926312	Gion
Q929682	Sanuki Province
Q930545	Shinmei-zukuri
Q936036	Mimasaka Province
Q954511	Tamba Province
Q965029	Aki Province
Q979873	Gion Matsuri
Q981002	Ōsumi Province
Q998709	Oyama Shrine
Q1009535	Culture Day
Q1020542	entryway
Q1025961	capital of Japan
Q1029706	New International Encyclopedia
Q1037393	Hokkaidō
Q1038639	Ruijū Kokushi
Q1041301	Shoku Nihon Kōki
Q1043527	Multilateral Investment Guarantee Agency
Q1047117	Izumi Province
Q1047128	Iga Province
Q1047134	Buzen Province
Q1047144	Echizen Province
Q1047150	Kawachi Province
Q1047492	Minamitorishima
Q1047514	Bitchū Province
Q1047523	Harima Province
Q1047664	Chikuzen Province
Q1047671	Noto Province
Q1048864	Tōtōmi Province
Q1049113	Bingo Province
Q1049141	Vernal Equinox Day
Q1051802	Japan–Vietnam relations
Q1051960	Hoori
Q1052803	Nagaoka-kyō
Q1052905	Nihon Montoku Tennō Jitsuroku
Q1052938	Iki Province
Q1052981	Nihon Sandai Jitsuroku
Q1053037	Suō Province
Q1053044	Awa Province
Q1053256	New History of Yuan
Q1053542	Nihon Kiryaku
Q1053688	Bizen Province
Q1053695	Shimōsa Province
Q1053699	Shimotsuke Province
Q1053703	Hōki Province
Q1053709	Iwami Province
Q1053713	Wakasa Province
Q1053717	Awaji Province
Q1053722	Shima Province
Q1053727	Tajima Province
Q1053732	Sagami Province
Q1054331	Tango Province
Q1054338	Inaba Province
Q1054488	Fujiwara no Anshi
Q1054838	Kōzuke Province
Q1054861	Tsushima Province
Q1055353	Hitachi Province
Q1055394	Kazusa Province
Q1055749	Historic Monuments of Ancient Nara
Q1056017	Ninigi
Q1056535	Hida Province
Q1057904	Cape Nosappu
Q1058216	Tachibana no Kachiko
Q1059995	National Foundation Day
Q1063116	Meta-Wiki
Q1063689	Eastern Japan
Q1063829	Oki Province
Q1063844	Sado Province
Q1063946	Western Japan
Q1068640	folk religion
Q1068863	Hong Kong English
Q1069667	chōzuya
Q1070049	near-close near-front unrounded vowel
Q1071027	full name
Q1072120	Missile Technology Control Regime
Q1072875	National Archives of Japan
Q1073925	Shinatsuhiko
Q1077029	Nihon Kōki
Q1097949	literary language
Q1108695	Maruyama Park
Q1114013	Sumiyoshi sanjin
Q1119956	Expo '70
Q1124220	demographics of Japan
Q1130739	Yamabe district
Q1133223	World Atlas of Language Structures
Q1136168	aftermath of the 2011 Tōhoku earthquake and tsunami
Q1137807	near-close near-back rounded vowel
Q1139554	subjectivity
Q1139795	National Treasure of Japan
Q1142255	Supreme Court of Japan
Q1144815	Taxus cuspidata
Q1145630	Children's Day
Q1146980	Old Book of Tang
Q1147260	History of Song
Q1154558	Yoshino district
Q1154588	Nishikyō Ward
Q1154970	Kita-ku
Q1155060	Yoro District
Q1156228	South African English
Q1185686	Human Development Report
Q1186127	Respect for the Aged Day
Q1186358	Nara Park
Q1186410	Autumnal Equinox Day
Q1188622	Important Cultural Property of Japan
Q1189121	Tokyo Prefecture
Q1189816	ethnic religion
Q1197271	Treaty of Saint Petersburg
Q1197771	Fushimi-ku
Q1201876	Open Library
Q1203139	Sangō
Q1203148	Higashiyoshino
Q1203862	Higashiyama-ku
Q1203880	Kawai
Q1204309	Ibi district
Q1204320	Anpachi district
Q1204331	Motosu district
Q1205237	Ise-Shima National Park
Q1207735	Tokyo City
Q1209728	Japanese imperial year
Q1227243	Japan–United States relations
Q1233197	oblique case
Q1234617	future perfect
Q1236807	URL redirection
Q1240211	present perfect
Q1288568	modern language
Q1321824	Kamigyō-ku
Q1321832	Sakyō-ku
Q1335527	Shigeru Ishiba
Q1336877	Japan–Russia relations
Q1338856	National Diet Building
Q1345223	History of Yuan
Q1346342	Anglic
Q1348656	Kamo district
Q1348800	Indian English
Q1355051	Greenery Day
Q1355833	Marine Day
Q1359602	Sports Day
Q1361434	Shōwa Day
Q1361489	Constitution Memorial Day
Q1364781	Hachirōgata
Q1370468	architectural reconstruction
Q1374325	Engi
Q1374339	Draft History of Qing
Q1377385	Tōkaimura criticality accident
Q1377803	Inglés
Q1384780	Tōgō Shrine
Q1392475	simple past
Q1397518	Georgia–Japan relations
Q1397601	Fujiwara no Tadahira
Q1411284	Category:Japan
Q1417780	Freedom in the World
Q1453477	Freebase
Q1458083	Category:Science
Q1475560	simple future
Q1479879	order of precedence
Q1480793	Nuclear Suppliers Group
Q1497364	building complex
Q1502690	Takemikazuchi
Q1550643	principle
Q1551807	Polish Wikipedia
Q1553250	Scottish English
Q1607826	editor
Q1616178	heterarchy
Q1619446	Hinomisaki Shrine
Q1631107	bibliography
Q1683268	Embassy of Japan, Berlin
Q1705028	Sanae Takaichi
Q1725664	terminology
Q1753428	Tenjin
Q1764511	G7
Q1768721	Gujin Tushu Jicheng
Q1775415	feminine
Q1775461	neuter
Q1781862	Konohanasakuyahime
Q1799072	method
Q1814982	University of Chicago Press
Q1836700	manufactured good
Q1861696	English possessive
Q1975217	Armenian Wikipedia
Q1980247	chapter
Q1982926	Category:Disambiguation pages
Q2041543	Otto's encyclopedia
Q2044560	Sylheti
Q2044994	honden
Q2071334	Know Your Meme
Q2110461	Fujiwara no Otomuro
Q2144402	renovation
Q2150504	signal
Q2153247	Fushimi-Inari Station
Q2198066	Werk
Q2289247	SBCS
Q2363292	Welsh English
Q2410833	Denmark–Japan relations
Q2424943	Yoron
Q2451637	torrent file
Q2492572	uncitedness
Q2517815	list of Shinto shrines
Q2553334	Web NDL Authorities
Q2566910	India–Japan relations
Q2628882	legal status
Q2657718	Armenian Soviet Encyclopedia
Q2682165	Japan–Netherlands relations
Q2806720	100 Landscapes of Heisei
Q2807090	119
Q2840986	Southern Amami Ōshima
Q2840988	Northern Amami Ōshima
Q2841871	Embassy of Japan, Paris
Q2849617	Malaysian English
Q2859485	Aramatsuri-no-miya
Q2859566	Arashiyama
Q2915778	Iran–Japan relations
Q2917109	Israel–Japan relations
Q2918584	relocation
Q2944534	Category:Wikipedia categorization
Q2963366	Chichibu Shrine
Q2975287	Kamo clan
Q2994735	Fujiwara no Tokihira
Q2994894	dual monarchy
Q3024240	historical country
Q3028663	Toshigami
Q3029647	Shinto Directive
Q3032312	tutelary spirit
Q3034458	Kanō Domain
Q3034540	Takatomi Domain
Q3047222	Eda Shrine
Q3062805	Japan–Ukraine relations
Q3062819	Japan–Philippines relations
Q3063178	Japan–Thailand relations
Q3063249	FIPS 10-4
Q3090870	Ōhi Shrine
Q3096508	koshintō
Q3109261	linguonym
Q3125455	Hachiman-zukuri
Q3125745	haiden
Q3128007	Haruna Shrine
Q3136198	Hirasaki Shrine
Q3138720	Hiyoshi-zukuri
Q3152127	UNESCO Institute for Statistics
Q3155126	Isaniwa Shrine
Q3155136	Isasumi Shrine
Q3155268	Ishi-no-ma-zukuri
Q3156511	Izushi Shrine
Q3162376	Man'yō Botanical Garden (Nara)
Q3174312	free country
Q3181656	The Nuttall Encyclopædia
Q3193781	Kasuga-zukuri
Q3195586	Keta Wakamiya Shrine
Q3196329	Kibune
Q3196527	Kikai
Q3197197	Kinpu Shrine
Q3198277	Kogane Shrine
Q3200650	Kushifuru Shrine
Q3201026	Kyoto Ryōzen-Gokoku Shrine
Q3240847	list of divinities in Japanese mythology
Q3270407	Act on National Flag and Anthem
Q3271557	imperial cult
Q3304192	Mefu Shrine
Q3308526	General American English
Q3313076	Miho Shrine
Q3320743	title of honor
Q3331189	version, edition or translation
Q3342690	Nogi Shrine
Q3350036	Okinoerabu
Q3395121	wayside shrine
Q3424074	Afghanistan–Japan relations
Q3424075	Japan–South Africa relations
Q3424098	Armenia–Japan relations
Q3424102	Australia–Japan relations
Q3424106	Austria–Japan relations
Q3424117	Italy–Japan relations
Q3424120	Egypt–Japan relations
Q3424122	Ethiopia–Japan relations
Q3424124	Barbados–Japan relations
Q3424147	Colombia–Japan relations
Q3424157	Japan–North Korea relations
Q3424196	France–Japan relations
Q3424205	Greece–Japan relations
Q3424223	Bangladesh–Japan relations
Q3424228	Cambodia–Japan relations
Q3424233	Canada–Japan relations
Q3424238	Japan–Lithuania relations
Q3424240	Japan–Serbia relations
Q3424242	Japan–Kosovo relations
Q3424244	Japan–Montenegro relations
Q3424245	Japan–Pakistan relations
Q3424246	Japan–United Kingdom relations
Q3424248	Japan–Sri Lanka relations
Q3424249	Japan–Venezuela relations
Q3424250	Japan–Tonga relations
Q3461072	Sada Shrine
Q3473746	Saruka Shrine
Q3503635	Sumiyoshi-zukuri
Q3513683	Tada Shrine
Q3514126	Takachiho Shrine
Q3519604	mid front unrounded vowel
Q3529714	Yoshino Mikumari Shrine
Q3530344	Toga Shrine
Q3530470	Tokiwa Shrine
