Q17	Japan
Q1042370	Hamana district
Q1042808	Kumage district
Q1043795	Izumi district
Q1043858	Hayami district
Q1043870	Soo district
Q1047117	Izumi Province
Q1047128	Iga Province
Q1047134	Buzen Province
Q1047144	Echizen Province
Q1047150	Kawachi Province
Q1047514	Bitchū Province
Q1047523	Harima Province
Q1047664	Chikuzen Province
Q1047671	Noto Province
Q1048864	Tōtōmi Province
Q1049113	Bingo Province
Q1049340	Saga district
Q1052938	Iki Province
Q1053037	Suō Province
Q1053044	Awa Province
Q1053688	Bizen Province
Q1053695	Shimōsa Province
Q1053699	Shimotsuke Province
Q1053703	Hōki Province
Q1053709	Iwami Province
Q1053713	Wakasa Province
Q1053717	Awaji Province
Q1053722	Shima Province
Q1053727	Tajima Province
Q1053732	Sagami Province
Q1054331	Tango Province
Q1054338	Inaba Province
Q1054838	Kōzuke Province
Q1054861	Tsushima Province
Q1055353	Hitachi Province
Q1055394	Kazusa Province
Q1056535	Hida Province
Q1062968	Naka district
Q1063829	Oki Province
Q1063844	Sado Province
Q1064306	Oshima Province
Q1072595	Chiisagata district
Q1075196	Osato district
Q1075201	Hiki district
Q1075212	Kuji district
Q1076972	Kuse district
Q1076986	Kanra district
Q1078639	Yosa district
Q1078679	Funai district
Q1093809	Naga district
Q1117901	Takaichi district
Q1119478	Katsuura district
Q1130739	Yamabe district
Q1130942	Kahoku district
Q1130953	Hakui district
Q1130973	Nomi district
Q1130983	Mie district
Q1131032	Watarai district
Q1131097	Echi district
Q1131103	Inukami district
Q1131181	Arida district
Q1131309	Ito district
Q1131315	Uda district
Q1131489	Kuwana district
Q1131499	Inabe district
Q1131751	Miyagi district
Q1131765	Watari district
Q1131771	Katta district
Q1131782	Kurokawa district
Q1131788	Shibata district
Q1131814	Oda district
Q1131876	Isawa district
Q1131906	Kesen district
Q1131921	Oshika district
Q1132017	Miyazaki district
Q1132123	Nagaoka district
Q1132134	Tosa district
Q1132141	Agawa district
Q1132169	Koyu district
Q1132241	Hata district
Q1132266	Aki district
Q1132375	Tamana district
Q1137365	entrance
Q1142552	historical kana orthography
Q1145581	Chichibu district
Q1151168	Rikkokushi
Q1153597	Awa district
Q1153801	Iruma district
Q1154558	Yoshino district
Q1154565	Yuki district
Q1154661	Soraku district
Q1154678	Tsuzuki district
Q1154841	Tagata district
Q1154962	Fuji district
Q1155124	Iwafune district
Q1155247	Sera district
Q1155355	Wake district
Q1155531	Igu district
Q1155548	Ishikawa district
Q1155567	Santō district
Q1155592	Akumi district
Q1155600	Kami district
Q1155934	Kagawa district
Q1156025	Itano district
Q1156353	Tagawa district
Q1156492	Naka district
Q1156496	Mima district
Q1192087	Haga district
Q1192262	Rikuchū Province
Q1197248	State Shinto
Q1202540	Ashigarakami district
Q1202776	Koza district
Q1202818	Aiko district
Q1203336	Haibara district
Q1203347	Nasu district
Q1204320	Anpachi district
Q1204530	Imadate district
Q1204551	Nyu district
Q1204696	Nita district
Q1205009	Ochi district
Q1205228	Yama district
Q1205501	Shuchi district
Q1206294	Kasuya district
Q1206427	Iyo district
Q1206502	Ochi district
Q1211272	signage
Q1278470	Ebara district
Q1306606	Kamo Shrine
Q1342448	Engishiki
Q1346952	Yaotsu
Q1347719	Niwa district
Q1348656	Kamo district
Q1349339	Iishi district
Q1351074	Aki district
Q1352523	Mikata district
Q1384780	Tōgō Shrine
Q1442984	hokora
Q1466105	Hirota Shrine
Q1515027	Onsen district
Q1619446	Hinomisaki Shrine
Q2264720	Jingi-kan
Q2324302	Seta district
Q2341285	Mino district
Q2402717	Nohi Gokoku Shrine
Q2572881	modern kana usage
Q2841005	Amanawa Shinmei Shrine
Q2841102	Amanoiwato Shrine
Q2857954	Aoba Shrine
Q2857960	Aoi Aso Shrine
Q2857985	Aoshima Shrine
Q2859485	Aramatsuri-no-miya
Q2868748	Atago Shrine
Q2963366	Chichibu Shrine
Q3030924	Ena district
Q3046830	Ebetsu Shrine
Q3047222	Eda Shrine
Q3049117	Egara Tenjinsha Shrine
Q3082076	Tenson Shrine
Q3090605	Fujishiro Ōji Shrine
Q3090870	Ōhi Shrine
Q3109957	Gokiso Hachiman-gū
Q3126680	Hanazono Shrine
Q3128007	Haruna Shrine
Q3128320	Hachiman Shrine
Q3135218	Hida Gokoku Shrine
Q3135503	Hikawa Shrine
Q3136198	Hirasaki Shrine
Q3140133	Honjō Shrine
Q3148421	Ikime Shrine
Q3149767	Inabane Ōji Shrine
Q3155126	Isaniwa Shrine
Q3155136	Isasumi Shrine
Q3155997	Itsukushima Shrine
Q3156394	Iwamizawa Shrine
Q3156511	Izushi Shrine
Q3192477	Kamosu Shrine
Q3192663	Kanbashira-gū
Q3193657	Kasai Shrine
Q3194327	Kawahara Shrine, Nagoya
Q3195151	Kenkun Shrine
Q3195586	Keta Wakamiya Shrine
Q3197197	Kinpu Shrine
Q3197362	Kirime Ōji Shrine
Q3198277	Kogane Shrine
Q3199052	Koshikiiwa Shrine
Q3199142	Kota Shrine
Q3199184	Kotohiki Hachimangū
Q3200625	Kurume Suitengū
Q3200650	Kushifuru Shrine
Q3201026	Kyoto Ryōzen-Gokoku Shrine
Q3205778	Nakata district
Q3205811	Oe district
Q3270651	Ōtori district
Q3304192	Mefu Shrine
Q3313076	Miho Shrine
Q3313142	Mikado Shrine
Q3317243	Miwa Shrine
Q3317296	Miyajidake Shrine
Q3335060	Nagara Tenjin Shrine
Q3335115	Nagoya Shrine
Q3335117	Nagoya Tōshō-gū
Q3335477	Namiyoke Inari Shrine
Q3342145	Nishina Shinmei Shrine
Q3342246	Niukanshōfu Shrine
Q3342690	Nogi Shrine
Q3356369	Orihime Shrine
Q3439900	Rokusho Shrine
Q3461072	Sada Shrine
Q3471781	list of Jingū
Q3472357	Sano Shrine
Q3473746	Saruka Shrine
Q3503320	Suitengū
Q3513683	Tada Shrine
Q3514126	Takachiho Shrine
Q3514339	Takijiri Ōji Shrine
Q3514709	Tamatsukuri Inari Shrine
Q3517214	Tejikarao Shrine
Q3529714	Yoshino Mikumari Shrine
Q3530344	Toga Shrine
Q3530470	Tokiwa Shrine
Q3541617	Tsubaki Grand Shrine
Q3541658	Tsuma Shrine
Q3541675	Tsuno Shrine
Q3547609	Ubagami Daijin-gū shrine
Q3547711	Uda Mikumari Shrine
Q3571285	Yaegaki Shrine
Q3571318	Yabo Tenmangū
Q3571342	Yaizu Shrine
Q3572667	Yoshimizu Shrine
Q3574291	Yōrō Shrine
Q3594020	Ōharano Shrine
Q3594036	Ōmiya Hachiman Shrine
Q3594054	Ōta Shrine
Q3695082	sign
Q3698846	Onbashira
Q3791906	Takase Shrine
Q3936229	Taichung Shrine
Q4167410	Wikimedia disambiguation page
Q4167836	Wikimedia category
Q4227244	Kōka district
Q4666382	Abe district
Q4696584	Aichi Gokoku Shrine
Q4740432	Amata district
Q4803324	Asago district
Q4803406	Asai district
Q4811958	Asuwa district
Q4829634	Awa district
Q4832118	Azai district
Q4837690	BabelNet
Q5095301	Chiba district
Q5097503	Chikuma district
Q5364460	Nose district
Q5367406	Kasugayama Primeval Forest
Q5368803	Hekikai district
Q5380885	Enuma district
Q5396738	Esashi district
Q5507254	Fugeshi district
Q5507355	Fuji Sengen Shrine, Nagoya
Q5617131	Gunma district
Q5760344	Hikami district
Q5768935	Hiraka district
Q5973791	Matsura district
Q6004195	Imizu district
Q6100753	Iwata district
Q6370171	Karenkō Shrine
Q6373931	Kasa district
Q6374307	Kashima district
Q6380771	Kazahaya district
Q6404042	Kibitsu Shrine
Q6414199	Kinosaki district
Q6426482	Kojima district
Q6446017	Kurihara district
Q6446084	Kurita district
Q6455248	Kōnu district
Q6540880	Gokōnomiya Shrine
Q6587276	Musashi Mitake Shrine
Q6738588	Makabe district
Q6845252	Mihara district
Q6868901	Minō district
Q6883192	Mitsugi district
Q6902060	Monou district
Q6935606	Munakata district
Q6936905	Taiwan Gokoku Shrine
Q6938811	Muro district
Q6939220	Shōka Shrine
Q6958481	Nagao Shrine
Q6960105	Naka district
Q6964536	Naoiri district
Q6980219	Natori district
Q6987940	Nei district
Q7007362	Awashima Shrine
Q7047488	Nogi district
Q7069042	Numakuma district
Q7082713	Oku district
Q7095206	Onyū district
Q7137401	Miyagawa Tadaoki
Q7395781	Saba district
Q7398293	Saeki district
Q7402764	Sakai district
Q7402853	Sakata district
Q7403130	Saku district
Q7423207	Sarashina district
Q7496121	Shida district
Q7496289	Shiga district
Q7496534	Shikama district
Q7499122	Shisō district
Q7553491	Soekami district
Q7651143	Suzu district
Q7667621	Sōsa district
Q7680960	Tamatsukuri District
Q7684357	Taoyuan Shrine
Q7725634	literary work
Q7830939	Toyoura district
Q7850069	Tsukiji Shrine
Q7850092	Tsukuba district
Q7850141	Tsuna district
Q7850232	Tsuno district
Q7901661	Usa district
Q8010918	Koxinga's Shrine
Q8047593	Yamada district
Q8049933	Yasu district
Q8081521	Ōita district
Q8081656	Ōno district
Q8192347	Shitsuki district
Q8192583	Yoshiki district
Q8192952	Kanzaki district
Q8193082	Nima district
Q8567049	Category:Jingū
Q8976949	Category:Ichinomiya
Q9507168	Twenty-Two Shrines
Q9540709	Category:Bekkaku Kanpeisha
Q9540732	Category:Beppyo shrines
Q9540901	Category:Shikinaisha in Mikawa Province
Q9543188	Category:Shikinaisha in Kazusa Province
Q9543387	Category:Shikinaisha in Kōzuke Province
Q9543692	Category:Shikinaisha in Shimōsa Province
Q9543731	Category:Shikinaisha in Shimotsuke Province
Q9550123	Category:Chokusaisha
Q9551091	Category:Shikinaisha in Tango Province
Q9551134	Category:Shikinaisha in Tanba Province
Q9563634	Category:Shikinaisha in Iyo Province
Q9563778	Category:Shikinaisha in Ise Province
Q9564254	Category:Shikinaisha in Izu Province
Q9564390	Category:Shikinaisha in Iga Province
Q9564903	Category:Shikinaisha in Hōki Province
Q9564980	Category:Shikinaisha in Tajima Province
Q9565883	Category:Shikinaisha in Sado Province
Q9567719	Category:Shikinaisha in Shinano Province
Q9568451	Category:Shikinaisha in Bitchū Province
Q9568470	Category:Shikinaisha in Bizen Province
Q9568487	Category:Shikinaisha in Bingo Province
Q9575983	Category:Shikinaisha in Dewa Province
Q9576036	Category:Shikinaisha in Izumo Province
Q9578530	Category:Shikinaisha in Kaga Province
Q9596022	Category:Myōjin Taisha
Q9596712	Category:Shikinaisha in Suo Province
Q9598066	Category:Shikinaisha in Izumi Province
Q9600351	Category:Shikinaisha in Inaba Province
Q9600677	Category:Kokushi genzaisha
Q9600896	Category:Kokuhei Chūsha
Q9600900	Category:Kokuhei Taisha
Q9600906	Category:Kokuhei Shōsha
Q9602616	Category:Shikinaisha in Tosa Province
Q9607557	Category:Shikinaisha in Iki Island
Q9610759	Category:Shikinaisha in Yamato Province
Q9613814	Category:Taisha
Q9616530	Category:Shikinaisha in Ōsumi Province
Q9623234	Category:Shikinaisha in Awa Province (Chiba)
Q9623369	Category:Shikinaisha in Aki Province
Q9623982	Category:Kanpei Chūsha
Q9623992	Category:Kanpei Taisha
Q9623999	Category:Kanpei Shōsha
Q9625679	Category:Shikinaisha in the Imperial Palace
Q9629863	Category:Shikinaisha in Tsushima
Q9632445	Category:Shikinaisha in Owari Province
Q9633685	Category:Shikinaisha in Yamashiro Province
Q9642276	Category:Shikinaisha in Hitachi Province
Q9646117	Category:Fuken-sha
Q9646923	Category:Shikinai Taisha
Q9646930	Category:Shikinai Shosha
Q9646940	Category:Shikinaisha
Q9646951	Category:Shikigesha
Q9649851	Category:Shikinaisha in Shima Province
Q9655939	Category:Shikinaisha in Settsu Province
Q9656021	Category:Shikinaisha in Harima Province
Q9661284	Category:Shikinaisha in Hyūga Province
Q9689671	Category:Son-sha
Q10090667	Category:Shikinaisha in Musashi Province
Q10119327	Category:Shikinaisha in Kawachi Province
Q10138763	Category:Shikinaisha in Awaji Province
Q10159526	Category:Unranked shrines
Q10190364	Category:Shikinaisha in Kai Province
Q10200159	Category:Shikinaisha in Sagami Province
Q10209549	Category:Shikinaisha in Iwami Province
Q10248848	Category:Shikinaisha in Chikuzen Province
Q10248992	Category:Shikinaisha in Chikugo Province
Q10253555	Category:Shikinaisha in Kii Province
Q10444029	shrine rank
Q10815051	Category:Sōja shrines
Q10855012	Kasuga Shrine
Q10855232	Keijō Shrine
Q10855289	Koma Shrine
Q10856403	Takateru Shrine
Q10863796	Ichinomiya Nukisaki Shrine
Q10865240	Mikami district
Q10866143	Miki district
Q10866228	Miyoshi district
Q10866905	Mitani district
Q10867299	Kamihabu district
Q10867428	Jōza district
Q10867478	Uesugi Shrine
Q10868208	Kamiagata district
Q10868278	Jōtō district
Q10868527	Geza district
Q10868678	Shimoagata district
Q10868734	Katō district
Q10870274	Higashinari district
Q10877366	Niukawakami Shrine Kamisha
Q10877367	Niukawakami Shrine Shimosha
Q10877702	Kume district
Q10884977	Izanagi Jingū
Q10885171	Izawa-no-miya
Q10885872	Sumiyoshi district
Q10885893	Sakuma Shrine
Q10891572	Jeonju Shrine
Q10891905	Yagami district
Q10893844	Kantō Jingū
Q10896675	Izumo-daijingū
Q10896679	Izumo district
Q10920245	Suki district
Q10921793	Hamhung Shrine
Q10921834	Honji district
Q10924131	Kagi Shrine
Q10925104	Shijōnawate Shrine
Q10927608	Tosa Kokubun-ji Temple
Q10928586	Ikasuri no Kami
Q10930388	Kii district
Q10931631	Iki district
Q10932605	Tado district
Q10933275	Yasu district
Q10934922	Ōmiya Hachiman Shrine
Q10935393	Ōba district
Q10946235	Uji district
Q10946254	Utsunomiya Futarayama Shrine
Q10946986	Ano district
Q10947253	Yasuna district
Q10949111	Yilan Shrine
Q10961321	Suda Hachiman Shrine
Q10965808	Shimakami district
Q10968332	Nishinari district
Q10969511	Category:Modern system of ranked Shinto shrines
Q10976940	Shimashimo district
Q10981345	Otagi district
Q10982247	Izumi district
Q11048799	Okayama Shrine
Q11048806	Okayama Shrine
Q11049025	Iwai district
Q11049290	Iwaya Shrine
Q11052337	Shimane district
Q11071138	Mii district
Q11071146	Mihara district
Q11071211	Mikasa district
Q11071226	Mino district
Q11072672	Ito district
Q11073095	Ikisu Shrine
Q11073469	Eso district
Q11073594	Ou district
Q11082347	Nii district
Q11084040	Hsinchu Shrine
Q11091827	Aimi district
Q11112846	Kuwabara district
Q11113058	Kuwamura district
Q11120028	Tatenui district
Q11124582	Category:Gō-sha
Q11129340	Keta Shrine
Q11129342	Keta district
Q11129346	Kehi Jingū
Q11139392	Okinawa Shrine
Q11142103	Kawamura district
Q11143673	Hōmi district
Q11146513	Tsudaka district
Q11151384	Amabe district
Q11153319	Fukatsu district
Q11173679	Chōkaisan Ōmonoimi Shrine
Q11173974	Utari district
Q11180716	Ryūtōsan Shrine
Q11239221	Matsue Gokoku Shrine
Q11242385	Miyoshino Shrine
Q11246131	Fuyo Jingū
Q11259219	Enoshima Shrine
Q11261436	Ogami Shrine
Q11275441	Hajikami Shrine
Q11282543	Furogu Shrine
Q11352355	Ichinomiya Shrine Yokohama
Q11352356	Ichinomiya Shrine
Q11352589	Ichinomiya Sengen Shrine
Q11352598	Ichinomiya Shrine
Q11352599	Ikku Shrine
Q11352600	Ichinomiya Shrine
Q11352601	Ikkyuu Shrine
Q11352893	Ichijo Shrine
Q11353282	Ichisuka Shrine
Q11353526	Nanakura Shrine
Q11353655	Shichihyaku Yosho Shrine
Q11353675	Shitsumi district
Q11354048	Sannomiya Shrine
Q11354358	Sandaiō Shrine
Q11354441	Sankō Inari Shrine
Q11354610	Miyoshi Shrine (Sapporo City)
Q11354664	Miwa Shrine
Q11354683	Misaki Inari Shrine
Q11354713	Mimeguri Shrine
Q11354793	Mikuni Shrine
Q11354833	Sandai Shrine
Q11354999	Miyake Hachimangū
Q11355073	Miyake Shrine
Q11355152	Sannomiya Shrine
Q11355207	Mitsumine Shrine
Q11355276	Mishima Shrine
Q11355277	Mishima Shrine
Q11355278	Mishima Shrine
Q11355280	Mitsushima Shrine
Q11355295	Mishima-Kamo Shrine
Q11356190	List of Shikinaisha in Mikawa Province
Q11356651	Mikumano Shrine
Q11356652	Mikumano Shrine
Q11356840	Mitsuishi Shrine
Q11356851	Sanja Shrine (Osaka)
Q11356937	Sangasugawara Shrine
Q11357253	Sanya Hachiman Shrine
Q11357405	Miwa Shrine
Q11357406	Miwa Shrine
Q11357407	Miwa Shrine
Q11357857	Mie Gokoku Shrine
Q11358370	Kaminoshima-Shinmei Shrine
Q11358379	Kamiichinomiya Ōawa Shrine
Q11358693	Kōsaka Shrine
Q11358789	Jōgū Tenmangū
Q11358960	Kamikawa Shrine
Q11359018	Kamigoryō Shrine
Q11359060	Kamishinden Tenjinsha
Q11359993	Hebikubo Shrine
Q11360032	List of Shikinaisha in Kazusa Province
Q11360119	Kamikoso Shrine
Q11360308	List of Shikinaisha in Kōzuke Province
Q11360309	Kōzuke-no-kuni Issha Hachimangū
Q11360548	Kamitakano Shrine
Q11360668	Shimohara-hachiman Shrine
Q11360748	Shimomasuda Shrine
Q11360904	Shimogoryō Shrine
Q11361253	Shimoshinmei Tenso Shrine
Q11361262	Shimotate Matsubara Shrine
Q11361283	List of Shikinaisha in Shimōsa Province
Q11361339	Shitaya Shrine
Q11361380	List of Shikinaisha in Shimotsuke Province
Q11361494	Shimodate Haguro Shrine
Q11361507	Shimotakaido Hamadayama Hachiman Shrine
Q11361528	Shimoshiotsu Shrine
Q11361819	Fuba-hachimangu
Q11362061	Setagaya Hachimangū
Q11362533	Serada Tōshō-gū
Q11362873	Nakanotake Shrine
Q11362944	Nakai Shrine
Q11364245	Nakayama Shrine
Q11364246	Nakayama Shrine
Q11364247	Nakayama Shrine
Q11364249	Nakayama Shrine
Q11364503	Nakajima-so Shrine
Q11364695	Nakashima Shrine
Q11364903	Nakagawakumano Shrine
Q11364920	Nakagawa Shrine
Q11365871	Nakamura Shrine
Q11366290	Nakashibetsu Shrine
Q11366320	Naka-Hikawa Shrine
Q11366632	Nakaōji Shrine
Q11367236	Naka district
Q11367549	Nakano Tenman Shrine
Q11367983	Marunouchi Warei Shrine
Q11368122	Maruo Shrine
Q11368256	Maruyama Shrine (Oita)
Q11368516	List of Shikinaisha in Tango Province
Q11368529	Inari Shrine (Misato)
Q11368538	Tajihinokōri district
Q11368560	List of Shikinaisha in Tanba Province
Q11368606	Nyuu Shrine
Q11368810	Nogita Shrine
Q11368831	Nogi Shrine
Q11368832	Nogi Shrine
Q11368833	Nogi Shrine
Q11368886	Kuge Inari Shrine
Q11368919	Kukumiohiko Shrine
Q11368920	Kukuhi Shrine
Q11368930	Hisaizu Shrine
Q11368944	Kusanagi Shrine
Q11369003	Kuboichi Ototsurugigū
Q11369149	Kubo Shrine
Q11369362	Kugayama Inari Shrine
Q11369376	Kuga Shrine
Q11369462	Kuzu-hachimangū
Q11369563	Kure-hachimangu
Q11369609	Kume no Miagata Shrine
Q11369798	Oka Shrine
Q11369800	Omi Shrine
Q11369925	Otomiya Shrine
Q11369926	Otomiya Shrine
Q11370718	Kamenomori-sumiyoshi Shrine
Q11370831	Kameyama Hachimangū
Q11370833	Kameyama-hachimangū
Q11370879	Kameyama Shrine
Q11370927	Kameoka Shrine
Q11370953	Kameido Tenjinsha
Q11371126	Kotoshironushi Shrine
Q11371148	Kotonomama Hachimangū
Q11371267	Futagami-Imizu Shrine
Q11371508	Ninomiya Shrine
Q11371509	Ninomiya Shrine
Q11371510	Ninomiya Shrine
Q11371511	Ninomiya Shrine
Q11371572	Nisho Yamada Shrine
Q11371575	Futakata district
Q11371776	Futabayama Shrine
Q11372294	Gonomiya Shrine
Q11372414	Gosho Shrine
Q11372507	Gojyonomiya
Q11372578	Gosha Shrine
Q11372580	Gosha Shrine (Kasugai)
Q11372582	Gosha & Suwa Shrine
Q11372699	Gorō Shrine
Q11373321	Iinoya-gū
Q11373596	Ide Shrine
Q11373608	Io Shrine
Q11373756	Igusa Hachimangū
Q11373834	Watari Shrine
Q11374034	Katanoamatsukami-no-yashiro
Q11374054	Katano district
Q11376337	Nikabe Shrine
Q11376803	Imahorihiyoshi Shrine
Q11376859	Imamiya Ebisu Shrine
Q11376860	Imamiya Sengen Shrine
Q11376891	Imao Shrine
Q11376985	Imado Shrine
Q11377082	Imamura-gu
Q11377238	Imaizumi Yasaka Shrine
Q11377299	Imazu Hie Shrine
Q11377317	Imakumano Shrine
