qid,en_label,ja_label,source_lang,source_label,target_lang,prefix,cleaned_input,tokiponized,toki_pona_label,has_tok_label,existing_tok_labels
Q385407,Ōmi Jingū,近江神宮,id,Kuil Agung Omi,tok,Kuil Agung,omi,Omi,tomo sewi suli Omi,False,
Q705151,Ōtori Taisha,大鳥大社,id,Kuil Agung Otori,tok,Kuil Agung,otori,Otoli,tomo sewi suli Otoli,False,
Q705635,Shiramine Jingū,白峯神宮,id,Kuil Agung Shiramine,tok,Kuil Agung,shiramine,Silamine,tomo sewi suli Silamine,False,
Q705949,Sumiyoshi Taisha,住吉大社,id,Kuil Agung Sumiyoshi,tok,Kuil Agung,sumiyoshi,Sumijosi,tomo sewi suli Sumijosi,False,
Q218813,Suwa taisha,諏訪大社,id,Kuil Agung Suwa,tok,Kuil Agung,suwa,Suwa,tomo sewi suli Suwa,False,
Q116140,Tado Taisha,多度大社,id,Kuil Agung Tado,tok,Kuil Agung,tado,Tato,tomo sewi suli Tato,False,
Q402091,Taga Taisha,多賀大社,id,Kuil Agung Taga,tok,Kuil Agung,taga,Taka,tomo sewi suli Taka,False,
Q708921,Taiwan Grand Shrine,台湾神宮,id,Kuil Agung Taiwan,tok,Kuil Agung,taiwan,Tawan,tomo sewi suli Tawan,False,
Q403338,Takebe taisha,建部大社,id,Kuil Agung Takebe,tok,Kuil Agung,takebe,Takepe,tomo sewi suli Takepe,False,
Q3541617,Tsubaki Grand Shrine,椿大神社,id,Kuil Agung Tsubaki,tok,Kuil Agung,tsubaki,Tupaki,tomo sewi suli Tupaki,False,
Q840967,Tsubaki Grand Shrine of America,アメリカ椿大神社,id,Kuil Agung Tsubaki Amerika,tok,Kuil Agung,tsubakiamerika,Tupakijamelika,tomo sewi suli Tupakijamelika,False,
Q704430,Udo Jingū,鵜戸神宮,id,Kuil Agung Udo,tok,Kuil Agung,udo,Uto,tomo sewi suli Uto,False,
Q276781,Umenomiya Taisha,梅宮大社,id,Kuil Agung Umenomiya,tok,Kuil Agung,umenomiya,Umenomija,tomo sewi suli Umenomija,False,
Q715632,Usa Jingū,宇佐神宮,id,Kuil Agung Usa,tok,Kuil Agung,usa,Usa,tomo sewi suli Usa,True,tomo sewi suli Usa
Q11414497,Yoshino Jingū,吉野神宮,id,Kuil Agung Yoshino,tok,Kuil Agung,yoshino,Josino,tomo sewi suli Josino,False,
Q135039182,Ahachino Shrine,淡路神社,id,Kuil Ahachino,tok,Kuil,ahachino,Apasino,tomo sewi Apasino,False,
Q135229657,Ahachino Shrine,阿波遅神社,id,Kuil Ahachino,tok,Kuil,ahachino,Apasino,tomo sewi Apasino,False,
Q135039173,Ahano Shrine,合祀：大津神社,id,Kuil Ahano,tok,Kuil,ahano,Apano,tomo sewi Apano,False,
Q135038804,Ahano Shrine,粟神社,id,Kuil Ahano,tok,Kuil,ahano,Apano,tomo sewi Apano,False,
Q135039244,Ahano Shrine,阿波神社,id,Kuil Ahano,tok,Kuil,ahano,Apano,tomo sewi Apano,False,
Q135039930,Ahanono Shrine,粟野神社,id,Kuil Ahanono,tok,Kuil,ahanono,Apanono,tomo sewi Apanono,False,
Q135039939,Ahasano Shrine,粟狭神社,id,Kuil Ahasano,tok,Kuil,ahasano,Apasano,tomo sewi Apasano,False,
Q135039455,Ahashimano-isahano Shrine,粟島坐伊射波神社 二座,id,Kuil Ahashimano-isahano,tok,Kuil,ahashimanoisahano,Apasimanowisapano,tomo sewi Apasimanowisapano,False,
Q135040534,Ahichino Shrine,阿毘地神社,id,Kuil Ahichino,tok,Kuil,ahichino,Apisino,tomo sewi Apisino,False,
Q135040300,Ahimino Shrine,相見神社,id,Kuil Ahimino,tok,Kuil,ahimino,Apimino,tomo sewi Apimino,False,
Q11657481,Ahita Shrine,阿比太神社,id,Kuil Ahita,tok,Kuil,ahita,Apita,tomo sewi Apita,False,
Q135040419,Ahitano Shrine,阿比多神社,id,Kuil Ahitano,tok,Kuil,ahitano,Apitano,tomo sewi Apitano,False,
Q11657591,Ai Shrine,阿為神社,id,Kuil Ai,tok,Kuil,ai,A,tomo sewi A,False,
Q21652575,Aigahachiman Shrine,相賀八幡神社,id,Kuil Aigahachiman,tok,Kuil,aigahachiman,Akapasiman,tomo sewi Akapasiman,False,
Q135466692,Aiki Shrine,,id,Kuil Aiki,tok,Kuil,aiki,Aki,tomo sewi Aki,False,
Q63891011,Ainonai Shrine,相内神社,id,Kuil Ainonai,tok,Kuil,ainonai,Anona,tomo sewi Anona,False,
Q134957572,Aio Inari Shrine,相生稲荷神社,id,Kuil Aio Inari,tok,Kuil,aioinari,Owinali,tomo sewi Owinali,False,
Q111694252,"Aioiyama Shrine (Tenpaku-ku, Nagoya)",相生山神社,id,"Kuil Aioiyama (Tenpaku-ku, Nagoya)",tok,Kuil,aioiyama,Owijama,tomo sewi Owijama,False,
Q135351969,Aitokusan Ōji Shrine,愛徳山王子,id,Kuil Aitokusan Ōji,tok,Kuil,aitokusanōji,Atokusanosi,tomo sewi Atokusanosi,False,
Q30933144,Aitsuchi Shrine,相槌神社,id,Kuil Aitsuchi,tok,Kuil,aitsuchi,Atusi,tomo sewi Atusi,False,
Q135260223,Aizawa Shrine,会沢神社,id,Kuil Aizawa,tok,Kuil,aizawa,Asawa,tomo sewi Asawa,False,
Q48763373,Aizuchi Inari Shrine,合槌稲荷神社,id,Kuil Aizuchi Inari,tok,Kuil,aizuchiinari,Asusinali,tomo sewi Asusinali,False,
Q135039953,Aizuhime Shrine,会津比売神社,id,Kuil Aizuhime,tok,Kuil,aizuhime,Asupime,tomo sewi Asupime,False,
Q128867073,Aji Shrine,阿字神社,id,Kuil Aji,tok,Kuil,aji,Asi,tomo sewi Asi,False,
Q134958420,Aji Shrine,阿字神社,id,Kuil Aji,tok,Kuil,aji,Asi,tomo sewi Asi,False,
Q11417025,Ajifu Shrine,味府神社,id,Kuil Ajifu,tok,Kuil,ajifu,Asipu,tomo sewi Asipu,False,
Q11417035,Ajifu Shrine (Settsu),味生神社,id,Kuil Ajifu (Settsu),tok,Kuil,ajifu,Asipu,tomo sewi Asipu,False,
Q135186738,Ajiga Shrine,阿自賀神社,id,Kuil Ajiga,tok,Kuil,ajiga,Asika,tomo sewi Asika,False,
Q135186739,Ajiga Shrine,阿自賀神社,id,Kuil Ajiga,tok,Kuil,ajiga,Asika,tomo sewi Asika,False,
Q11657713,Ajika Shrine,阿遅加神社,id,Kuil Ajika,tok,Kuil,ajika,Asika,tomo sewi Asika,False,
Q110858812,Ajiko Shrine,阿治古神社,id,Kuil Ajiko,tok,Kuil,ajiko,Asiko,tomo sewi Asiko,False,
Q11417045,Ajima Shrine,味鋺神社,id,Kuil Ajima,tok,Kuil,ajima,Asima,tomo sewi Asima,False,
Q135194649,Ajimano Shrine,味真野神社,id,Kuil Ajimano,tok,Kuil,ajimano,Asimano,tomo sewi Asimano,False,
Q135041427,Ajimino Shrine,阿沼美神社 （阿治美神社）[注 2],id,Kuil Ajimino,tok,Kuil,ajimino,Asimino,tomo sewi Asimino,False,
Q135040230,Ajiwase Shrine,阿治波世神社,id,Kuil Ajiwase,tok,Kuil,ajiwase,Asiwase,tomo sewi Asiwase,True,tomo sewi Asiwase
Q11657371,Ajiya Shrine,阿字野神社,id,Kuil Ajiya,tok,Kuil,ajiya,Asija,tomo sewi Asija,False,
Q109567013,Aka Inari Shrine,赤稲荷神社,id,Kuil Aka Inari,tok,Kuil,akainari,Akanali,tomo sewi Akanali,False,
Q113571026,Aka Inari Shrine,赤稲荷神社,id,Kuil Aka Inari,tok,Kuil,akainari,Akanali,tomo sewi Akanali,False,
Q20042898,Akaba Shrine,赤羽神社,id,Kuil Akaba,tok,Kuil,akaba,Akapa,tomo sewi Akapa,False,
Q55450375,Akabane-hachiman Shrine,赤羽八幡神社,id,Kuil Akabane-hachiman,tok,Kuil,akabanehachiman,Akapanepasiman,tomo sewi Akapanepasiman,False,
Q11635898,Akabo Shrine,赤穂神社,id,Kuil Akabo,tok,Kuil,akabo,Akapo,tomo sewi Akapo,False,
Q105974885,Akaboshi Shrine,赤星神社,id,Kuil Akaboshi,tok,Kuil,akaboshi,Akaposi,tomo sewi Akaposi,False,
Q113272147,Akabuchi Shrine,赤淵神社,id,Kuil Akabuchi,tok,Kuil,akabuchi,Akapusi,tomo sewi Akapusi,False,
Q134888875,Akada Shrine,赤田神社,id,Kuil Akada,tok,Kuil,akada,Akata,tomo sewi Akata,False,
Q135041268,Akada Shrine,赤田神社,id,Kuil Akada,tok,Kuil,akada,Akata,tomo sewi Akata,False,
Q135040608,Akafuchino Shrine,赤淵神社,id,Kuil Akafuchino,tok,Kuil,akafuchino,Akapusino,tomo sewi Akapusino,False,
Q11635869,Akagami Shrine,赤神神社,id,Kuil Akagami,tok,Kuil,akagami,Akakami,tomo sewi Akakami,False,
Q11635467,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q11635470,Akagi Shrine,赤城神社 (柏市),id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q11635471,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q11635468,Akagi Shrine (worship),赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q11635469,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q11635472,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q131275527,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q131275528,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q110994875,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134887241,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134886003,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134596323,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134887414,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134886062,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134886072,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134926956,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134886837,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134886877,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134887030,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135039965,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135154670,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135153986,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q134886328,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135155017,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135259563,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135259564,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135155333,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135425683,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135425695,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135425555,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
Q135425585,Akagi Shrine,赤城神社,id,Kuil Akagi,tok,Kuil,akagi,Akaki,tomo sewi Akaki,False,
