"item","itemLabel","officialWebsite","shrineDetailTemplate","templateNotes","templateConfidence"
"http://www.wikidata.org/entity/Q135249395","Kanagawa Prefectural Shrine Association","http://www.kanagawa-jinja.or.jp/","https://www.kanagawa-jinja.or.jp/shrine/{id}/","numeric id; hyphenated suffix observed","confirmed"
"http://www.wikidata.org/entity/Q135249422","Kochi Prefectural Shrine Association","https://www.kochi-jinjyacho.com/","","list pages only; no per-shrine detail URL found; single list page (no per-shrine detail pages found)","no-template-found"
"http://www.wikidata.org/entity/Q135249902","Kumamoto Prefectural Shrine Association","","","","unknown"
"http://www.wikidata.org/entity/Q135249828","Kyoto Prefectural Shrine Association","http://www.kyoto-jinjacho.or.jp/","https://www.kyoto-jinjacho.or.jp/shrine/{id}.html","shrine search system appears restricted (login)","confirmed"
"http://www.wikidata.org/entity/Q135249407","Mie Prefectural Shrine Association","http://www.amigo.ne.jp/~chitonr2/","http://kyoka.mie-jinjacho.or.jp/shrine/{slug}/","detail pages on kyoka.mie-jinjacho.or.jp (external domain); name-based slug","inferred"
"http://www.wikidata.org/entity/Q135249385","Miyagi Prefectural Shrine Association","http://www.miyagi-jinjacho.or.jp/","https://www.miyagi-jinjacho.or.jp/jinja-search/detail.php?code={code}","shrine search system appears restricted (login); numeric code parameter","confirmed"
"http://www.wikidata.org/entity/Q135250079","Miyazaki Prefectural Shrine Association","","","","unknown"
"http://www.wikidata.org/entity/Q135249402","Nagano Prefectural Shrine Association","http://www.nagano-jinjacho.jp/","","lists by branch (shibu/*.htm); no per-shrine detail URL found","no-template-found"
"http://www.wikidata.org/entity/Q135249897","Nagasaki Prefectural Shrine Association","http://nagasaki-jinjacho.or.jp/","","shrine search system appears restricted (login); city list pages only; no per-shrine detail URL found; list pages by region (e.g., /shimogotou.html), no per-shrine detail pages found","no-template-found"
"http://www.wikidata.org/entity/Q135249844","Nara Prefectural Shrine Association","http://www.naraken-jinjacho.jp/","https://jinja-net.jp/jinjacho-nara/jsearch3nara.php?jinjya={id}","list page jinja.html; no per-shrine detail URL found; detail pages hosted on jinja-net.jp (external domain); no shrine DB; only link list and general content found","inferred"
"http://www.wikidata.org/entity/Q135249396","Niigata Prefectural Shrine Association","http://niigata-jinjacho.jp/","","lists only (shrine_niigata); no per-shrine detail URL found; no shrine DB; only link list and general content found","no-template-found"
"http://www.wikidata.org/entity/Q135249909","Oita Prefectural Shrine Association","","","","unknown"
"http://www.wikidata.org/entity/Q135249861","Okayama Prefectural Shrine Association","http://www.okayama-jinjacho.or.jp/","https://www.okayama-jinjacho.or.jp/search/{id}/","numeric id in search detail URL","confirmed"
"http://www.wikidata.org/entity/Q135250116","Okinawa Prefectural Shrine Association","http://jinjacho.naminouegu.jp","https://www.jinjacho.naminouegu.jp/{slug}.html","site lists shrines with external URLs; no per-shrine detail URL found; per-shrine pages by slug (e.g., ukishima.html)","inferred"
"http://www.wikidata.org/entity/Q135249833","Osaka Prefectural Shrine Association","http://www.jinjacho-osaka.net/","https://www.osaka-jinjacho.jp/funai_jinja/{branch}/{city}/{code}{slug}.html","redirects to osaka-jinjacho.jp; filename begins with numeric code","confirmed"
"http://www.wikidata.org/entity/Q135249891","Saga Prefectural Shrine Association","https://saga-jinjacho.jp/","https://saga-jinjacho.jp/{slug}/","name-based slug (WordPress); no shrine DB; only link list and general content found","confirmed"
"http://www.wikidata.org/entity/Q134886272","Saitama Prefectural Shrine Association","http://www.saitama-jinjacho.or.jp/","https://www.saitama-jinjacho.or.jp/shrine/{id}/","numeric id; shrine search system appears restricted (login)","confirmed"
"http://www.wikidata.org/entity/Q135249408","Shiga Prefectural Shrine Association","http://www.shiga-jinjacho.jp/","https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid={oid}","site could not be decoded (encoding/response issue); oid parameter; legacy CGI path; no shrine DB; only link list and general content found","confirmed"
"http://www.wikidata.org/entity/Q135249855","Shimane Prefectural Shrine Association","http://www.shimane-jinjacho.or.jp/","https://www.shimane-jinjacho.or.jp/{area}/{hash}.html","area segment + hash-like id in filename","confirmed"
"http://www.wikidata.org/entity/Q134956727","Shizuoka Prefectural Shrine Association","http://www.shizuoka-jinjacho.or.jp/","http://www.shizuoka-jinjacho.or.jp/shokai/jinja.php?id={id}","user-provided example; site returned 502 during verification; shrine search system appears restricted (login)","inferred"
"http://www.wikidata.org/entity/Q135249390","Tochigi Prefectural Shrine Association","http://www.tochigi-jinjacho.or.jp/","https://www.tochigi-jinjacho.or.jp/?p={id}","WordPress post id","confirmed"
"http://www.wikidata.org/entity/Q135249419","Tokushima Prefectural Shrine Association","http://awa-jinjacho.jp/","","site returned 502 during verification; no shrine DB; only link list and general content found","no-template-found"
"http://www.wikidata.org/entity/Q135249781","Tokyo Prefectural Shrine Association","http://www.tokyo-jinjacho.or.jp/","https://www.tokyo-jinjacho.or.jp/{ward}/{id}/","shrine search system appears restricted (login); ward/area segment + numeric id","confirmed"
"http://www.wikidata.org/entity/Q135249850","Tottori Prefectural Shrine Association","https://tottori-jinjacho.jp/","https://tottori-jinjacho.jp/pages/{id}/","numeric id in /pages/{id}/; no shrine DB; only link list and general content found","confirmed"
"http://www.wikidata.org/entity/Q135249397","Toyama Prefectural Shrine Association","http://toyama-jinjacho.sakura.ne.jp/","","site is news/blog; no per-shrine detail URL found","no-template-found"
"http://www.wikidata.org/entity/Q135249413","Wakayama Prefectural Shrine Association","http://www.wakayama-jinjacho.or.jp/","https://wakayama-jinjacho.or.jp/jdb/sys/user/GetWjtTbl.php?JinjyaNo={id}","shrine search system appears restricted (login); numeric id (JinjyaNo)","confirmed"
"http://www.wikidata.org/entity/Q135249748","Yamagata Prefectural Shrine Association","http://yamagata-jinjyacho.or.jp/","https://yamagata-jinjyacho.or.jp/shrine_detail/{id}","numeric id","confirmed"
"http://www.wikidata.org/entity/Q135249871","Yamaguchi Prefectural Shrine Association","http://www.yamaguchi-jinjacho.or.jp/","https://www.jinja-net.jp/jinjacho-yamaguti/jsearch3yamaguti.php?jinjya={id}","shrine search system appears restricted (login); site blocked (403) during verification; detail pages hosted on jinja-net.jp (external domain; inferred from third-party listings)","inferred"
"http://www.wikidata.org/entity/Q135249400","Yamanashi Prefectural Shrine Association","http://www.yamanashi-jinjacho.or.jp/","https://www.yamanashi-jinjacho.or.jp/intro/search/detail/{id}","shrine search system appears restricted (login); numeric id","confirmed"
