page_title,qid
Amenokunitsuhiko Shrine (small subsidiary within Tsunemiya Shrine precinct),Q135194522
Amenokunitsuhime Shrine (small subsidiary within Oshio Hachimangū precinct),Q135194525
Amenokunitsuhime Shrine (small subsidiary within Tsunemiya Shrine precinct),Q135194524
Amenomikono- Shrine,Q135098973
Amenomorohanomikoto Shrine,Q135041529
Amenotanakawono Shrine,Q135041506
Amenotoyotarashikarahimenomikoto Shrine,Q24863642
Amesusuno Shrine,Q135098994
Ametachikarawono Shrine,Q135041283
Ametotsurukino Shrine,Q135098990
Ametsuseno- Shrine,Q135039676
Ametsuseno- Shrine (Q135270422),Q135270422
Amewakahikono Shrine,Q135040961
Amewakahikono Shrine (Q135040970),Q135040970
Ameyahotsurano Shrine,Q135039833
Ameyahoyorotsu- Shrine,Q135040139
Ameyoritateno Shrine,Q135041311
Ame‑no‑Morohano‑Mikoto Shrine,Q135198814
Ame‑no‑Morohano‑Mikoto Shrine (Q135198837),Q135198837
Ame‑no‑Morohano‑Mikoto Shrine (Q135198847),Q135198847
Ami Shrine,Q17191825
Ami Shrine (Q17191824),Q17191824
Amido Shrine,Q135069858
Amido Shrine (Q135194296),Q135194296
Amino Shrine,Q135039760
Aminono Shrine,Q135040585
Amuka Shrine,Q135195380
Amuka Shrine (Q135195381),Q135195381
Amukano Shrine,Q135040645
Amukano Shrine (Q135040530),Q135040530
Anagiri Daijinja,Q11597204
Anahoheno Shrine,Q135039491
Anaishi Shrine,Q24870597
Anakengoukoshudainamabuheishushin Shrine,Q135070066
Anamekino Shrine,Q135040668
Anamigo Toshunushi Ōube Hyoju Shrine,Q135195379
Anamizu Omiya Shrine,Q135194930
Anasahano- Shrine,Q135039729
Anashi Shrine,Q135186300
Anashi Shrine Site,Q135186302
Anashino Shrine,Q135039291
Anashino Shrine (Q135040067),Q135040067
Anatono- Shrine,Q135041228
Anatosanshin Shrine,Q135070198
Anatosanshin Shrine (Bitchū Province),Q135070199
Anazawa Tenjin Shrine,Q135193302
Anazawa Tenjin Shrine (Ronsha 1),Q135069520
Anazawa Tenjinsha,Q11597242
"Anekura Himemi Shrine (Funakura, Toyama City)",Q135194979
"Anekura Himemi Shrine (Kureha Town, Toyama City)",Q135194980
Anekura- Shrine,Q135040380
Aneno Shrine,Q135041062
Aniko Shrine,Q135194530
Anikogami Shrine,Q135069905
Anikono Shrine,Q135040143
Anmuka Shrine,Q135070067
Anmuka Shrine (Tajima Province),Q135070068
Antsukino- Shrine,Q135041237
Anumi Shrine (Q135198210),Q135198210
Aoi Shrine,Q11662605
Aoi Shrine (Chofu),Q135193309
Aokura Shrine,Q135070049
Aokura Shrine (Q135195327),Q135195327
Aomi Shrine,Q112923996
Aoyama Shrine,Q135039765
Araho Shrine,Q67989816
Arai Shrine (Nantan),Q11618386
Araishi Hiko Shrine,Q135194885
Araishi Shrine,Q135194887
Araiso- Shrine,Q135040319
Arakahano Shrine,Q135040475
Arakashi Shrine (Q135039974),Q135039974
Arakashi Shrine (Q135270258),Q135270258
Arakashi- Shrine,Q135040323
Arakatano Shrine,Q135039898
"Arakawa Shrine (Arakawa, Murakami)",Q135195154
"Arakawa Shrine (Koiwanai, Murakami)",Q135195153
Arakawa Shrine (Tainai),Q135195155
Araki Shrine,Q11618425
Araki Shrine (Izunokuni),Q117138364
Arakino Shrine,Q135040532
Arakurano Shrine,Q135039892
Arami Shrine,Q112161861
Arami Shrine (Tomino),Q135068854
Araogawa Shrine,Q135194323
Arasaka Shrine,Q135040729
Arashimano Shrine,Q135040222
Arasu Shrine,Q135070020
Arasu Shrine (Fukuchiyama City),Q135195230
Arasu Shrine (Maizuru City),Q135195231
Arasu Shrine (Tango Province),Q135070021
Arasuna Shrine,Q135195566
Arasuno Shrine,Q135040554
Arata Shrine,Q17191921
Aratano Shrine,Q135041167
"Arawogawa Shrine (Iketsuki, Iwadeyama, Ōsaki City)",Q135194324
Arawokahano Shrine,Q135039992
Arei Shrine,Q62056170
Ariga Shrine,Q135069598
Arino Shrine,Q135041075
Aritama Shrine,Q135192613
Aritano Shrine,Q135041229
Aruka Shrine,Q11516854
Asadatehiko Shrine,Q11517708
Asadono Shrine,Q135193511
Asahihatakano Shrine,Q135039604
Asahiyama Kesenma Shrine,Q135194373
"Asai Shrine (Fukuoka, Takaoka)",Q135194957
"Asai Shrine (Ishizutsumi, Takaoka)",Q135194958
Asai Shrine (Q135187107),Q135187107
Asai Shrine (Takaoka),Q134925834
Asaihinono Shrine,Q135040466
Asakano Shrine,Q135039326
Asaki Shrine,Q135069911
Asaki Shrine (Echizen Province),Q135069912
Asakonoisobeno Shrine,Q135040605
Asakura Shrine (Q11510876),Q11510876
Asakura Shrine (Q17191190),Q17191190
Asakurahiko-no-Mikoto Shrine,Q135041110
Asamano Shrine,Q135039708
Asamano Shrine (Q135040614),Q135040614
Asamano Shrine (Q135270287),Q135270287
Asamine Shrine,Q18989938
Asamiya Shrine,Q11517375
Asawino Shrine,Q135040356
Asawino Shrine (Q135039477),Q135039477
Asayama Shrine,Q11517384
Ashii Shrine,Q135040524
Ashiinaba Shrine,Q11621139
Ashikano Shrine,Q135039388
Ashikano Shrine (Q135040611),Q135040611
Ashikino Shrine,Q135039813
Ashimita Shrine,Q135186751
Ashimitano Shrine,Q135039398
Ashino Shrine,Q135039245
Ashino Shrine (Q135039579),Q135039579
Ashisakino Shrine,Q135039834
Ashitano Shrine,Q135040649
Ashitsugi Shrine,Q135070209
Ashitsugi Shrine (Bitchū Province),Q135070210
Ashitsugiyama Shrine,Q135070208
Ashitsukino Shrine,Q135039626
Ashitsumino Shrine,Q135039871
Aso-Hime Shrine,Q135041486
Asomurano- Shrine,Q135040120
"Asori Shrine (Nakami, Meiwa Town)",Q135186187
Asuhano Shrine,Q135040213
Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine (Q135270112),Q135270112
Asukada Shrine,Q11665977
Asukakawakamizausutakihimeinochi Shrine,Q135069118
Asukata Shrine,Q135068821
Asukata Shrine (Jōnan-gū subshrine),Q135180035
Asukata Shrine (Yamashiro Province),Q135068819
Asukino Shrine,Q135040959
Asurino Shrine,Q135041086
Asusuki Shrine,Q135195215
Asusukino Shrine,Q135040535
Asuzushi Shrine,Q135070016
Asō Shrine,Q17191369
Atachino Shrine,Q135039732
Atachino Shrine former site,Q135193315
Atago Shrine (Kasama City),Q135193465
Atago Shrine (Q135040118),Q135040118
Atago Shrine (Q135070110),Q135070110
Atagono Shrine,Q135040494
Atagono Shrine (Q135270267),Q135270267
Atakatsutakemikumano Shrine,Q135040748
Atamino Shrine,Q135041490
Atawokano Shrine,Q135040519
Ataya Shrine,Q135070357
Atayutano Shrine,Q135039912
Ato Shrine,Q17191533
Atsu Shrine,Q135070314
Atsuhitakahiko Shrine,Q11569065
Atsukushihikono Shrine,Q135040490
Atsumayakunino Shrine,Q135039997
Atsuta Shrine,Q482065
Atsuwa Shrine,Q28690200
Awa Shrine (Oyama),Q59282622
Awa-no-Mikoto Shrine,Q17218974
Awabitamashiratama-hime-no-Mikoto Shrine,Q134928802
Awai Shrine,Q11604560
Awano Shrine,Q135069817
Awano Shrine (Shinano Province),Q135069821
"Awano Shrine (Toyono, Nagano City)",Q135194232
"Awano Shrine (Ueno, Nagano City)",Q135194233
Awawa Shrine,Q11657490
Awayamanoueno Shrine,Q11657523
Awofusumano Shrine,Q135098964
Awomino Shrine,Q135040434
Awomino Shrine (Q135040456),Q135040456
Awoumino Shrine,Q135040072
Awowino Shrine,Q135039731
Awowino Shrine okumiya,Q135193311
Ayabusuma Shrine,Q135187137
Ayuta Shrine,Q135186611
Ayutano Shrine,Q135039339
Azai Shrine (Ichinomiya),Q11556984
Azaka Shrine,Q135186477
Azumaya-gū,Q135069467
Azumayanuma Shrine,Q11526673
Azura Shrine,Q11657682
Azusami Tenjinsha,Q11657681
Azusawakenomikoto Shrine,Q134926700
Bandai Shrine,Q135069885
Bingokunininomiya Chihayahiko Shrine,Q135197992
Bishu Shrine,Q135070080
Biyatsukan Shrine,Q135070297
Chichihayano Shrine,Q135039470
"Chigata Shrine (Tanaka, Kawamoto Village, Ōsato District)",Q135193363
Chihamura- Shrine,Q135040127
Chihayahiko Shrine,Q135197993
Chihayahikono Shrine,Q135041252
Chihayahimeno Shrine,Q135041253
Chiino Shrine,Q135041072
Chikushi Shrine,Q11602932
Chikuya Shrine,Q135040787
Chinamiyoruhiko Shrine,Q135070221
Chinamiyoruhiko Shrine (Bingo Province),Q135070222
Chinoka Shrine,Q135040051
Chinono Shrine,Q135039481
Chinono Shrine (Q135040516),Q135040516
Chiyo Shrine (Kasuga Keidai-sha),Q135069113
Chiyo Shrine (Moriichi Keidai-sha),Q135069115
Chota Great Camphor Tree,Q135186735
Co-Enshrinement at Gassan Shrine,Q135069866
Co-Enshrinement at Tamanooya Shrine,Q135185428
Co-Enshrinement in Seki Shrine,Q135186668
Co-Enshrinement in Tamanoya Shrine,Q135185436
Co-Enshrinement of Afukakotano Shrine,Q135186284
Co-Enshrinement of Afukamuyamano Shrine,Q135186194
Co-Enshrinement of Haseno Shrine,Q135186783
Co-Enshrinement of Hichino Shrine,Q135186320
Co-Enshrinement of Hichino Shrine Ronsha 6,Q135186324
Co-Enshrinement of Hirawoka Shrine,Q135194742
Co-Enshrinement of Hitsukurano Shrine,Q135186400
Co-Enshrinement of Hotsumino Shrine,Q135186776
Co-Enshrinement of Ikatsuchi Shrine,Q135194598
Co-Enshrinement of Imakiawosakainaminoikekamino Shrine,Q135193385
Co-Enshrinement of Imakiawosakanoinamiaramitamano Shrine,Q135193378
Co-Enshrinement of Kamishimano Shrine,Q135197944
Co-Enshrinement of Katakishino Shrine,Q135194736
Co-Enshrinement of Ketamikono Shrine,Q135194764
Co-Enshrinement of Kuninariohonono Shrine,Q135194703
Co-Enshrinement of Kuniwichino Shrine,Q135193336
Co-Enshrinement of Machino Shrine,Q135193750
Co-Enshrinement of Nakuno Shrine,Q135195293
Co-Enshrinement of Ohokino Shrine,Q135186734
Co-Enshrinement of Ohokino Shrine Ronsha 2,Q135186732
Co-Enshrinement of Ohowano Shrine (Ronsha 1),Q135186762
Co-Enshrinement of Ohoyamamitano Shrine,Q135194562
Co-Enshrinement of Ohoyamamitano Shrine Ronsha 5,Q135194566
Co-Enshrinement of Sakurano Shrine,Q135186780
Co-Enshrinement of Shikitamahayamitamano Shrine,Q135194345
Co-Enshrinement of Shishichino Shrine,Q135195742
Co-Enshrinement of Takino Shrine,Q135195174
Co-Enshrinement of Tsuchinowano Shrine,Q135194683
Co-Enshrinement of Tsuhakino Shrine,Q135193681
Co-Enshrinement of Utsurahashino Shrine,Q135195110
Co-Enshrinement of Utsurahashino Shrine Ronsha 2,Q135195111
Daijin Shrine,Q135069984
Daijingu-sha Shrine,Q135068809
Dainamabuheishushin Shrine,Q135070063
Dainamabuheishushin Shrine (Tajima Province),Q135070064
Dainichi-dō Shrine,Q135069355
Dainoki Shrine,Q135069379
Daisen Ōji Shrine,Q134930667
Daisuibetsu Shrine,Q135193776
Daitsukiiwakura Shrine,Q135040217
Daizen Shrine,Q135070010
Daizen Shrine (Q135195180),Q135195180
Dake Shrine,Q135194881
Date Shrine,Q11380845
Date Shrine (Q135195188),Q135195188
Date Shrine (Q135195189),Q135195189
Destroyed Shrine,Q135070118
Destroyed Shrine (Q135070078),Q135070078
Dewa Shrine,Q11395802
Dousashifutsu Shrine,Q135041503
Dōsha-ni-imasu Hiiwaya-hiko Shrine,Q135099008
E Shrine (Q135186675),Q135186675
Ebisuhari Shrine,Q135069604
Ebumi Shrine,Q11551131
Echino Shrine,Q135040586
Eda Shrine (Q135186746),Q135186746
Ehara Nishinomiya Shrine,Q135198067
Ena Shrine (Q11492453),Q11492453
Ena Shrine (Q135194002),Q135194002
Enano Shrine,Q135039909
Enkan Shrine,Q135070038
Eno Shrine,Q135040432
Eno Shrine (Co-Enshrinement),Q135186687
Eno Shrine (Q135039367),Q135039367
Eno Shrine (Q135195049),Q135195049
Enoki Shrine,Q134893091
Erehiko Shrine,Q11649828
Erehiko Shrine okumiya,Q135193727
Etano Shrine,Q135040245
Etano Shrine (Q135039394),Q135039394
Etano Shrine (Q135039947),Q135039947
Etomo Shrine,Q135070122
Etomo Shrine (Izumo Province),Q135070123
Fuchiharahikono Shrine,Q135040314
Fuchimori Inari Shrine,Q135187125
Fuchino Shrine,Q135039483
Fuchishimano Shrine,Q135039458
Fuchitsuhikono Shrine,Q135040310
Fuchiuchino Shrine,Q135039766
Fuchiuchino Shrine (Q135270297),Q135270297
Fuchū Hachiman Shrine,Q135195039
Fudaten Shrine,Q11480773
Fuheno Shrine,Q135040903
Fuji Sengen Shrine (Togo Town),Q11456095
Fuji Sengen-gū Shrine,Q135069408
Fuji Sengengu,Q135192668
Fujimori Shinmei-sha,Q135069369
Fujina Ōanamochi Shrine,Q135040775
Fujino Shrine,Q135039633
Fujisaki Shrine,Q135069986
Fujisaki Shrine (Q135195033),Q135195033
Fujito Shrine,Q135195144
Fujiuchi Shrine,Q66764741
Fukaeno Shrine,Q135039449
Fukafu Shrine,Q135040562
Fukafuchino Shrine,Q135041451
Fukagawa Shrine,Q11560019
Fukami Shrine,Q11560278
Fukasaka Shrine,Q135040686
Fukataheno Shrine,Q135040591
Fukatano Shrine,Q135039391
Fukeno Shrine,Q135039368
Fukeshihikono Shrine,Q135040328
Fukomino Shrine,Q135040767
Fukomino Shrine (Q135270426),Q135270426
Fukuchi Shrine,Q11457275
Fukuhino Shrine,Q135040679
Fukurono Shrine,Q135040223
Fukutano Shrine,Q135040548
Fukutomi Shrine,Q135070091
Fukuōji Shrine,Q11594015
Fumunashino Shrine,Q135039668
Funae Taijingū,Q135195136
Funaeno Shrine,Q135040467
Funagatayama Shrine,Q135069865
Funagatayama Shrine (Q135194321),Q135194321
Funai Shrine,Q11613979
Funajihachimanguu,Q135070231
Funayamano Shrine,Q135039343
Furukohorino Shrine,Q135041219
Furukohorino Shrine Co-EnShrinement,Q135197931
Furukoori Shrine,Q135070195
Furutachino Shrine,Q135040743
Fusawokino Shrine,Q135039663
Fusawokino Shrine (Q135270417),Q135270417
Fuse Shrine (Q135041199),Q135041199
Fuse Shrine (Q135070316),Q135070316
Fuse Shrine (Q135195020),Q135195020
Fuse Shrine (Q85880047),Q85880047
"Fuse Shrine (Shinonoi Fusegomei, Nagano City)",Q135194137
"Fuse Shrine (Shinonoi Ishikawa, Nagano City)",Q135194136
"Fuse Shrine (Shinonoi Yamafuse, Nagano City)",Q135194138
Fuseno Shrine,Q135040368
Fuseno Shrine (Q135039917),Q135039917
Fuseno Shrine (Q135040396),Q135040396
Fuseno Shrine (Q135041037),Q135041037
Fuseno Shrine (Q135041383),Q135041383
Fuseno- Shrine,Q135039853
Fushifuno Shrine,Q135040776
Fushikimino Shrine,Q135040918
Fushino Shrine,Q135039425
Fusuno Shrine,Q135041100
Fusuno Shrine (Q135270331),Q135270331
Futaarayama Shrine okumiya,Q135194293
Futagami-yama Shrine (Tottori Prefecture),Q21654507
Futakata Shrine,Q135040704
Futakata Shrine (Q135270328),Q135270328
Futamata Shrine,Q63147989
Futamata Shrine (Q135070233),Q135070233
Futamatano Shrine,Q135040012
Futamatano Shrine (Q135041265),Q135041265
Futamurano Shrine,Q135040511
Futonotonomikotono Shrine,Q135021845
Futsuno Shrine (Q135041412),Q135041412
Gama Shinmei‑gū,Q135192614
Gashibahime Shrine,Q135070315
Ginzan Shrine,Q135199795
Ginzan Shrine (Q135200437),Q135200437
Ginzan Shrine (Tsutsuchi Yohaijo),Q135200362
Ginzanjo Shrine,Q135199776
Ginzanjo Shrine (Q135200444),Q135200444
Gokiso Hachiman Shrine,Q135069396
Gokiso Hachimangū,Q3109957
Gokoku Shrines,Q1534477
Gongen Shrine (Ujizakura Shrine precincts),Q135186232
Gosen Hachiman Shrine,Q135195117
Gosha Shrine,Q135070056
Gosha Shrine (Q135069653),Q135069653
Gosha Shrine (Q135193646),Q135193646
Gosha Shrine (Q135193751),Q135193751
Gosha Shrine (Q135195346),Q135195346
Gosho Shrine,Q119929720
"Gunge Shrine (Suzumi, Kanazawa)",Q135194820
"Gunge Shrine (Yoshihara, Kanazawa)",Q135194817
Habuhime Shrine (Shimoda),Q134930633
Habuhime-no-Mikoto Shrine,Q134930157
Hachidai Ryūō Shrine,Q135070286
Hachikurahime Shrine,Q135070302
Hachiman Hommi Shrine,Q135069496
Hachiman Shrine,Q135070263
"Hachiman Shrine (Kisami, Shimoda)",Q135192903
Hachiman Shrine (Koura),Q135192839
"Hachiman Shrine (Koura, Minamiizu)",Q134930206
Hachiman Shrine (Makino Town Sekitei),Q135193761
Hachiman Shrine (Mikajiri),Q135193362
Hachiman Shrine (Otoi),Q134927674
Hachiman Shrine (Q134927474),Q134927474
Hachiman Shrine (Q135070175),Q135070175
Hachiman Shrine (Q135070216),Q135070216
Hachiman Shrine (Q135070273),Q135070273
Hachiman Shrine (Q135070301),Q135070301
Hachiman Shrine (Q135070351),Q135070351
Hachiman Shrine (Q135070358),Q135070358
Hachiman Shrine (Q135187123),Q135187123
Hachiman Shrine (Q135190015),Q135190015
Hachiman Shrine (Q135193644),Q135193644
Hachiman Shrine (Q135193932),Q135193932
Hachiman Shrine (Q135193975),Q135193975
Hachiman Shrine (Q135194564),Q135194564
Hachiman Shrine (Q135194682),Q135194682
Hachiman Shrine (Q135194692),Q135194692
Hachiman Shrine (Q135194695),Q135194695
Hachiman Shrine (Q135194698),Q135194698
Hachiman Shrine (Q135194720),Q135194720
Hachiman Shrine (Q135195320),Q135195320
Hachiman Shrine (Q135198094),Q135198094
Hachiman Shrine (Suihokuchō),Q135187195
Hachiman Shrine (Uso Yokoyama),Q135193762
Hachimangū,Q135195096
Hachimangū (Q135194947),Q135194947
Hachimangū (Q135197730),Q135197730
Hachimangū Kinomiya Shrine,Q11390944
Hachiman‑gu Kinomiya Shrine,Q135192835
Hachiman‑sha,Q135069361
Hachiman‑sha (Q135070047),Q135070047
Hachino Shrine,Q135041056
Hachisakino Shrine,Q135039592
Hachisu Shrine,Q135070282
Hachiōji Shrine,Q135192801
Hachiōji Shrine (Morisho Village),Q135186249
Hachiōji Shrine (Q135069438),Q135069438
Hafuhimeno- Shrine,Q135039636
Hafurino Shrine,Q135039943
Hafuritano Shrine (Q135041152),Q135041152
Haguro Shrine (Q135194375),Q135194375
Haguromita Shrine,Q135069521
Hahaki Shrine,Q11555561
Haheshinano Shrine,Q135039918
Hahiho Shrine,Q135039571
Haishiwano Shrine,Q135040049
Haji Shrine,Q135186741
Hajikama Shrine,Q134930376
Hajikami Shrine,Q11555598
Hajikami Shrine (Q11275441),Q11275441
Hajio Shrine (Otagi district),Q135068695
Hakanishi Shrine,Q135069027
Hakiharano- Shrine,Q135039612
Hakkengū,Q55533377
Hakono Shrine,Q135040063
Hakotake Hachiman Shrine,Q135195149
Hakozaki Hachiman Shrine,Q111442063
Hakozaki Hachiman Shrine (Q135198619),Q135198619
Hakui Shrine,Q11610064
Hakunu Shrine,Q11555428
Hakusan Shrine (Q11579589),Q11579589
Hakusan Shrine (Q11579597),Q11579597
Hakusan Shrine (Q135069345),Q135069345
Hakusan Shrine (Q135069360),Q135069360
Hakusan Shrine (Q135069381),Q135069381
Hakusan Shrine (Q135069899),Q135069899
Hakusan Shrine (Q135187226),Q135187226
Hakusan Shrine (Q135190114),Q135190114
Hakusan Shrine (Q135193785),Q135193785
Hakusan Shrine (Q135194515),Q135194515
Hakusan Shrine (Q135194529),Q135194529
Hakusan Shrine (Q135194548),Q135194548
Hakusan Shrine (Q135194933),Q135194933
Hakusan Shrine (Q135195028),Q135195028
Hakusan Shrine (Q135195142),Q135195142
Hakusan Shrine (Q63148121),Q63148121
Hakusan-dō Shrine,Q135195113
Hamadono Shrine,Q135199653
Hamamatsu Hachimangu,Q119929629
Hamana Sōsha-shinmeigū,Q119929616
Hamino Shrine,Q135040576
Hamino Shrine (Q135039845),Q135039845
Hananagakami Shrine,Q11615716
Hananagashimo Shrine,Q11615718
Hananakano Shrine,Q135039899
Hananakano Shrine (Q135270215),Q135270215
Hanaoka Shrine,Q135070054
Hanaoka Shrine (Q135195345),Q135195345
Hanashiyama Shrine,Q66085126
Hanifu Shrine,Q11555577
Haniyamahime Shrine,Q107410059
Haniyamano- Shrine,Q135041316
Hanoura Shrine,Q48758315
Harahano Shrine,Q135041543
Harikumano Shrine,Q135039466
Harina Shrine,Q11648156
Harinano Shrine,Q135039554
Harinano Shrine (Q135270315),Q135270315
Haritsuna Shrine,Q11648178
Harukino Shrine,Q135040717
Harunamiya Shrine,Q135069555
Harunamiya Shrine (Q135069558),Q135069558
Harunamiya Shrine (Q135069565),Q135069565
Haruta Shrine (Lower Shrine),Q135194205
Haruta Shrine (Upper Shrine),Q135194208
Hasedera (Nagano),Q11653682
Haseno Shrine,Q135039431
Haseno Shrine (Q135039453),Q135039453
Hashino Shrine,Q135039392
Hashiriochi Shrine,Q11636084
Hashiritano Shrine,Q135040496
Hashiritano Shrine (Q135038740),Q135038740
Hasokino Shrine,Q135039465
Hassho Shrine,Q135195138
Hassho Shrine (Q135187186),Q135187186
Hata Shrine,Q135186442
Hatada Shrine,Q135039294
Hatada Shrine co-EnShrinement,Q135186214
Hatada Shrine Co-enshrinement (Ihatano),Q135186317
Hataketano Shrine former site,Q135186308
Hataketano Shrine former site (Q135186309),Q135186309
Hatakino Shrine,Q135039231
Hatano Shrine (Q135039185),Q135039185
Hatano Shrine (Q135039193),Q135039193
Hatano Shrine (Q135039322),Q135039322
Hatano Shrine (Q135039925),Q135039925
Hataori Shrine,Q135186638
Hataori Shrine (Q135186639),Q135186639
Hatasakano Shrine,Q135040274
Hatawino Shrine,Q135040752
Hate Shrine,Q135186493
Hate Shrine (Q135186506),Q135186506
Hateno Shrine,Q135039327
Hatori Shrine,Q135040731
Hatorida Shrine,Q135069411
Hatorino Shrine (Q135039355),Q135039355
Hatorino Shrine (Q135039603),Q135039603
Hatorino Shrine (Q135040266),Q135040266
Hatorinoitomano Shrine,Q135098916
Hatorinomatokata Shrine,Q135098921
Hatorinomatokata Shrine former site,Q135186227
Hatoritano Shrine,Q135039624
Hatsuhime Shrine,Q134926458
Hatsuno Shrine,Q135039562
Hayabusa Shrine (Q135021848),Q135021848
Hayahoshino Shrine,Q135040381
Hayakahano Shrine,Q135040370
Hayakahano Shrine (Q135040751),Q135040751
Hayakawa Hachiman Shrine,Q135194971
Hayakawa Shrine (Himi City),Q135194969
Hayakawa Shrine (Takaoka City),Q135194970
Hayakawahachiman Shrine,Q135069975
Hayasame Shrine,Q48758380
